GVOG	num_proteins_in_GVOG	Mean_Length	consensus_NCVOG	NCVOG_descs	consensus_NOGs	nog_descs	nog_categories	consensus_pfams	pfam_descs
GVOGm0130	33	209	NCVOG0052	disulfide (thiol) oxidoreductase, Erv1 / Alr family	KOG3355	flavin-linked sulfhydryl oxidase activity	O	PF04777	; Evr1_Alr; Erv1 / Alr family
GVOG04861	33	73	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03019	32	105	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG09178	32	156	NCVOG0063	Glucosamine 6-phosphate N-acetyltransferase	arCOG00833 | arCOG00826	PFAM GCN5-related N-acetyltransferase | COG0454 Histone acetyltransferase HPA2 and related acetyltransferases	C | K	PF00583 | PF13508 | PF13673	Acetyltrans; Acetyltransf_1; Acetyltransferase (GNAT) family | Acetyltrans; Acetyltransf_7; Acetyltransferase (GNAT) domain | Acetyltrans; Acetyltransf_10; Acetyltransferase (GNAT) domain
GVOGm0297	32	206.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1099	32	235.5	NCVOG4101	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1189	32	233.5	no_annot	no_annotation	COG1212 | 2QPIP | 2QQH3 | COG1083 | COG1778 | arCOG04817	Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria | CMP-keto-3-deoxy-D-manno-octulosonic acid metabolic process | Cytidine monophosphate N-acetylneuraminic acid synthetase | cytidylyl-transferase | Involved in the biosynthesis of lipopolysaccharides (LPSs). Catalyzes the hydrolysis of 3-deoxy-D-manno-octulosonate 8-phosphate (KDO 8-P) to 3-deoxy-D-manno-octulosonate (KDO) and inorganic phosphate | PFAM acylneuraminate cytidylyltransferase	M | IM	PF02348	GT-A; CTP_transf_3; Cytidylyltransferase
GVOGm0519	32	234			KOG4179 | COG3306	procollagen galactosyltransferase activity | glycosyltransferase involved in LPS biosynthesis	M | G	PF01755	GT-A; Glyco_transf_25; Glycosyltransferase family 25 (LPS biosynthesis protein)
GVOGm0919	32	114	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1695	32	94	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG10060	32	57.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG11305	32	170	NCVOG0330	RING-finger-containing E3 ubiquitin ligase	KOG4628 | KOG4159 | KOG0298 | KOG0297 | KOG0827 | 2SC5Q | KOG0802	protein modification by small protein conjugation or removal | histone H2A-K13 ubiquitination | ATP binding | zinc ion binding | negative regulation of interferon-beta production | unknown | protein polyubiquitination	I | KL | O | B	PF13639 | PF00097	RING; zf-RING_2; Ring finger domain | RING; zf-C3HC4; Zinc finger, C3HC4 type (RING finger)
GVOGm0934	32	79.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1752	32	286.5	no_annot	no_annotation	arCOG01073 | KOG3041	COG0494 NTP pyrophosphohydrolases including oxidative damage repair enzymes | ADP-glucose pyrophosphohydrolase activity	L	no_annot	no_annote
GVOG02014	32	291.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1681	32	171	no_annot	no_annotation	2SAAX | 2ZPEA	zinc finger | GIY-YIG catalytic domain	S	PF01541	GIY-YIG; GIY-YIG; GIY-YIG catalytic domain
GVOG04999	32	173.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG11331	32	153.5			no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0998	32	88	no_annot	no_annotation	32YSJ	unknown	S	no_annot	no_annote
GVOG09182	32	251	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00141	32	101.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1114	32	235	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04886	32	229.5	no_annot	no_annotation	COG2176	DNA-directed DNA polymerase activity	L	PF00929	RNase_H; RNase_T; Exonuclease
GVOG06665	32	323	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1050	32	115	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01910	32	78.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0449	32	191.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06448	32	587	no_annot	no_annotation	2SVCS	unknown	S	no_annot	no_annote
GVOG10974	32	65	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1424	32	62.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG09241	32	121	NCVOG0642	Zn-finger protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05078	32	214	no_annot	no_annotation				no_annot	no_annote
GVOG00022	32	702.5	NCVOG0161	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00176	32	125	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0661	32	133.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1718	32	107	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01223	32	677	NCVOG0255	uncharacterized protein	no_annot	no_annote	no_annote	PF04497	; Pox_E2-like; Poxviridae protein
GVOG04559	32	313	NCVOG1160	DNA-binding virion core protein	no_annot	no_annote	no_annote	PF03289	; Pox_I1; Poxvirus protein I1
GVOGm0543	32	86	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0806	32	225.5	NCVOG0725	putative ubiquitin-conjugating enzyme E2	KOG3011	protein ubiquitination	M	PF10520	; TMEM189_B_dmain; B domain of TMEM189, localisation domain
GVOG03106	32	179	no_annot	no_annotation				PF00076	RRM; RRM_1; RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
GVOGm0724	31	74	NCVOG2216	putative DNA-directed RNA polymerase II subunit N	no_annot	no_annote	no_annote	PF01194	; RNA_pol_N; RNA polymerases N / 8 kDa subunit
GVOG01259	31	69	NCVOG1314	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0651	31	97	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1270	31	169	NCVOG1347	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG08368	31	201			2S5QN | 2S0ST | COG3236 | 2S5B2 | 2S4FY	Domain of unknown function (DUF1768) | Domain of unknown function (DUF1768) | hydrolase activity, hydrolyzing N-glycosyl compounds | Domain of unknown function (DUF1768) | Domain of unknown function (DUF1768)	S | O	PF08719	; DUF1768; Domain of unknown function (DUF1768)
GVOG03104	31	180	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0941	31	371	no_annot	no_annotation	KOG2131 | 2S0AF | COG2850 | KOG2132 | KOG2130 | KOG2918 | KOG2508	Cupin-like domain | Cupin-like domain | peptidyl-arginine hydroxylation | tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity | peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine | protein C-terminal leucine carboxyl O-methyltransferase activity | Cupin-like domain	IQ | S | U | P | T | Z	PF13621	Cupin; Cupin_8; Cupin-like domain
GVOGm1276	31	116	NCVOG1236	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1073	31	306	NCVOG2750	uncharacterized protein	COG1801 | 2S13C | arCOG04291 | 2S9RJ | 2RMAD	Protein of unknown function DUF72 | Protein of unknown function DUF72 | DUF72 domain containing protein | Protein of unknown function DUF72 | Protein of unknown function DUF72	S | L	PF01904	; DUF72; Protein of unknown function DUF72
GVOG01799	31	343	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0552	31	540	no_annot	no_annotation	arCOG01296 | KOG1399 | COG2072 | arCOG01069 | COG0492	Thioredoxin reductase | N,N-dimethylaniline monooxygenase activity | flavoprotein involved in K transport | pyridine nucleotide-disulphide oxidoreductase dimerisation | ferredoxin-NADP+ reductase activity	C | P	PF13434 | PF13450 | PF00743 | PF13738 | PF07992	NADP_Rossmann; K_oxygenase; L-lysine 6-monooxygenase (NADPH-requiring) | NADP_Rossmann; NAD_binding_8; NAD(P)-binding Rossmann-like domain | NADP_Rossmann; FMO-like; Flavin-binding monooxygenase-like | NADP_Rossmann; Pyr_redox_3; Pyridine nucleotide-disulphide oxidoreductase | NADP_Rossmann; Pyr_redox_2; Pyridine nucleotide-disulphide oxidoreductase
GVOG01721	31	116	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1661	31	309	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0526	31	150	no_annot	no_annotation				no_annot	no_annote
GVOG05005	31	150	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1569	31	217	no_annot	no_annotation	33N55 | COG3066	unknown | DNA modification	L	PF02976	PDDEXK; MutH; DNA mismatch repair enzyme MutH
GVOGm1499	31	252	NCVOG4113	uncharacterized protein	2S1V9 | 2QSJU | KOG0531 | KOG0444 | 2RAY5 | 2REDF | KOG4641 | KOG0472	regulation of response to stimulus | cell adhesion involved in heart morphogenesis | axoneme assembly | actin filament severing | Candida DB at Institut Pasteur | unknown | MyD88-dependent toll-like receptor signaling pathway | Leucine-rich repeats, outliers	T | KLT | S | L	PF12799	LRR; LRR_4; Leucine Rich repeats (2 copies)
GVOGm1658	31	210	no_annot	no_annotation	COG4627 | arCOG01792 | arCOG01773 | arCOG04347 | arCOG02702 | KOG1269 | arCOG01778 | arCOG01789 | COG2230	Pfam Methyltransferase | Methyltransferase type 11 | Methyltransferase type 11 | Methyltransferase type 11 | Methyltransferase type 11 | sterol 24-C-methyltransferase activity | PFAM methyltransferase | PFAM Methyltransferase type 11 | cyclopropane-fatty-acyl-phospholipid synthase	Q | M | K | S	PF08241 | PF13489	NADP_Rossmann; Methyltransf_11; Methyltransferase domain | NADP_Rossmann; Methyltransf_23; Methyltransferase domain
GVOG12168	31	269	NCVOG4075	uncharacterized protein	COG3306	glycosyltransferase involved in LPS biosynthesis	M	PF01755	GT-A; Glyco_transf_25; Glycosyltransferase family 25 (LPS biosynthesis protein)
GVOGm1660	31	214	no_annot	no_annotation	2RSUR	NAD(P)H-binding	S	no_annot	no_annote
GVOG09275	31	174	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00694	31	173	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06462	31	503	NCVOG0349	Zn-finger containing protein; similar to EGF-like domain containing protein	2SN2W | 2RYTS | 2SBVF	unknown | unknown | unknown	S	no_annot	no_annote
GVOGm0432	31	259	NCVOG2729	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02968	31	269	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0782	31	386	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1621	31	272	NCVOG4032	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG10790	31	643	no_annot	no_annotation	arCOG00355 | KOG0447 | 2SHEV | COG0699 | COG3596 | KOG0446	Necessary for normal cell division and for the maintenance of normal septation | membrane tubulation | Dynamin family | ATPase. Has a role at an early stage in the morphogenesis of the spore coat | GTP binding | mitochondrial fission	D | T | I | KLT | S	PF02212 | PF00350 | PF01926 | PF01031	; GED; Dynamin GTPase effector domain | P-loop_NTPase; Dynamin_N; Dynamin family | P-loop_NTPase; MMR_HSR1; 50S ribosome-binding GTPase | ; Dynamin_M; Dynamin central region
GVOGm1730	31	131	NCVOG4347	uncharacterized protein				no_annot	no_annote
GVOGm0795	31	126	NCVOG0317	Thioredoxin	KOG0190 | KOG0191	intramolecular oxidoreductase activity, transposing S-S bonds | cell redox homeostasis	CO	PF00085	Thioredoxin; Thioredoxin; Thioredoxin
GVOGm0687	31	291	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1314	31	357	no_annot	no_annotation	KOG1335 | KOG3851 | KOG2755 | arCOG01069 | KOG1336 | COG1249 | COG1252 | arCOG01067 | KOG2495 | COG0446 | arCOG01070 | KOG0405 | COG1251 | COG2210 | KOG1346 | COG0709 | arCOG01064 | 2S15X | arCOG01068 | arCOG01065	dihydrolipoyl dehydrogenase activity | sulfide:quinone oxidoreductase activity | Pyridine nucleotide-disulfide oxidoreductase domain-containing protein | pyridine nucleotide-disulphide oxidoreductase dimerisation | monodehydroascorbate reductase (NADH) activity | Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family | NADH dehydrogenase | COG1252 NADH dehydrogenase, FAD-containing subunit | Oxidoreductase | pyridine nucleotide-disulphide oxidoreductase | FAD-dependent pyridine | glutathione-disulfide reductase activity | Belongs to the nitrite and sulfite reductase 4Fe-4S domain family | Belongs to the sulfur carrier protein TusA family | apoptosis-inducing factor | Synthesizes selenophosphate from selenide and ATP | PFAM FAD-dependent pyridine nucleotide-disulphide oxidoreductase | Pyridine nucleotide-disulphide oxidoreductase | COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes | PFAM FAD-dependent pyridine nucleotide-disulphide oxidoreductase	C | Q | E | S | L | P | Z | J	PF00070 | PF07992	NADP_Rossmann; Pyr_redox; Pyridine nucleotide-disulphide oxidoreductase | NADP_Rossmann; Pyr_redox_2; Pyridine nucleotide-disulphide oxidoreductase
GVOG01351	31	535	no_annot	no_annotation	KOG2173	process utilizing autophagic mechanism	U	PF04109	; APG9; Autophagy protein Apg9
GVOGm1697	31	127	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04832	31	236	NCVOG1164	A1L transcription factor/late transcription factor VLTF-2	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1586	31	142	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1748	31	132	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG13815	31	377	NCVOG4113	uncharacterized protein	2S1V9 | 2QSJU | 2S6M7 | KOG1259 | KOG0531 | 2S0EF | 2RAY5 | KOG3207 | KOG0617 | KOG0444 | 2REDF | KOG4641 | KOG4194 | KOG0472	regulation of response to stimulus | cell adhesion involved in heart morphogenesis | unknown | norepinephrine secretion | axoneme assembly | unknown | Candida DB at Institut Pasteur | post-chaperonin tubulin folding pathway | positive regulation of cell-substrate adhesion | actin filament severing | unknown | MyD88-dependent toll-like receptor signaling pathway | otolith morphogenesis | Leucine-rich repeats, outliers	E | KLT | S | P | L | T | I	PF12799	LRR; LRR_4; Leucine Rich repeats (2 copies)
GVOG04872	31	82	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0078	31	204	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0146	31	114	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0632	31	254	NCVOG1063	DNA-binding virion core protein	no_annot	no_annote	no_annote	PF04498	; Pox_VP8_L4R; Poxvirus nucleic acid binding protein VP8/L4R
GVOG06813	31	100	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05326	30	69.5	NCVOG1397	ORF089 virion membrane protein	no_annot	no_annote	no_annote	PF05961	; Chordopox_A13L; Chordopoxvirus A13L protein
GVOG04365	30	131.5	NCVOG1365	CNPV119 virion core protein; pfam06138, Chordopox_E11, Chordopoxvirus E11 protein	no_annot	no_annote	no_annote	PF06138	; Chordopox_E11; Chordopoxvirus E11 protein
GVOGm1529	30	330.5	NCVOG0050	Esterase lipase superfamily	2S3W8 | 2S30A | 2S3F0 | KOG1515 | arCOG02638 | COG0657 | 2S7I9 | 2SK9D | KOG4388 | 2SMIY | 2S42K | 2QUYF | 2RDZA | 2SBSE | 2SJR3 | 2S05E | 2SE29 | 2RYPI	Steryl acetyl hydrolase | Steryl acetyl hydrolase | alpha/beta hydrolase fold | carboxylic ester hydrolase activity | Alpha beta hydrolase | acetylesterase activity | Steryl acetyl hydrolase | Steryl acetyl hydrolase | hormone-sensitive lipase activity | alpha/beta hydrolase fold | Steryl acetyl hydrolase | alpha/beta hydrolase fold | Steryl acetyl hydrolase | Steryl acetyl hydrolase | Steryl acetyl hydrolase | Steryl acetyl hydrolase | alpha/beta hydrolase fold | alpha/beta hydrolase fold	I | S	PF10340 | PF07859	AB_hydrolase; Say1_Mug180; Steryl acetyl hydrolase | AB_hydrolase; Abhydrolase_3; alpha/beta hydrolase fold
GVOGm1711	30	134.5	no_annot	no_annotation	no_annot	no_annote	no_annote		
GVOG06867	30	102	NCVOG0318	Thioredoxin-like protein				PF00462	Thioredoxin; Glutaredoxin; Glutaredoxin
GVOGm1103	30	211.5	NCVOG2978	macro domain containing protein	2S9WU | 2QVAE | 2SAAY | 2S11R	O-acetyl-ADP-ribose deacetylase activity | Macro-like domain | unknown | Macro domain	S		
GVOG12451	30	359.5	NCVOG1049	short chain dehydrogenase	KOG1429 | arCOG01367 | KOG1431 | arCOG03019 | COG1089 | arCOG03016 | arCOG04468 | arCOG04627 | KOG0747 | arCOG01372 | arCOG01374 | arCOG01373 | arCOG01371 | COG1091 | COG1087 | KOG1430 | COG1898 | arCOG04704 | KOG1502 | COG1088 | KOG1371 | arCOG01376 | COG0451 | arCOG01375 | arCOG01369	UDP-glucuronate decarboxylase activity | dTDP-4-dehydrorhamnose reductase | GDP-L-fucose synthase activity | NAD-dependent epimerase dehydratase | Catalyzes the conversion of GDP-D-mannose to GDP-4- dehydro-6-deoxy-D-mannose | PFAM NAD-dependent epimerase dehydratase | epimerase dehydratase | Catalyzes the two-step NADP-dependent conversion of GDP- 4-dehydro-6-deoxy-D-mannose to GDP-fucose, involving an epimerase and a reductase reaction | dTDP-glucose 4,6-dehydratase activity | Polysaccharide biosynthesis protein | TIGRFAM CDP-glucose 4,6-dehydratase | Catalyzes the conversion of GDP-D-mannose to GDP-4- dehydro-6-deoxy-D-mannose | dTDP-Glucose 4,6-dehydratase | dTDP-4-dehydrorhamnose reductase activity | Belongs to the NAD(P)-dependent epimerase dehydratase family | 3-beta-hydroxy-delta5-steroid dehydrogenase activity | dTDP-4-dehydrorhamnose 3,5-epimerase activity | Catalyzes the NAD-dependent oxidation of glucose 6- phosphate to 6-phosphogluconolactone | dihydrokaempferol 4-reductase activity | dTDP-glucose 4,6-dehydratase activity | racemase and epimerase activity, acting on carbohydrates and derivatives | NAD-dependent epimerase dehydratase | ADP-glyceromanno-heptose 6-epimerase activity | Polysaccharide biosynthesis protein | NAD-dependent epimerase dehydratase	M | GM	PF01073 | PF04321 | PF02719 | PF16363 | PF01370 | PF07993	NADP_Rossmann; 3Beta_HSD; 3-beta hydroxysteroid dehydrogenase/isomerase family | NADP_Rossmann; RmlD_sub_bind; RmlD substrate binding domain | NADP_Rossmann; Polysacc_synt_2; Polysaccharide biosynthesis protein | NADP_Rossmann; GDP_Man_Dehyd; GDP-mannose 4,6 dehydratase | NADP_Rossmann; Epimerase; NAD dependent epimerase/dehydratase family | NADP_Rossmann; NAD_binding_4; Male sterility protein
GVOG12860	30	544.5	no_annot	no_annotation	2Z8NG | 2N58Z | 2T1B8 | 30SCE | 30IK1 | 31UV7 | 2Z7KQ | 2SDD9 | 2Z8JE | 2SVBH | KOG2619 | 32BW2 | 30IUU | 30IAU	Glycosyltransferase family 10 (fucosyltransferase) C-term | Glycosyltransferase family 10 (fucosyltransferase) C-term | unknown | Glycosyltransferase family 10 (fucosyltransferase) C-term | Glycosyltransferase family 10 (fucosyltransferase) C-term | Glycosyltransferase family 10 (fucosyltransferase) C-term | unknown | Glycosyltransferase family 10 (fucosyltransferase) C-term | Glycosyltransferase family 10 (fucosyltransferase) C-term | Glycosyltransferase family 10 (fucosyltransferase) C-term | alpha-(1->3)-fucosyltransferase activity | unknown | Glycosyltransferase family 10 (fucosyltransferase) C-term | Glycosyltransferase family 10 (fucosyltransferase) C-term	M | S	PF00852	GT-B; Glyco_transf_10; Glycosyltransferase family 10 (fucosyltransferase) C-term
GVOGm0984	30	182	no_annot	no_annotation	2SI9Y | 2S3AK | 2SKRI | 2RVY0 | 2S2KT	Glutathionylspermidine synthase preATP-grasp | CHAP domain | CHAP domain | Glutathionylspermidine synthase preATP-grasp | CHAP domain	J | S	PF05257	Peptidase_CA; CHAP; CHAP domain
GVOG03058	30	79.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03031	30	74	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06790	30	127			no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01637	30	198.5	NCVOG0475 | NCVOG0476	uncharacterized protein | uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG08320	30	342	no_annot	no_annotation	COG5239 | arCOG02207 | KOG2756 | COG3568 | COG0708 | COG3021	Endonuclease/Exonuclease/phosphatase family | PFAM Endonuclease Exonuclease phosphatase | 5'-tyrosyl-DNA phosphodiesterase activity | Endonuclease Exonuclease Phosphatase | Exodeoxyribonuclease III | interspecies interaction between organisms	E | O | N | L	PF03372	DNase_I-like; Exo_endo_phos; Endonuclease/Exonuclease/phosphatase family
GVOGm0738	30	316	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1064	30	126	NCVOG0060	glutaredoxin 2	no_annot	no_annote	no_annote	PF05768	Thioredoxin; DUF836; Glutaredoxin-like domain (DUF836)
GVOG02417	30	334	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1645	30	149	NCVOG1379	pfam04596, Pox_F15, Poxvirus protein F15	no_annot	no_annote	no_annote	PF04596	; Pox_F15; Poxvirus protein F15
GVOGm1428	30	126.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG09203	30	63	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04919	30	122.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG13280	30	198	NCVOG2648	methyltransferase	COG3510 | 2SGBA | 2ZEB2 | arCOG03850 | KOG1663 | 2SCDD | 2S9J2	cephalosporin hydroxylase | Methyltransferase domain | O-methyltransferase | Methyltransferase domain | O-methyltransferase activity | negative regulation of septation initiation signaling | Methyltransferase domain	V | M | S | P	PF01596 | PF13578	NADP_Rossmann; Methyltransf_3; O-methyltransferase | NADP_Rossmann; Methyltransf_24; Methyltransferase domain
GVOGm1555	30	243.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0436	30	438.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0867	30	148.5	no_annot	no_annotation	COG2510	membrane	EG	PF00892	DMT; EamA; EamA-like transporter family
GVOGm0903	30	141.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01998	30	219	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05604	30	622	no_annot	no_annotation				PF13589	His_Kinase_A; HATPase_c_3; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
GVOGm1301	30	124	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05026	30	183.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG12948	30	175	NCVOG0330	RING-finger-containing E3 ubiquitin ligase	KOG4628 | KOG0298 | 2QSQ8 | 2SC5Q | KOG0802	protein modification by small protein conjugation or removal | ATP binding | methyl-CpNpN binding | unknown | protein polyubiquitination	V | KL | O	PF00097 | PF13639	RING; zf-C3HC4; Zinc finger, C3HC4 type (RING finger) | RING; zf-RING_2; Ring finger domain
GVOG13414	30	191.5	NCVOG1114	inactivated thioredoxin/glutaredoxin	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0421	30	256.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05091	30	74	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01601	30	451	NCVOG0720	uncharacterized protein	2S4FY | 2S5QN | COG3236 | 2S32Y	Domain of unknown function (DUF1768) | Domain of unknown function (DUF1768) | hydrolase activity, hydrolyzing N-glycosyl compounds | Domain of unknown function (DUF1768)	S | O	PF08719	; DUF1768; Domain of unknown function (DUF1768)
GVOG04897	30	303.5	no_annot	no_annotation	3351N	procollagen galactosyltransferase activity	S	no_annot	no_annote
GVOGm0924	30	367	no_annot	no_annotation	KOG2156 | KOG2155 | KOG2158 | 33JBY | KOG2157	protein polyglutamylation | ATP binding | positive regulation of cilium movement | Tubulin-tyrosine ligase family | protein polyglycylation	T | IQ | M | S | KT	PF03133	ATP-grasp; TTL; Tubulin-tyrosine ligase family
GVOG11339	30	264.5	no_annot	no_annotation	arCOG02207 | KOG3873 | COG3021 | 2S367 | 2RV48 | 2QSQ7 | COG3568	PFAM Endonuclease Exonuclease phosphatase | inositol phosphosphingolipid phospholipase activity | interspecies interaction between organisms | Endonuclease/Exonuclease/phosphatase family | unknown | Endonuclease/Exonuclease/phosphatase family | Endonuclease Exonuclease Phosphatase	N | O | S | L	PF03372	DNase_I-like; Exo_endo_phos; Endonuclease/Exonuclease/phosphatase family
GVOG10545	30	524	no_annot	no_annotation	2RXKG | 2ZACE | 2TBTY	Bacterial protein of unknown function (HtrL_YibB) | Bacterial protein of unknown function (HtrL_YibB) | Bacterial protein of unknown function (HtrL_YibB)	S	PF09612	; HtrL_YibB; Bacterial protein of unknown function (HtrL_YibB)
GVOGm1080	30	144	no_annot	no_annotation	no_annot	no_annote	no_annote	PF01844	His-Me_finger; HNH; HNH endonuclease
GVOG00004	30	504			KOG0817 | KOG4412	fatty-acyl-CoA binding | proteasome regulatory particle assembly	I | L		
GVOGm1271	30	314.5	NCVOG0582	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03879	30	210	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0483	30	174.5	NCVOG0997	uncharacterized protein	arCOG01768 | KOG2632 | COG0705 | KOG2289 | KOG2980	(Rhomboid) family | serine-type endopeptidase activity | Rhomboid family | serine-type endopeptidase activity | serine-type endopeptidase activity	P | S | O	PF01694	Rhomboid-like; Rhomboid; Rhomboid family
GVOGm1693	30	336	no_annot	no_annotation	COG3239 | 2QQPI | 2S6AU | 2QQQ2 | KOG4232 | 2QTIC | 2QQNB	Fatty acid desaturase | unsaturated fatty acid biosynthetic process | Fatty acid desaturase | oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water | unsaturated fatty acid biosynthetic process | oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water | oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	I | S	PF00487	; FA_desaturase; Fatty acid desaturase
GVOG01059	29	150	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1684	29	200	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1129	29	343	NCVOG4552	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1336	29	123	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
