#hmm_accession	TC1	TC2	gene_symbol	length	hmm_description	scope	type	subtype	class	subclass	db_version	hierarchy_node
NF012225.0	          440.000000	          440.000000	bla	252	SFH-related subclass B2 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaSFH_gen
NF033141.0	          500.000000	          500.000000	bla	281	BlaZ-like penicillin-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaZ_gen
NF000447.2	          510.000000	          510.000000	bla-A	292	CGA/CIA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	bla-A_Chryseo
NF000450.2	          450.000000	          450.000000	bla-B1-FLAV	242	subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	bla-B1-FLAV
NF033095.1	          500.000000	          500.000000	bla2	255	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	BcII
NF033099.1	          650.000000	          650.000000	bla2a	312	Exo family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	bla2a
NF033152.0	          625.000000	          625.000000	blaA	294	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaA_Yent
NF038195.1	          655.000000	          655.000000	blaAAK	286	AAK family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaAAK
NF000397.2	          850.000000	          850.000000	blaACC	385	ACC family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaACC
NF000448.2	          640.000000	          640.000000	blaACI	284	ACI family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaACI
NF000385.4	          810.000000	          810.000000	blaACT	380	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaACT
NF000425.2	          800.000000	          800.000000	blaADC	383	ADC family extended-spectrum class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaADC
NF033736.1	          610.000000	          610.000000	blaAFM	267	AFM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaAFM
NF000439.2	          675.000000	          675.000000	blaAIM	303	AIM family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaAIM
NF033582.2	          450.000000	          450.000000	blaALI	245	ALI family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaALI
NF041741.1	          825.000000	          825.000000	blaAMZ	396	AMZ family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaAMZ
NF033467.0	          815.000000	          815.000000	blaAQU	380	AQU family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaAQU
NF033386.1	          620.000000	          620.000000	blaARL	282	ARL family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaARL
NF033929.1	          650.000000	          650.000000	blaAXC	296	AXC family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaAXC
NF033107.1	          500.000000	          500.000000	blaB	247	BlaB family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaB
NF000453.2	          400.000000	          400.000000	blaB1PEDO	237	PEDO-3 family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaPEDO-3_fam
NF000457.2	          550.000000	          550.000000	blaB3PEDO	286	PEDO-1 family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaPEDO-1_fam
NF000458.2	          550.000000	          550.000000	blaB3PEDO	285	PEDO-2 family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaPEDO-2_fam
NF033714.1	          625.000000	          625.000000	blaBBI	304	BBI family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaBBI
NF033060.0	          600.000000	          600.000000	blaBCL	301	BCL family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaBCL
NF000398.2	          620.000000	          620.000000	blaBEL	283	BEL family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaBEL
NF000451.2	          650.000000	          650.000000	blaBES	292	BES family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaBES
NF000449.2	          640.000000	          640.000000	blaBIC	294	BIC family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaBIC
NF041846.1	          535.000000	          535.000000	blaBIM	245	BIM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaBIM
NF012140.0	          600.000000	          600.000000	blaBJP	294	BJP family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaBJP
NF000413.2	          650.000000	          650.000000	blaBKC	313	BKC family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaBKC
NF040659.1	          620.000000	          620.000000	blaBOR	305	BOR family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaBOR
NF012098.1	          525.000000	          525.000000	blaBPU	262	BPU family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaBPU
NF038238.1	          850.000000	          850.000000	blaBUT	383	BUT family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaBUT
NF041154.1	          685.000000	          685.000000	blaC	307	class A beta-lactamase BlaC	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaC
NF041590.1	          625.000000	          625.000000	blaCAE	300	CAE family broad-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaCAE
NF033895.1	          535.000000	          535.000000	blaCAM	241	CAM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaCAM
NF000469.2	          500.000000	          500.000000	blaCAR	311	CAR family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	bla-B3-CAR
NF000188.2	          600.000000	          600.000000	blaCARB	283	CARB family carbenicillin-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaCARB
NF000481.1	          430.000000	          400.000000	blaCARB	284	CARB/PSE/RTG family carbenicillin-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaCARB_gen
NF000427.2	          500.000000	          500.000000	blaCAU	262	CAU/MBL1b family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaCAU/MBL1b
NF000517.2	          650.000000	          650.000000	blaCBP	308	CBP family penicillin-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaCBP
NF033866.1	          600.000000	          600.000000	blaCDD	310	CDD family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaCDD
NF041758.1	          475.000000	          475.000000	blaCHM	246	CHM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaCHM
NF000446.2	          640.000000	          640.000000	blaCIA	292	CIA family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaCIA
NF041441.1	          490.000000	          490.000000	blaCIB	250	CIM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaCIM
NF033700.1	          887.000000	          887.000000	blaCMA	375	CMA family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOTHIN	2024-01-31.1	blaCMA
NF000511.2	          600.000000	          600.000000	blaCME	299	CME family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaCME
NF000419.2	          875.000000	          875.000000	blaCMH	381	CMH family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaCMH
NF000191.1	          800.000000	          800.000000	blaCMY	381	CMY-2 family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaCMY
NF000454.2	          620.000000	          620.000000	blaCPS	290	CPS family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaCPS
NF033211.1	          630.000000	          630.000000	blaCRH	290	CRH family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaCRH
NF040548.1	          630.000000	          630.000000	blaCRP	293	CRP family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaCRP
NF033698.1	          884.000000	          884.000000	blaCSA	375	CSA family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOTHIN	2024-01-31.1	blaCSA
NF033089.1	          570.000000	          570.000000	blaCTX-M	291	CTX-M family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaCTX-M
NF038046.1	          575.000000	          575.000000	blaCVI	255	CVI family subclass B2 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaCVI
NF012102.1	          800.000000	          800.000000	blaDHA	379	DHA family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaDHA
NF000445.2	          560.000000	          560.000000	blaDIM	251	DIM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaDIM
NF012145.1	          288.000000	          288.000000	blaDIM	209	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaDIM-SIM-IMP
NF040470.1	          660.000000	          660.000000	blaEAM	318	EAM family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaEAM
NF000444.3	          475.000000	          475.000000	blaEBR	234	EBR family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaEBR
NF000185.2	          850.000000	          850.000000	blaEC	377	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaEC
NF040468.1	          640.000000	          640.000000	blaECM	303	ECM family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaECM
NF040469.1	          610.000000	          610.000000	blaEFM	302	EFM family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaEFM
NF000455.2	          600.000000	          600.000000	blaESP	290	ESP-1 family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaESP
NF000216.2	          600.000000	          600.000000	blaFEZ	282	FEZ family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaFEZ
NF000437.2	          590.000000	          590.000000	blaFIM	262	FIM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaFIM
NF000323.2	          600.000000	          600.000000	blaFONA	295	FONA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaFONA
NF000399.2	          850.000000	          850.000000	blaFOX	382	FOX family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaFOX
NF000428.4	          600.000000	          600.000000	blaFRI	294	FRI family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaFRI
NF000513.2	          600.000000	          600.000000	blaFTU	287	FTU family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaFTU
NF012103.0	          625.000000	          625.000000	blaGES	287	GES family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaGES
NF000505.2	          640.000000	          640.000000	blaGIL	286	GIL family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaGIL
NF000396.3	          525.000000	          525.000000	blaGIM	250	GIM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaGIM
NF040812.1	          600.000000	          600.000000	blaGMA	282	GMA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaGMA
NF038103.1	          580.000000	          580.000000	blaGMB	270	GMB family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaGMB
NF012101.1	          560.000000	          560.000000	blaGOB	290	GOB family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaGOB
NF040780.1	          580.000000	          580.000000	blaHBL	304	HBL family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaHBL
NF040940.1	          620.000000	          620.000000	blaHER	290	HER family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaHER
NF041161.1	          500.000000	          500.000000	blaHMB	238	HMB family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaHMB
NF000186.1	          250.000000	          250.000000	blaI	126	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaI_of_Z
NF038069.1	          850.000000	          850.000000	blaIDC	395	IDC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaIDC
NF041270.1	          670.000000	          670.000000	blaIII	314	class A beta-lactamase BlaIII	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaIII
NF000400.2	          625.000000	          625.000000	blaIMI	292	IMI family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaIMI
NF012147.1	          460.000000	          460.000000	blaIMP	245	IMP family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaIMP
NF012149.0	          430.000000	          430.000000	blaIND	239	IND family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaIND
NF041189.1	          600.000000	          600.000000	blaKBL	286	KBL family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaKBL
NF041632.1	          480.000000	          480.000000	blaKHM	237	KHM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaKHM
NF012148.0	          450.000000	          450.000000	blaKHM-HMB	238	KHM/HMB family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaKHM-HMB
NF000452.2	          650.000000	          650.000000	blaKLUC	291	KLUC family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaKLUC
NF012141.0	          625.000000	          625.000000	blaKPC	293	KPC family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaKPC
NF033101.0	          650.000000	          650.000000	blaL	325	BlaL family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaL
NF033106.1	          560.000000	          560.000000	blaL1	290	L1 family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaL1
NF000383.2	          600.000000	          600.000000	blaLAP	285	LAP family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaLAP
NF040478.1	          850.000000	          850.000000	blaLAQ	380	LAQ family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaLAQ
NF000233.2	          640.000000	          640.000000	blaLEN	286	LEN family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaLEN
NF033569.1	          850.000000	          850.000000	blaLHK	390	LHK family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaLHK
NF000324.2	          600.000000	          600.000000	blaLUT	296	LUT family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaLUT
NF041113.1	          575.000000	          575.000000	blaMAB	289	MAB family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaMAB
NF033406.1	          750.000000	          750.000000	blaMCA	390	MCA family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaMCA
NF000187.3	          882.000000	          882.000000	blaMIR	381	MIR family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaMIR
NF000239.3	          770.000000	          770.000000	blaMOX	383	CMY-1/MOX family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaMOX
NF000456.2	          550.000000	          550.000000	blaMSI	289	MSI-1 family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaMSI-1_fam
NF000441.2	          540.000000	          540.000000	blaMUS	246	MUS family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaMUS
NF000259.2	          580.000000	          580.000000	blaNDM	270	NDM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaNDM
NF000264.2	          800.000000	          800.000000	blaOCH	390	OCH family extended-spectrum class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaOCH
NF000265.2	          620.000000	          620.000000	blaOKP	286	OKP family broad-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOKP
NF038401.1	          670.000000	          670.000000	blaORN	291	ORN family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaORN
NF012161.0	          250.000000	          250.000000	blaOXA	236	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA
NF040529.1	          580.000000	          580.000000	blaOXA	277	OXA-1036 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-1036_fam
NF040600.1	          525.000000	          525.000000	blaOXA	268	OXA-1043 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-1043_fam
NF040804.1	          580.000000	          580.000000	blaOXA	289	OXA-1089 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-1089_fam
NF040803.1	          570.000000	          570.000000	blaOXA	272	OXA-1091 family oxacillin-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-1091_fam
NF000386.2	          580.000000	          580.000000	blaOXA	266	OXA-10 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-10_fam
NF033818.0	          620.000000	          620.000000	blaOXA	275	OXA-114 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-114_fam
NF033702.0	          595.000000	          595.000000	blaOXA	264	OXA-12 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-12_fam
NF000436.2	          570.000000	          570.000000	blaOXA	276	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-134_fam
NF000464.2	          610.000000	          610.000000	blaOXA	275	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-143_fam
NF000461.2	          475.000000	          475.000000	blaOXA	248	OXA-184 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-184_fam
NF040806.1	          515.000000	          515.000000	blaOXA	258	OXA-198 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-198_fam
NF000388.2	          580.000000	          580.000000	blaOXA	276	OXA-1 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-1_fam
NF000417.2	          575.000000	          575.000000	blaOXA	274	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-211_fam
NF000269.2	          560.000000	          560.000000	blaOXA	273	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-213_fam
NF000418.2	          600.000000	          600.000000	blaOXA	275	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-214_fam
NF000501.2	          625.000000	          625.000000	blaOXA	276	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-229_fam
NF033509.1	          575.000000	          575.000000	blaOXA	275	OXA-22 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-22_fam
NF000266.2	          600.000000	          600.000000	blaOXA	273	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-23_fam
NF000434.2	          615.000000	          615.000000	blaOXA	275	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-24_fam
NF033653.1	          600.000000	          600.000000	blaOXA	277	OXA-266 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-266_fam
NF033648.1	          625.000000	          625.000000	blaOXA	281	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-274_fam
NF000520.2	          570.000000	          570.000000	blaOXA	278	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-286_fam
NF038386.1	          580.000000	          580.000000	blaOXA	278	OXA-294 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-294_fam
NF000267.2	          590.000000	          590.000000	blaOXA	275	OXA-2 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-2_fam
NF033815.0	          625.000000	          625.000000	blaOXA	275	OXA-364 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-364_fam
NF000415.3	          535.000000	          535.000000	blaOXA	257	OXA-372 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-372_fam
NF038217.1	          600.000000	          600.000000	blaOXA	264	OXA-427 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-427_fam
NF040531.1	          540.000000	          540.000000	blaOXA	269	OXA-42 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-42_fam
NF033104.0	          600.000000	          600.000000	blaOXA	266	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-46_fam
NF000387.2	          580.000000	          580.000000	blaOXA	265	OXA-48 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-48_fam
NF000462.2	          475.000000	          475.000000	blaOXA	248	OXA-493 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-493_fam
NF000432.2	          580.000000	          580.000000	blaOXA	262	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-50_fam
NF000268.2	          600.000000	          600.000000	blaOXA	274	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-51_fam
NF040530.1	          620.000000	          620.000000	blaOXA	295	OXA-548 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-548_fam
NF033667.1	          550.000000	          550.000000	blaOXA	289	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-55_fam
NF033613.1	          530.000000	          530.000000	blaOXA	248	OXA-576 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-576_fam
NF000500.2	          625.000000	          625.000000	blaOXA	280	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-58_fam
NF040527.2	          574.000000	          574.000000	blaOXA	267	OXA-5 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-5_fam
