MZ334505.1_31	38654c755ccdee6ab1c7b9ccd248d435	563	SUPERFAMILY	SSF49899	Concanavalin A-like lectins/glucanases	194	381	8.31E-10	T	10-07-2023	IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	Gene3D	G3DSA:3.20.70.20	-	279	736	6.0E-103	T	10-07-2023	-	-
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	PANTHER	PTHR43371	VITAMIN B12-DEPENDENT RIBONUCLEOTIDE REDUCTASE	7	805	2.2E-192	T	10-07-2023	-	-
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	CDD	cd02888	RNR_II_dimer	85	723	2.18915E-173	T	10-07-2023	IPR013344	Ribonucleotide reductase, adenosylcobalamin-dependent
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	10-07-2023	-	-
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	SUPERFAMILY	SSF48168	R1 subunit of ribonucleotide reductase, N-terminal domain	41	111	7.32E-10	T	10-07-2023	IPR008926	Ribonucleotide reductase R1 subunit, N-terminal
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	Gene3D	G3DSA:3.20.70.20	-	22	262	7.9E-74	T	10-07-2023	-	-
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	PRINTS	PR01183	Ribonucleotide reductase large chain signature	433	456	3.4E-21	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	PRINTS	PR01183	Ribonucleotide reductase large chain signature	559	586	3.4E-21	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	PRINTS	PR01183	Ribonucleotide reductase large chain signature	471	493	3.4E-21	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	PRINTS	PR01183	Ribonucleotide reductase large chain signature	188	207	3.4E-21	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	PRINTS	PR01183	Ribonucleotide reductase large chain signature	368	379	3.4E-21	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334505.1_105	ee3812d450a93e81eccd38473d1d8826	46	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	10-07-2023	-	-
MZ334505.1_105	ee3812d450a93e81eccd38473d1d8826	46	MobiDBLite	mobidb-lite	consensus disorder prediction	14	35	-	T	10-07-2023	-	-
MZ334505.1_76	353e4f4bbae5d5548ddef736e937f365	161	Gene3D	G3DSA:3.10.28.10	Homing endonucleases	1	154	8.0E-16	T	10-07-2023	IPR027434	Homing endonuclease
MZ334505.1_76	353e4f4bbae5d5548ddef736e937f365	161	SUPERFAMILY	SSF55608	Homing endonucleases	4	156	2.89E-15	T	10-07-2023	IPR027434	Homing endonuclease
MZ334505.1_20	e3990e011d0f4ec6deb948a9b04cebcf	180	MobiDBLite	mobidb-lite	consensus disorder prediction	165	180	-	T	10-07-2023	-	-
MZ334505.1_20	e3990e011d0f4ec6deb948a9b04cebcf	180	MobiDBLite	mobidb-lite	consensus disorder prediction	160	180	-	T	10-07-2023	-	-
MZ334505.1_9	3e553fed5d0a0874beebfdce61b21481	96	Coils	Coil	Coil	17	51	-	T	10-07-2023	-	-
MZ334505.1_107	11195c52c61f1204ad692ee4b162867a	116	MobiDBLite	mobidb-lite	consensus disorder prediction	1	26	-	T	10-07-2023	-	-
MZ334505.1_107	11195c52c61f1204ad692ee4b162867a	116	MobiDBLite	mobidb-lite	consensus disorder prediction	87	116	-	T	10-07-2023	-	-
MZ334505.1_60	fbe98d5c4c9f404c6cc0ab7864e5628b	53	Coils	Coil	Coil	12	32	-	T	10-07-2023	-	-
MZ334505.1_108	b84c523d7e15ef945d5b2cb8b688b606	109	MobiDBLite	mobidb-lite	consensus disorder prediction	1	17	-	T	10-07-2023	-	-
MZ334505.1_108	b84c523d7e15ef945d5b2cb8b688b606	109	MobiDBLite	mobidb-lite	consensus disorder prediction	64	109	-	T	10-07-2023	-	-
MZ334505.1_108	b84c523d7e15ef945d5b2cb8b688b606	109	MobiDBLite	mobidb-lite	consensus disorder prediction	58	109	-	T	10-07-2023	-	-
MZ334505.1_108	b84c523d7e15ef945d5b2cb8b688b606	109	MobiDBLite	mobidb-lite	consensus disorder prediction	1	21	-	T	10-07-2023	-	-
MZ334505.1_33	59a210e287fbbc17cf26a6c15621cc96	125	MobiDBLite	mobidb-lite	consensus disorder prediction	104	125	-	T	10-07-2023	-	-
MZ334505.1_84	f2095854dad1cb1184490691a5cf82e8	150	MobiDBLite	mobidb-lite	consensus disorder prediction	1	21	-	T	10-07-2023	-	-
MZ334505.1_32	5093f357dc9e0654b4739bfbec37ec93	343	MobiDBLite	mobidb-lite	consensus disorder prediction	60	123	-	T	10-07-2023	-	-
MZ334505.1_32	5093f357dc9e0654b4739bfbec37ec93	343	MobiDBLite	mobidb-lite	consensus disorder prediction	193	249	-	T	10-07-2023	-	-
MZ334505.1_32	5093f357dc9e0654b4739bfbec37ec93	343	MobiDBLite	mobidb-lite	consensus disorder prediction	60	76	-	T	10-07-2023	-	-
MZ334505.1_32	5093f357dc9e0654b4739bfbec37ec93	343	MobiDBLite	mobidb-lite	consensus disorder prediction	94	123	-	T	10-07-2023	-	-
MZ334505.1_32	5093f357dc9e0654b4739bfbec37ec93	343	MobiDBLite	mobidb-lite	consensus disorder prediction	275	330	-	T	10-07-2023	-	-
MZ334505.1_32	5093f357dc9e0654b4739bfbec37ec93	343	MobiDBLite	mobidb-lite	consensus disorder prediction	137	157	-	T	10-07-2023	-	-
MZ334505.1_32	5093f357dc9e0654b4739bfbec37ec93	343	MobiDBLite	mobidb-lite	consensus disorder prediction	137	158	-	T	10-07-2023	-	-
MZ334505.1_6	24b2ac69fd36a3b7aaa9b8aceea7d15b	68	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	10-07-2023	-	-
MZ334505.1_7	0688551b4e0bfda99721b6a72a2d8605	563	Pfam	PF17289	Terminase RNaseH-like domain	320	484	1.6E-6	T	10-07-2023	IPR035421	Terminase, large subunit gp17-like, C-terminal
MZ334505.1_7	0688551b4e0bfda99721b6a72a2d8605	563	Gene3D	G3DSA:3.40.50.300	-	5	222	2.0E-31	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334505.1_7	0688551b4e0bfda99721b6a72a2d8605	563	Pfam	PF03237	Terminase large subunit, T4likevirus-type, N-terminal	71	292	4.3E-7	T	10-07-2023	-	-
MZ334505.1_7	0688551b4e0bfda99721b6a72a2d8605	563	Gene3D	G3DSA:3.30.420.240	-	294	487	3.7E-25	T	10-07-2023	-	-
MZ334505.1_7	0688551b4e0bfda99721b6a72a2d8605	563	MobiDBLite	mobidb-lite	consensus disorder prediction	488	563	-	T	10-07-2023	-	-
MZ334505.1_7	0688551b4e0bfda99721b6a72a2d8605	563	MobiDBLite	mobidb-lite	consensus disorder prediction	545	563	-	T	10-07-2023	-	-
MZ334505.1_49	683a4df16855252125e40239955a3ed0	185	Gene3D	G3DSA:2.70.40.10	-	1	182	1.4E-48	T	10-07-2023	IPR036157	dUTPase-like superfamily
MZ334505.1_49	683a4df16855252125e40239955a3ed0	185	CDD	cd07557	trimeric_dUTPase	32	145	3.94277E-31	T	10-07-2023	IPR033704	dUTPase, trimeric
MZ334505.1_49	683a4df16855252125e40239955a3ed0	185	Pfam	PF00692	dUTPase	67	158	2.1E-13	T	10-07-2023	IPR029054	dUTPase-like
MZ334505.1_49	683a4df16855252125e40239955a3ed0	185	MobiDBLite	mobidb-lite	consensus disorder prediction	157	174	-	T	10-07-2023	-	-
MZ334505.1_49	683a4df16855252125e40239955a3ed0	185	Hamap	MF_00146	dCTP deaminase, dUMP-forming [dcd].	1	177	27.127819	T	10-07-2023	IPR011962	dCTP deaminase
MZ334505.1_49	683a4df16855252125e40239955a3ed0	185	TIGRFAM	TIGR02274	dCTP_deam: deoxycytidine triphosphate deaminase	2	176	7.0E-48	T	10-07-2023	IPR011962	dCTP deaminase
MZ334505.1_49	683a4df16855252125e40239955a3ed0	185	PANTHER	PTHR42680	DCTP DEAMINASE	1	179	5.6E-35	T	10-07-2023	-	-
MZ334505.1_49	683a4df16855252125e40239955a3ed0	185	SUPERFAMILY	SSF51283	dUTPase-like	1	180	3.66E-44	T	10-07-2023	IPR036157	dUTPase-like superfamily
MZ334505.1_49	683a4df16855252125e40239955a3ed0	185	MobiDBLite	mobidb-lite	consensus disorder prediction	156	185	-	T	10-07-2023	-	-
MZ334505.1_77	bad20f25574a90a4ee43454b8a2061f7	159	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	10-07-2023	-	-
MZ334505.1_77	bad20f25574a90a4ee43454b8a2061f7	159	MobiDBLite	mobidb-lite	consensus disorder prediction	1	28	-	T	10-07-2023	-	-
MZ334505.1_78	d63f97d2344ff440811a5d1e2e5fe0a9	154	Pfam	PF02732	ERCC4 domain	9	144	3.2E-6	T	10-07-2023	IPR006166	ERCC4 domain
MZ334505.1_78	d63f97d2344ff440811a5d1e2e5fe0a9	154	Gene3D	G3DSA:3.40.50.10130	-	2	154	5.0E-14	T	10-07-2023	-	-
MZ334505.1_78	d63f97d2344ff440811a5d1e2e5fe0a9	154	SUPERFAMILY	SSF52980	Restriction endonuclease-like	5	150	7.51E-16	T	10-07-2023	IPR011335	Restriction endonuclease  type II-like
MZ334505.1_100	278a90c1c81b4084f415cafd22010b0f	39	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	10-07-2023	-	-
MZ334505.1_100	278a90c1c81b4084f415cafd22010b0f	39	MobiDBLite	mobidb-lite	consensus disorder prediction	14	39	-	T	10-07-2023	-	-
