LBYQ01000006.1_13	f6d459b0ffac2bf5365b431bf1942f2e	118	Pfam	PF18924	Protein of unknown function (DUF5674)	7	103	7.1E-23	T	10-07-2023	IPR043731	Protein of unknown function DUF5674
LBYQ01000016.1_8	db1e28a5a09e380f8e3161b20d73bfbd	103	Gene3D	G3DSA:3.40.50.720	-	1	103	4.0E-37	T	10-07-2023	-	-
LBYQ01000016.1_8	db1e28a5a09e380f8e3161b20d73bfbd	103	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	1	102	6.98E-27	T	10-07-2023	IPR036291	NAD(P)-binding domain superfamily
LBYQ01000016.1_8	db1e28a5a09e380f8e3161b20d73bfbd	103	Pfam	PF03721	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	1	102	5.1E-32	T	10-07-2023	IPR001732	UDP-glucose/GDP-mannose dehydrogenase, N-terminal
LBYQ01000016.1_8	db1e28a5a09e380f8e3161b20d73bfbd	103	PANTHER	PTHR43750	UDP-GLUCOSE 6-DEHYDROGENASE TUAD	1	103	3.0E-29	T	10-07-2023	-	-
LBYQ01000015.1_1	6a454ff819e91435bd1a3be93f957c4d	517	PANTHER	PTHR31998	K(+)-INSENSITIVE PYROPHOSPHATE-ENERGIZED PROTON PUMP	39	515	3.6E-142	T	10-07-2023	IPR004131	Pyrophosphate-energised proton pump
LBYQ01000015.1_1	6a454ff819e91435bd1a3be93f957c4d	517	Pfam	PF03030	Inorganic H+ pyrophosphatase	21	516	9.7E-180	T	10-07-2023	IPR004131	Pyrophosphate-energised proton pump
LBYQ01000001.1_59	a3a20d385c080f1d4c9d1edc83b097e1	86	Coils	Coil	Coil	27	47	-	T	10-07-2023	-	-
LBYQ01000001.1_59	a3a20d385c080f1d4c9d1edc83b097e1	86	Pfam	PF04977	Septum formation initiator	9	85	2.8E-9	T	10-07-2023	IPR007060	Septum formation initiator FtsL/DivIC
LBYQ01000017.1_2	d4cc47a4f56c8d1fb82c052fe05b2e77	188	Pfam	PF01255	Putative undecaprenyl diphosphate synthase	15	187	5.6E-56	T	10-07-2023	IPR001441	Decaprenyl diphosphate synthase-like
LBYQ01000017.1_2	d4cc47a4f56c8d1fb82c052fe05b2e77	188	Gene3D	G3DSA:3.40.1180.10	-	2	188	3.4E-71	T	10-07-2023	IPR036424	Decaprenyl diphosphate synthase-like superfamily
LBYQ01000017.1_2	d4cc47a4f56c8d1fb82c052fe05b2e77	188	PANTHER	PTHR10291	DEHYDRODOLICHYL DIPHOSPHATE SYNTHASE FAMILY MEMBER	7	187	7.2E-58	T	10-07-2023	IPR001441	Decaprenyl diphosphate synthase-like
LBYQ01000017.1_2	d4cc47a4f56c8d1fb82c052fe05b2e77	188	CDD	cd00475	Cis_IPPS	11	187	5.96483E-95	T	10-07-2023	IPR001441	Decaprenyl diphosphate synthase-like
LBYQ01000017.1_2	d4cc47a4f56c8d1fb82c052fe05b2e77	188	SUPERFAMILY	SSF64005	Undecaprenyl diphosphate synthase	8	187	1.03E-58	T	10-07-2023	IPR036424	Decaprenyl diphosphate synthase-like superfamily
LBYQ01000017.1_2	d4cc47a4f56c8d1fb82c052fe05b2e77	188	TIGRFAM	TIGR00055	uppS: di-trans,poly-cis-decaprenylcistransferase	8	187	9.8E-54	T	10-07-2023	IPR001441	Decaprenyl diphosphate synthase-like
LBYQ01000020.1_3	cc08eedf2681d410fe7c049de1751a26	273	CDD	cd07436	PHP_PolX	28	271	3.09702E-91	T	10-07-2023	-	-
LBYQ01000020.1_3	cc08eedf2681d410fe7c049de1751a26	273	Gene3D	G3DSA:3.20.20.140	-	22	273	1.7E-56	T	10-07-2023	-	-
LBYQ01000020.1_3	cc08eedf2681d410fe7c049de1751a26	273	PANTHER	PTHR36928	PHOSPHATASE YCDX-RELATED	28	269	6.2E-54	T	10-07-2023	-	-
LBYQ01000020.1_3	cc08eedf2681d410fe7c049de1751a26	273	SUPERFAMILY	SSF89550	PHP domain-like	33	267	1.83E-33	T	10-07-2023	IPR016195	Polymerase/histidinol phosphatase-like
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	Hamap	MF_02207	Cell shape-determining protein MreB [mreB].	8	337	38.740471	T	10-07-2023	IPR004753	Cell shape determining protein MreB
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	Pfam	PF06723	MreB/Mbl protein	9	330	7.2E-130	T	10-07-2023	-	-
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	PANTHER	PTHR42749	CELL SHAPE-DETERMINING PROTEIN MREB	2	329	2.1E-78	T	10-07-2023	-	-
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	TIGRFAM	TIGR00904	mreB: cell shape determining protein, MreB/Mrl family	7	331	2.9E-122	T	10-07-2023	IPR004753	Cell shape determining protein MreB
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	SUPERFAMILY	SSF53067	Actin-like ATPase domain	8	143	8.92E-38	T	10-07-2023	IPR043129	ATPase, nucleotide binding domain
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	SUPERFAMILY	SSF53067	Actin-like ATPase domain	147	329	1.09E-44	T	10-07-2023	IPR043129	ATPase, nucleotide binding domain
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	Gene3D	G3DSA:3.30.420.40	-	155	228	3.5E-13	T	10-07-2023	-	-
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	Gene3D	G3DSA:3.30.420.40	-	229	314	5.1E-22	T	10-07-2023	-	-
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	Gene3D	G3DSA:3.30.420.40	-	6	154	2.6E-49	T	10-07-2023	-	-
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	PRINTS	PR01652	Bacterial cell shape determinant MreB/Mbl protein signature	297	323	1.4E-47	T	10-07-2023	IPR004753	Cell shape determining protein MreB
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	PRINTS	PR01652	Bacterial cell shape determinant MreB/Mbl protein signature	184	204	1.4E-47	T	10-07-2023	IPR004753	Cell shape determining protein MreB
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	PRINTS	PR01652	Bacterial cell shape determinant MreB/Mbl protein signature	46	64	1.4E-47	T	10-07-2023	IPR004753	Cell shape determining protein MreB
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	PRINTS	PR01652	Bacterial cell shape determinant MreB/Mbl protein signature	66	89	1.4E-47	T	10-07-2023	IPR004753	Cell shape determining protein MreB
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	PRINTS	PR01652	Bacterial cell shape determinant MreB/Mbl protein signature	129	148	1.4E-47	T	10-07-2023	IPR004753	Cell shape determining protein MreB
LBYQ01000001.1_71	033727cfb0c4f0c03319080f63dd526b	344	CDD	cd10225	MreB_like	11	329	1.095E-175	T	10-07-2023	IPR004753	Cell shape determining protein MreB
LBYQ01000017.1_6	e1e19e4499f25fa39cf61c6613ae359c	199	PANTHER	PTHR43453	RRNA METHYLASE-LIKE	126	197	5.3E-26	T	10-07-2023	IPR033671	tRNA (guanosine(18)-2'-O)-methyltransferase
LBYQ01000017.1_6	e1e19e4499f25fa39cf61c6613ae359c	199	SUPERFAMILY	SSF75217	alpha/beta knot	17	198	1.78E-32	T	10-07-2023	IPR029028	Alpha/beta knot methyltransferases
LBYQ01000017.1_6	e1e19e4499f25fa39cf61c6613ae359c	199	Gene3D	G3DSA:3.40.1280.10	-	7	199	2.7E-43	T	10-07-2023	IPR029026	tRNA (guanine-N1-)-methyltransferase, N-terminal
LBYQ01000017.1_6	e1e19e4499f25fa39cf61c6613ae359c	199	Pfam	PF00588	SpoU rRNA Methylase family	27	196	9.5E-30	T	10-07-2023	IPR001537	tRNA/rRNA methyltransferase, SpoU type
LBYQ01000017.1_6	e1e19e4499f25fa39cf61c6613ae359c	199	MobiDBLite	mobidb-lite	consensus disorder prediction	100	119	-	T	10-07-2023	-	-
LBYQ01000012.1_5	d81df2a4c211c6529cec97616651d51f	221	Pfam	PF01676	Metalloenzyme superfamily	29	209	3.7E-46	T	10-07-2023	IPR006124	Metalloenzyme
LBYQ01000012.1_5	d81df2a4c211c6529cec97616651d51f	221	Gene3D	G3DSA:3.40.1450.10	-	1	19	4.6E-86	T	10-07-2023	IPR036646	BPG-independent phosphoglycerate mutase, domain B superfamily
LBYQ01000012.1_5	d81df2a4c211c6529cec97616651d51f	221	Gene3D	G3DSA:3.40.720.10	Alkaline Phosphatase, subunit A	20	219	4.6E-86	T	10-07-2023	IPR017850	Alkaline-phosphatase-like, core domain superfamily
LBYQ01000012.1_5	d81df2a4c211c6529cec97616651d51f	221	SUPERFAMILY	SSF53649	Alkaline phosphatase-like	25	221	2.36E-40	T	10-07-2023	IPR017850	Alkaline-phosphatase-like, core domain superfamily
LBYQ01000012.1_5	d81df2a4c211c6529cec97616651d51f	221	PANTHER	PTHR31637	2,3-BISPHOSPHOGLYCERATE-INDEPENDENT PHOSPHOGLYCERATE MUTASE	1	220	2.4E-58	T	10-07-2023	IPR005995	Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent
LBYQ01000003.1_8	ff00bc2a3b37a8be33a13575395b3d4c	86	Gene3D	G3DSA:1.10.287.310	-	1	66	1.0E-10	T	10-07-2023	IPR036049	Ribosomal protein L29/L35 superfamily
LBYQ01000003.1_8	ff00bc2a3b37a8be33a13575395b3d4c	86	Hamap	MF_00374	50S ribosomal protein L29 [rpmC].	1	63	10.616278	T	10-07-2023	IPR001854	Ribosomal protein L29/L35
LBYQ01000003.1_8	ff00bc2a3b37a8be33a13575395b3d4c	86	Pfam	PF00831	Ribosomal L29 protein	7	61	2.9E-8	T	10-07-2023	IPR001854	Ribosomal protein L29/L35
LBYQ01000003.1_8	ff00bc2a3b37a8be33a13575395b3d4c	86	SUPERFAMILY	SSF46561	Ribosomal protein L29 (L29p)	6	63	1.44E-9	T	10-07-2023	IPR036049	Ribosomal protein L29/L35 superfamily
LBYQ01000003.1_8	ff00bc2a3b37a8be33a13575395b3d4c	86	TIGRFAM	TIGR00012	L29: ribosomal protein uL29	8	61	5.0E-8	T	10-07-2023	IPR001854	Ribosomal protein L29/L35
LBYQ01000006.1_17	e982039f9b4d46893d71688ab11f6419	60	Pfam	PF18929	Family of unknown function (DUF5678)	8	53	2.9E-8	T	10-07-2023	IPR043734	Domain of unknown function DUF5678
LBYQ01000001.1_31	93721883ee7ea6a2ca33d9258d683227	168	PANTHER	PTHR17224	PEPTIDYL-TRNA HYDROLASE	5	162	5.3E-30	T	10-07-2023	IPR001328	Peptidyl-tRNA hydrolase
LBYQ01000001.1_31	93721883ee7ea6a2ca33d9258d683227	168	SUPERFAMILY	SSF53178	Peptidyl-tRNA hydrolase-like	6	164	4.97E-41	T	10-07-2023	IPR036416	Peptidyl-tRNA hydrolase superfamily
LBYQ01000001.1_31	93721883ee7ea6a2ca33d9258d683227	168	Pfam	PF01195	Peptidyl-tRNA hydrolase	8	164	1.1E-39	T	10-07-2023	IPR001328	Peptidyl-tRNA hydrolase
LBYQ01000001.1_31	93721883ee7ea6a2ca33d9258d683227	168	CDD	cd00462	PTH	8	167	2.18019E-48	T	10-07-2023	IPR001328	Peptidyl-tRNA hydrolase
LBYQ01000001.1_31	93721883ee7ea6a2ca33d9258d683227	168	Gene3D	G3DSA:3.40.50.1470	-	5	167	9.4E-48	T	10-07-2023	IPR036416	Peptidyl-tRNA hydrolase superfamily
LBYQ01000019.1_2_1	0401250663f67295d41172c14ecd5132	206	SUPERFAMILY	SSF55811	Nudix	68	192	6.62E-7	T	10-07-2023	IPR015797	NUDIX hydrolase-like domain superfamily
LBYQ01000019.1_2_1	0401250663f67295d41172c14ecd5132	206	Gene3D	G3DSA:3.90.79.10	Nucleoside Triphosphate Pyrophosphohydrolase	3	206	3.1E-58	T	10-07-2023	-	-
LBYQ01000008.1_9	d285d5563f6b8b282180dbf9b77f8df0	308	SUPERFAMILY	SSF55797	PR-1-like	78	199	3.01E-19	T	10-07-2023	IPR035940	CAP superfamily
LBYQ01000008.1_9	d285d5563f6b8b282180dbf9b77f8df0	308	Pfam	PF00188	Cysteine-rich secretory protein family	81	197	3.3E-19	T	10-07-2023	IPR014044	CAP domain
LBYQ01000008.1_9	d285d5563f6b8b282180dbf9b77f8df0	308	PANTHER	PTHR31157	UNCHARACTERIZED	79	202	4.3E-24	T	10-07-2023	-	-
LBYQ01000008.1_9	d285d5563f6b8b282180dbf9b77f8df0	308	Gene3D	G3DSA:3.40.33.10	CAP	71	198	1.7E-40	T	10-07-2023	IPR035940	CAP superfamily
LBYQ01000008.1_9	d285d5563f6b8b282180dbf9b77f8df0	308	CDD	cd05379	CAP_bacterial	77	199	2.41111E-31	T	10-07-2023	-	-
LBYQ01000004.1_1	3030417b6a432b498011a6ba1473d0a9	196	CDD	cd00077	HDc	38	147	0.00631504	T	10-07-2023	IPR003607	HD/PDEase domain
LBYQ01000004.1_1	3030417b6a432b498011a6ba1473d0a9	196	Pfam	PF13023	HD domain	20	172	1.0E-24	T	10-07-2023	IPR006674	HD domain
LBYQ01000004.1_1	3030417b6a432b498011a6ba1473d0a9	196	Coils	Coil	Coil	130	150	-	T	10-07-2023	-	-
LBYQ01000004.1_1	3030417b6a432b498011a6ba1473d0a9	196	SUPERFAMILY	SSF109604	HD-domain/PDEase-like	11	183	5.14E-26	T	10-07-2023	-	-
LBYQ01000004.1_1	3030417b6a432b498011a6ba1473d0a9	196	PANTHER	PTHR11845	UNCHARACTERIZED	8	184	1.9E-23	T	10-07-2023	IPR039356	5'-deoxynucleotidase YfbR/HDDC2
LBYQ01000004.1_1	3030417b6a432b498011a6ba1473d0a9	196	SMART	SM00471	hd_13	36	156	3.2E-9	T	10-07-2023	IPR003607	HD/PDEase domain
LBYQ01000004.1_1	3030417b6a432b498011a6ba1473d0a9	196	Gene3D	G3DSA:1.10.3210.10	Hypothetical protein af1432	1	195	3.0E-40	T	10-07-2023	-	-
LBYQ01000002.1_1	a79d8a4b07b49d4c504fb2cf62b458d3	83	Pfam	PF11680	Protein of unknown function (DUF3276)	9	82	2.4E-8	T	10-07-2023	IPR021694	Protein of unknown function DUF3276
LBYQ01000002.1_1	a79d8a4b07b49d4c504fb2cf62b458d3	83	Gene3D	G3DSA:3.10.450.700	-	13	83	2.6E-15	T	10-07-2023	-	-
LBYQ01000019.1_1_3	008fda873f7ae13725d9fc9b797f8859	157	Pfam	PF01765	Ribosome recycling factor	17	156	6.9E-40	T	10-07-2023	IPR023584	Ribosome recycling factor domain
LBYQ01000019.1_1_3	008fda873f7ae13725d9fc9b797f8859	157	Gene3D	G3DSA:3.30.1360.40	-	28	102	7.6E-49	T	10-07-2023	-	-
LBYQ01000019.1_1_3	008fda873f7ae13725d9fc9b797f8859	157	PANTHER	PTHR20982	RIBOSOME RECYCLING FACTOR	4	155	2.1E-35	T	10-07-2023	IPR002661	Ribosome recycling factor
LBYQ01000019.1_1_3	008fda873f7ae13725d9fc9b797f8859	157	FunFam	G3DSA:3.30.1360.40:FF:000001	Ribosome-recycling factor	28	102	4.1E-19	T	10-07-2023	-	-
LBYQ01000019.1_1_3	008fda873f7ae13725d9fc9b797f8859	157	Gene3D	G3DSA:1.10.132.20	-	7	156	7.6E-49	T	10-07-2023	IPR036191	RRF superfamily
LBYQ01000019.1_1_3	008fda873f7ae13725d9fc9b797f8859	157	SUPERFAMILY	SSF55194	Ribosome recycling factor, RRF	2	156	5.89E-47	T	10-07-2023	IPR036191	RRF superfamily
LBYQ01000013.1_19	f2fe6d7dd11f47b657aa3a79fded8cf7	279	Pfam	PF02683	Cytochrome C biogenesis protein transmembrane region	12	191	1.1E-19	T	10-07-2023	IPR003834	Cytochrome C biogenesis protein, transmembrane domain
LBYQ01000013.1_19	f2fe6d7dd11f47b657aa3a79fded8cf7	279	PANTHER	PTHR31272	CYTOCHROME C-TYPE BIOGENESIS PROTEIN HI_1454-RELATED	5	214	1.1E-21	T	10-07-2023	-	-
LBYQ01000016.1_5	90525ecbcf520622ca82e96580d27839	336	PANTHER	PTHR43000	DTDP-D-GLUCOSE 4,6-DEHYDRATASE-RELATED	2	322	2.3E-109	T	10-07-2023	-	-
LBYQ01000016.1_5	90525ecbcf520622ca82e96580d27839	336	CDD	cd05246	dTDP_GD_SDR_e	1	315	0.0	T	10-07-2023	IPR005888	dTDP-glucose 4,6-dehydratase
LBYQ01000016.1_5	90525ecbcf520622ca82e96580d27839	336	Gene3D	G3DSA:3.90.25.10	-	191	313	3.5E-126	T	10-07-2023	-	-
LBYQ01000016.1_5	90525ecbcf520622ca82e96580d27839	336	Pfam	PF16363	GDP-mannose 4,6 dehydratase	4	303	9.1E-83	T	10-07-2023	IPR016040	NAD(P)-binding domain
LBYQ01000016.1_5	90525ecbcf520622ca82e96580d27839	336	Gene3D	G3DSA:3.40.50.720	-	2	304	3.5E-126	T	10-07-2023	-	-
LBYQ01000016.1_5	90525ecbcf520622ca82e96580d27839	336	FunFam	G3DSA:3.40.50.720:FF:000304	UDP-glucose 4,6-dehydratase	3	204	2.9E-59	T	10-07-2023	-	-
LBYQ01000016.1_5	90525ecbcf520622ca82e96580d27839	336	TIGRFAM	TIGR01181	dTDP_gluc_dehyt: dTDP-glucose 4,6-dehydratase	2	320	9.2E-140	T	10-07-2023	IPR005888	dTDP-glucose 4,6-dehydratase
LBYQ01000016.1_5	90525ecbcf520622ca82e96580d27839	336	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	1	333	1.09E-93	T	10-07-2023	IPR036291	NAD(P)-binding domain superfamily
LBYQ01000001.1_40	39eae5dc2b63cc485231e0486fe85194	98	Coils	Coil	Coil	27	54	-	T	10-07-2023	-	-
LBYQ01000007.1_1_5	31e3903889ca105b68b27b8217774740	279	CDD	cd00761	Glyco_tranf_GTA_type	7	101	2.33331E-32	T	10-07-2023	-	-
LBYQ01000007.1_1_5	31e3903889ca105b68b27b8217774740	279	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	3	259	5.23E-46	T	10-07-2023	IPR029044	Nucleotide-diphospho-sugar transferases
LBYQ01000007.1_1_5	31e3903889ca105b68b27b8217774740	279	Pfam	PF00535	Glycosyl transferase family 2	6	163	6.8E-33	T	10-07-2023	IPR001173	Glycosyltransferase 2-like
LBYQ01000007.1_1_5	31e3903889ca105b68b27b8217774740	279	Gene3D	G3DSA:3.90.550.10	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	1	217	3.5E-46	T	10-07-2023	IPR029044	Nucleotide-diphospho-sugar transferases
LBYQ01000007.1_1_5	31e3903889ca105b68b27b8217774740	279	PANTHER	PTHR43630	POLY-BETA-1,6-N-ACETYL-D-GLUCOSAMINE SYNTHASE	2	241	7.3E-37	T	10-07-2023	-	-
LBYQ01000003.1_4	89f6f4ce53dc35f628bb2163ee176a32	94	PANTHER	PTHR11880	RIBOSOMAL PROTEIN S19P FAMILY MEMBER	3	87	1.9E-21	T	10-07-2023	IPR002222	Ribosomal protein S19/S15
LBYQ01000003.1_4	89f6f4ce53dc35f628bb2163ee176a32	94	FunFam	G3DSA:3.30.860.10:FF:000001	30S ribosomal protein S19	1	94	3.8E-39	T	10-07-2023	-	-
LBYQ01000003.1_4	89f6f4ce53dc35f628bb2163ee176a32	94	Hamap	MF_00531	30S ribosomal protein S19 [rpsS].	1	89	23.853056	T	10-07-2023	IPR002222	Ribosomal protein S19/S15
LBYQ01000003.1_4	89f6f4ce53dc35f628bb2163ee176a32	94	ProSitePatterns	PS00323	Ribosomal protein S19 signature.	53	77	-	T	10-07-2023	IPR020934	Ribosomal protein S15/S19, conserved site
LBYQ01000003.1_4	89f6f4ce53dc35f628bb2163ee176a32	94	TIGRFAM	TIGR01050	rpsS_bact: ribosomal protein uS19	1	90	5.6E-41	T	10-07-2023	IPR005732	Ribosomal protein S19, bacterial-type
LBYQ01000003.1_4	89f6f4ce53dc35f628bb2163ee176a32	94	PRINTS	PR00975	Ribosomal protein S19 family signature	53	65	1.7E-19	T	10-07-2023	IPR002222	Ribosomal protein S19/S15
LBYQ01000003.1_4	89f6f4ce53dc35f628bb2163ee176a32	94	PRINTS	PR00975	Ribosomal protein S19 family signature	65	80	1.7E-19	T	10-07-2023	IPR002222	Ribosomal protein S19/S15
LBYQ01000003.1_4	89f6f4ce53dc35f628bb2163ee176a32	94	PRINTS	PR00975	Ribosomal protein S19 family signature	33	52	1.7E-19	T	10-07-2023	IPR002222	Ribosomal protein S19/S15
LBYQ01000003.1_4	89f6f4ce53dc35f628bb2163ee176a32	94	Pfam	PF00203	Ribosomal protein S19	3	83	2.3E-34	T	10-07-2023	IPR002222	Ribosomal protein S19/S15
LBYQ01000003.1_4	89f6f4ce53dc35f628bb2163ee176a32	94	Gene3D	G3DSA:3.30.860.10	30s Ribosomal Protein S19; Chain A	1	93	8.8E-39	T	10-07-2023	IPR023575	Ribosomal protein S19/S15, superfamily
LBYQ01000003.1_4	89f6f4ce53dc35f628bb2163ee176a32	94	SUPERFAMILY	SSF54570	Ribosomal protein S19	3	85	3.01E-33	T	10-07-2023	IPR023575	Ribosomal protein S19/S15, superfamily
LBYQ01000013.1_14	2fa5949632961d6365bb9b1abd1c44fc	109	Pfam	PF19335	Heavy metal binding domain	9	36	1.6E-15	T	10-07-2023	IPR045800	Heavy metal binding domain
LBYQ01000013.1_14	2fa5949632961d6365bb9b1abd1c44fc	109	MobiDBLite	mobidb-lite	consensus disorder prediction	40	62	-	T	10-07-2023	-	-
LBYQ01000015.1_4	ca1b47294d3af2906abb787365b97547	113	Pfam	PF07314	Protein of unknown function (DUF1461)	5	79	3.4E-12	T	10-07-2023	IPR010178	Integral membrane protein 1906
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	MobiDBLite	mobidb-lite	consensus disorder prediction	482	503	-	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	Hamap	MF_00332	Chaperone protein DnaK [dnaK].	1	593	31.914703	T	10-07-2023	IPR012725	Chaperone DnaK
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	PANTHER	PTHR19375	HEAT SHOCK PROTEIN 70KDA	4	534	1.4E-169	T	10-07-2023	IPR013126	Heat shock protein 70 family
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	Gene3D	G3DSA:1.20.1270.10	-	490	573	4.4E-24	T	10-07-2023	IPR029048	Heat shock protein 70kD, C-terminal domain superfamily
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	SUPERFAMILY	SSF53067	Actin-like ATPase domain	4	181	2.16E-59	T	10-07-2023	IPR043129	ATPase, nucleotide binding domain
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	CDD	cd10234	HSPA9-Ssq1-like_NBD	1	374	0.0	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	Gene3D	G3DSA:2.60.34.10	Substrate Binding Domain Of DNAk; Chain A, domain 1	444	489	1.6E-11	T	10-07-2023	IPR029047	Heat shock protein 70kD, peptide-binding domain superfamily
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	FunFam	G3DSA:3.90.640.10:FF:000003	Molecular chaperone DnaK	221	308	6.1E-34	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	MobiDBLite	mobidb-lite	consensus disorder prediction	568	594	-	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	MobiDBLite	mobidb-lite	consensus disorder prediction	482	504	-	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	Gene3D	G3DSA:3.30.420.40	-	5	369	1.2E-158	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	FunFam	G3DSA:3.30.420.40:FF:000004	Molecular chaperone DnaK	5	189	2.3E-74	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	SUPERFAMILY	SSF100920	Heat shock protein 70kD (HSP70), peptide-binding domain	376	506	3.66E-41	T	10-07-2023	IPR029047	Heat shock protein 70kD, peptide-binding domain superfamily
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	Coils	Coil	Coil	244	264	-	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	FunFam	G3DSA:1.20.1270.10:FF:000001	Molecular chaperone DnaK	473	574	5.8E-29	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	Pfam	PF00012	Hsp70 protein	4	442	3.8E-200	T	10-07-2023	IPR013126	Heat shock protein 70 family
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	Pfam	PF00012	Hsp70 protein	443	570	1.7E-27	T	10-07-2023	IPR013126	Heat shock protein 70 family
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	ProSitePatterns	PS00297	Heat shock hsp70 proteins family signature 1.	7	14	-	T	10-07-2023	IPR018181	Heat shock protein 70, conserved site
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	Gene3D	G3DSA:3.30.420.40	-	177	358	1.2E-158	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	SUPERFAMILY	SSF100934	Heat shock protein 70kD (HSP70), C-terminal subdomain	473	580	8.24E-14	T	10-07-2023	IPR029048	Heat shock protein 70kD, C-terminal domain superfamily
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	SUPERFAMILY	SSF53067	Actin-like ATPase domain	184	374	2.66E-64	T	10-07-2023	IPR043129	ATPase, nucleotide binding domain
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	Gene3D	G3DSA:2.60.34.10	Substrate Binding Domain Of DNAk; Chain A, domain 1	370	443	5.0E-28	T	10-07-2023	IPR029047	Heat shock protein 70kD, peptide-binding domain superfamily
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	ProSitePatterns	PS01036	Heat shock hsp70 proteins family signature 3.	329	343	-	T	10-07-2023	IPR018181	Heat shock protein 70, conserved site
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	PRINTS	PR00301	70kDa heat shock protein signature	3	16	3.6E-58	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	PRINTS	PR00301	70kDa heat shock protein signature	135	155	3.6E-58	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	PRINTS	PR00301	70kDa heat shock protein signature	31	43	3.6E-58	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	PRINTS	PR00301	70kDa heat shock protein signature	380	399	3.6E-58	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	PRINTS	PR00301	70kDa heat shock protein signature	357	377	3.6E-58	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	PRINTS	PR00301	70kDa heat shock protein signature	51	59	3.6E-58	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	PRINTS	PR00301	70kDa heat shock protein signature	194	204	3.6E-58	T	10-07-2023	-	-
LBYQ01000006.1_22	a9d5c999e5474f2936b0e2495809ea82	594	PRINTS	PR00301	70kDa heat shock protein signature	326	342	3.6E-58	T	10-07-2023	-	-
