MNUJ01000002.1_1_4	13a5bff17f0207c212d1175beb1ad3a0	57	Pfam	PF18917	Domain of unknown function (DUF5668)	1	43	3.7E-13	T	10-07-2023	IPR043726	Domain of unknown function DUF5668
MNUJ01000055.1_5	48b3c17e1c58d39eb5fc8f4879bf4664	208	FunFam	G3DSA:1.10.287.110:FF:000034	Chaperone protein DnaJ	1	122	2.5E-37	T	10-07-2023	-	-
MNUJ01000055.1_5	48b3c17e1c58d39eb5fc8f4879bf4664	208	Pfam	PF01556	DnaJ C terminal domain	117	182	4.1E-9	T	10-07-2023	IPR002939	Chaperone DnaJ, C-terminal
MNUJ01000055.1_5	48b3c17e1c58d39eb5fc8f4879bf4664	208	PRINTS	PR00625	DnaJ domain signature	6	24	1.0E-29	T	10-07-2023	IPR001623	DnaJ domain
MNUJ01000055.1_5	48b3c17e1c58d39eb5fc8f4879bf4664	208	PRINTS	PR00625	DnaJ domain signature	40	60	1.0E-29	T	10-07-2023	IPR001623	DnaJ domain
MNUJ01000055.1_5	48b3c17e1c58d39eb5fc8f4879bf4664	208	PRINTS	PR00625	DnaJ domain signature	24	39	1.0E-29	T	10-07-2023	IPR001623	DnaJ domain
MNUJ01000055.1_5	48b3c17e1c58d39eb5fc8f4879bf4664	208	PRINTS	PR00625	DnaJ domain signature	60	79	1.0E-29	T	10-07-2023	IPR001623	DnaJ domain
MNUJ01000055.1_5	48b3c17e1c58d39eb5fc8f4879bf4664	208	Gene3D	G3DSA:2.60.260.20	-	108	206	6.8E-22	T	10-07-2023	-	-
MNUJ01000055.1_5	48b3c17e1c58d39eb5fc8f4879bf4664	208	PANTHER	PTHR43096	DNAJ HOMOLOG 1, MITOCHONDRIAL-RELATED	122	200	4.7E-44	T	10-07-2023	-	-
MNUJ01000055.1_5	48b3c17e1c58d39eb5fc8f4879bf4664	208	Gene3D	G3DSA:1.10.287.110	DnaJ domain	2	76	7.7E-32	T	10-07-2023	IPR036869	Chaperone J-domain superfamily
MNUJ01000055.1_5	48b3c17e1c58d39eb5fc8f4879bf4664	208	Pfam	PF00226	DnaJ domain	4	65	4.5E-29	T	10-07-2023	IPR001623	DnaJ domain
MNUJ01000008.1_19	5cf2d246e0e445b2fa9033c203b58ad3	209	Pfam	PF03167	Uracil DNA glycosylase superfamily	34	180	6.1E-42	T	10-07-2023	IPR005122	Uracil-DNA glycosylase-like
MNUJ01000008.1_19	5cf2d246e0e445b2fa9033c203b58ad3	209	CDD	cd10030	UDG-F4_TTUDGA_SPO1dp_like	20	183	3.09019E-75	T	10-07-2023	-	-
MNUJ01000008.1_19	5cf2d246e0e445b2fa9033c203b58ad3	209	SUPERFAMILY	SSF52141	Uracil-DNA glycosylase-like	6	188	8.18E-59	T	10-07-2023	IPR036895	Uracil-DNA glycosylase-like domain superfamily
MNUJ01000008.1_19	5cf2d246e0e445b2fa9033c203b58ad3	209	Coils	Coil	Coil	3	23	-	T	10-07-2023	-	-
MNUJ01000008.1_19	5cf2d246e0e445b2fa9033c203b58ad3	209	Gene3D	G3DSA:3.40.470.10	-	1	191	7.6E-67	T	10-07-2023	IPR036895	Uracil-DNA glycosylase-like domain superfamily
MNUJ01000008.1_19	5cf2d246e0e445b2fa9033c203b58ad3	209	SMART	SM00987	UDG_2_a	34	181	5.8E-35	T	10-07-2023	-	-
MNUJ01000008.1_19	5cf2d246e0e445b2fa9033c203b58ad3	209	PANTHER	PTHR33693	TYPE-5 URACIL-DNA GLYCOSYLASE	3	189	8.1E-61	T	10-07-2023	-	-
MNUJ01000008.1_19	5cf2d246e0e445b2fa9033c203b58ad3	209	SMART	SM00986	UDG_2	34	181	5.8E-35	T	10-07-2023	IPR005122	Uracil-DNA glycosylase-like
MNUJ01000008.1_19	5cf2d246e0e445b2fa9033c203b58ad3	209	TIGRFAM	TIGR00758	UDG_fam4: uracil-DNA glycosylase, family 4	20	188	4.7E-62	T	10-07-2023	IPR005273	Uracil-DNA glycosylase family 4
MNUJ01000006.1_5	8eed95e7b32738de9b22376c8eb0270e	125	PANTHER	PTHR35024	HYPOTHETICAL CYTOSOLIC PROTEIN	2	110	3.3E-22	T	10-07-2023	IPR007607	Bactofilin A/B
MNUJ01000006.1_5	8eed95e7b32738de9b22376c8eb0270e	125	MobiDBLite	mobidb-lite	consensus disorder prediction	102	125	-	T	10-07-2023	-	-
MNUJ01000006.1_5	8eed95e7b32738de9b22376c8eb0270e	125	Pfam	PF04519	Polymer-forming cytoskeletal	6	102	2.5E-22	T	10-07-2023	IPR007607	Bactofilin A/B
MNUJ01000028.1_6	f7c1b0ba1b000dc166f9a3dac34cd220	302	PRINTS	PR01041	Methionyl-tRNA synthetase signature	7	20	2.4E-25	T	10-07-2023	IPR033911	Methioninyl-tRNA synthetase core domain
MNUJ01000028.1_6	f7c1b0ba1b000dc166f9a3dac34cd220	302	PRINTS	PR01041	Methionyl-tRNA synthetase signature	87	98	2.4E-25	T	10-07-2023	IPR033911	Methioninyl-tRNA synthetase core domain
MNUJ01000028.1_6	f7c1b0ba1b000dc166f9a3dac34cd220	302	PRINTS	PR01041	Methionyl-tRNA synthetase signature	39	53	2.4E-25	T	10-07-2023	IPR033911	Methioninyl-tRNA synthetase core domain
MNUJ01000028.1_6	f7c1b0ba1b000dc166f9a3dac34cd220	302	PRINTS	PR01041	Methionyl-tRNA synthetase signature	222	233	2.4E-25	T	10-07-2023	IPR033911	Methioninyl-tRNA synthetase core domain
MNUJ01000028.1_6	f7c1b0ba1b000dc166f9a3dac34cd220	302	PRINTS	PR01041	Methionyl-tRNA synthetase signature	272	287	2.4E-25	T	10-07-2023	IPR033911	Methioninyl-tRNA synthetase core domain
MNUJ01000028.1_6	f7c1b0ba1b000dc166f9a3dac34cd220	302	Pfam	PF09334	tRNA synthetases class I (M)	5	145	4.1E-46	T	10-07-2023	IPR015413	Methionyl/Leucyl tRNA synthetase
MNUJ01000028.1_6	f7c1b0ba1b000dc166f9a3dac34cd220	302	FunFam	G3DSA:2.170.220.10:FF:000002	Methionine--tRNA ligase	116	224	2.8E-31	T	10-07-2023	-	-
MNUJ01000028.1_6	f7c1b0ba1b000dc166f9a3dac34cd220	302	PANTHER	PTHR43326	METHIONYL-TRNA SYNTHETASE	3	302	1.6E-113	T	10-07-2023	IPR023457	Methionine-tRNA synthetase, type 2
MNUJ01000028.1_6	f7c1b0ba1b000dc166f9a3dac34cd220	302	SUPERFAMILY	SSF52374	Nucleotidylyl transferase	2	301	1.69E-78	T	10-07-2023	-	-
MNUJ01000028.1_6	f7c1b0ba1b000dc166f9a3dac34cd220	302	Gene3D	G3DSA:2.170.220.10	-	116	224	3.1E-114	T	10-07-2023	-	-
MNUJ01000028.1_6	f7c1b0ba1b000dc166f9a3dac34cd220	302	Gene3D	G3DSA:3.40.50.620	HUPs	6	302	3.1E-114	T	10-07-2023	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
MNUJ01000050.1_4	c6d45a9c6497219ecb45f19b66e126e8	339	Gene3D	G3DSA:3.90.550.10	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	2	222	7.3E-30	T	10-07-2023	IPR029044	Nucleotide-diphospho-sugar transferases
MNUJ01000050.1_4	c6d45a9c6497219ecb45f19b66e126e8	339	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	5	288	7.03E-35	T	10-07-2023	IPR029044	Nucleotide-diphospho-sugar transferases
MNUJ01000050.1_4	c6d45a9c6497219ecb45f19b66e126e8	339	Pfam	PF00535	Glycosyl transferase family 2	10	113	6.8E-21	T	10-07-2023	IPR001173	Glycosyltransferase 2-like
MNUJ01000050.1_4	c6d45a9c6497219ecb45f19b66e126e8	339	PANTHER	PTHR22916	GLYCOSYLTRANSFERASE	5	118	3.9E-18	T	10-07-2023	-	-
MNUJ01000052.1_8	3f4ac7eca02fca390dbce016b0c58265	260	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	3	235	9.27E-50	T	10-07-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
MNUJ01000052.1_8	3f4ac7eca02fca390dbce016b0c58265	260	Pfam	PF01555	DNA methylase	24	227	9.9E-33	T	10-07-2023	IPR002941	DNA methylase N-4/N-6
MNUJ01000052.1_8	3f4ac7eca02fca390dbce016b0c58265	260	ProSitePatterns	PS00092	N-6 Adenine-specific DNA methylases signature.	27	33	-	T	10-07-2023	IPR002052	DNA methylase, N-6 adenine-specific, conserved site
MNUJ01000052.1_8	3f4ac7eca02fca390dbce016b0c58265	260	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	68	88	2.2E-33	T	10-07-2023	IPR001091	Restriction/modification DNA-methyltransferase
MNUJ01000052.1_8	3f4ac7eca02fca390dbce016b0c58265	260	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	211	231	2.2E-33	T	10-07-2023	IPR001091	Restriction/modification DNA-methyltransferase
MNUJ01000052.1_8	3f4ac7eca02fca390dbce016b0c58265	260	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	23	37	2.2E-33	T	10-07-2023	IPR001091	Restriction/modification DNA-methyltransferase
MNUJ01000052.1_8	3f4ac7eca02fca390dbce016b0c58265	260	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	188	206	2.2E-33	T	10-07-2023	IPR001091	Restriction/modification DNA-methyltransferase
MNUJ01000052.1_8	3f4ac7eca02fca390dbce016b0c58265	260	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	169	186	2.2E-33	T	10-07-2023	IPR001091	Restriction/modification DNA-methyltransferase
MNUJ01000052.1_8	3f4ac7eca02fca390dbce016b0c58265	260	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	6	232	1.7E-57	T	10-07-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
MNUJ01000052.1_8	3f4ac7eca02fca390dbce016b0c58265	260	PANTHER	PTHR13370	RNA METHYLASE-RELATED	152	234	7.8E-11	T	10-07-2023	-	-
MNUJ01000041.1_7	e4426777dd664291ffe230a4e35635ef	212	Pfam	PF00406	Adenylate kinase	8	190	2.0E-22	T	10-07-2023	-	-
MNUJ01000041.1_7	e4426777dd664291ffe230a4e35635ef	212	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	1	212	4.12E-25	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MNUJ01000041.1_7	e4426777dd664291ffe230a4e35635ef	212	PRINTS	PR00094	Adenylate kinase signature	7	20	6.7E-13	T	10-07-2023	IPR000850	Adenylate kinase/UMP-CMP kinase
MNUJ01000041.1_7	e4426777dd664291ffe230a4e35635ef	212	PRINTS	PR00094	Adenylate kinase signature	160	175	6.7E-13	T	10-07-2023	IPR000850	Adenylate kinase/UMP-CMP kinase
MNUJ01000041.1_7	e4426777dd664291ffe230a4e35635ef	212	PRINTS	PR00094	Adenylate kinase signature	35	49	6.7E-13	T	10-07-2023	IPR000850	Adenylate kinase/UMP-CMP kinase
MNUJ01000041.1_7	e4426777dd664291ffe230a4e35635ef	212	PRINTS	PR00094	Adenylate kinase signature	85	101	6.7E-13	T	10-07-2023	IPR000850	Adenylate kinase/UMP-CMP kinase
MNUJ01000041.1_7	e4426777dd664291ffe230a4e35635ef	212	CDD	cd01428	ADK	5	204	2.13254E-36	T	10-07-2023	IPR000850	Adenylate kinase/UMP-CMP kinase
MNUJ01000041.1_7	e4426777dd664291ffe230a4e35635ef	212	PANTHER	PTHR23359	NUCLEOTIDE KINASE	6	208	7.6E-25	T	10-07-2023	IPR000850	Adenylate kinase/UMP-CMP kinase
MNUJ01000041.1_7	e4426777dd664291ffe230a4e35635ef	212	Hamap	MF_00235	Adenylate kinase [adk].	4	212	21.775106	T	10-07-2023	IPR000850	Adenylate kinase/UMP-CMP kinase
MNUJ01000041.1_7	e4426777dd664291ffe230a4e35635ef	212	Gene3D	G3DSA:3.40.50.300	-	5	212	7.1E-46	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	Gene3D	G3DSA:1.10.287.610	Helix hairpin bin	104	151	7.5E-77	T	10-07-2023	-	-
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	PANTHER	PTHR12534	30S RIBOSOMAL PROTEIN S2  PROKARYOTIC AND ORGANELLAR	6	222	3.8E-54	T	10-07-2023	IPR005706	Ribosomal protein S2, bacteria/mitochondria/plastid
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	CDD	cd01425	RPS2	10	231	1.28215E-76	T	10-07-2023	IPR001865	Ribosomal protein S2
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	TIGRFAM	TIGR01011	rpsB_bact: ribosomal protein uS2	6	224	1.1E-74	T	10-07-2023	IPR005706	Ribosomal protein S2, bacteria/mitochondria/plastid
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	ProSitePatterns	PS00962	Ribosomal protein S2 signature 1.	7	18	-	T	10-07-2023	IPR018130	Ribosomal protein S2, conserved site
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	SUPERFAMILY	SSF52313	Ribosomal protein S2	7	222	1.96E-70	T	10-07-2023	IPR023591	Ribosomal protein S2, flavodoxin-like domain superfamily
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	Gene3D	G3DSA:3.40.50.10490	-	9	223	7.5E-77	T	10-07-2023	-	-
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	PRINTS	PR00395	Ribosomal protein S2 signature	38	47	1.3E-29	T	10-07-2023	IPR001865	Ribosomal protein S2
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	PRINTS	PR00395	Ribosomal protein S2 signature	176	187	1.3E-29	T	10-07-2023	IPR001865	Ribosomal protein S2
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	PRINTS	PR00395	Ribosomal protein S2 signature	7	25	1.3E-29	T	10-07-2023	IPR001865	Ribosomal protein S2
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	PRINTS	PR00395	Ribosomal protein S2 signature	88	105	1.3E-29	T	10-07-2023	IPR001865	Ribosomal protein S2
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	PRINTS	PR00395	Ribosomal protein S2 signature	197	211	1.3E-29	T	10-07-2023	IPR001865	Ribosomal protein S2
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	PRINTS	PR00395	Ribosomal protein S2 signature	159	176	1.3E-29	T	10-07-2023	IPR001865	Ribosomal protein S2
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	Hamap	MF_00291_B	30S ribosomal protein S2 [rpsB].	3	221	31.797186	T	10-07-2023	IPR005706	Ribosomal protein S2, bacteria/mitochondria/plastid
MNUJ01000003.1_2	95022a3f4449a35d40fcab662ac337ce	232	Pfam	PF00318	Ribosomal protein S2	10	221	1.7E-72	T	10-07-2023	IPR001865	Ribosomal protein S2
MNUJ01000008.1_14	252101490c1b5904b24f8293c7e04c11	176	Pfam	PF05635	23S rRNA-intervening sequence protein	11	121	1.1E-13	T	10-07-2023	IPR012657	23S rRNA-intervening sequence protein
MNUJ01000008.1_14	252101490c1b5904b24f8293c7e04c11	176	SUPERFAMILY	SSF158446	IVS-encoded protein-like	9	128	7.59E-20	T	10-07-2023	IPR036583	23S rRNA-intervening sequence superfamily
MNUJ01000008.1_14	252101490c1b5904b24f8293c7e04c11	176	Gene3D	G3DSA:1.20.1440.60	-	6	132	1.4E-21	T	10-07-2023	IPR036583	23S rRNA-intervening sequence superfamily
MNUJ01000008.1_14	252101490c1b5904b24f8293c7e04c11	176	TIGRFAM	TIGR02436	TIGR02436: four helix bundle protein	16	126	6.2E-14	T	10-07-2023	IPR012657	23S rRNA-intervening sequence protein
MNUJ01000037.1_5	740f208f11f6ed995b88c0b72222860d	106	Gene3D	G3DSA:3.40.1440.10	-	7	103	6.9E-25	T	10-07-2023	IPR035901	GIY-YIG endonuclease superfamily
MNUJ01000037.1_5	740f208f11f6ed995b88c0b72222860d	106	Pfam	PF01541	GIY-YIG catalytic domain	13	85	1.4E-14	T	10-07-2023	IPR000305	GIY-YIG endonuclease
MNUJ01000037.1_5	740f208f11f6ed995b88c0b72222860d	106	SUPERFAMILY	SSF82771	GIY-YIG endonuclease	11	89	3.14E-16	T	10-07-2023	IPR035901	GIY-YIG endonuclease superfamily
MNUJ01000037.1_5	740f208f11f6ed995b88c0b72222860d	106	ProSiteProfiles	PS50164	GIY-YIG domain profile.	11	87	21.5065	T	10-07-2023	IPR000305	GIY-YIG endonuclease
MNUJ01000037.1_5	740f208f11f6ed995b88c0b72222860d	106	CDD	cd10448	GIY-YIG_unchar_3	13	99	3.2213E-33	T	10-07-2023	-	-
MNUJ01000037.1_5	740f208f11f6ed995b88c0b72222860d	106	PANTHER	PTHR34477	UPF0213 PROTEIN YHBQ	12	101	2.7E-22	T	10-07-2023	-	-
MNUJ01000061.1_5	3e3bbf9123d5abaa24841ea597ffc47e	121	Gene3D	G3DSA:2.40.150.20	Ribosomal protein L14	1	121	9.1E-49	T	10-07-2023	IPR036853	Ribosomal protein L14 superfamily
MNUJ01000061.1_5	3e3bbf9123d5abaa24841ea597ffc47e	121	Hamap	MF_01367	50S ribosomal protein L14 [rplN].	1	121	23.972033	T	10-07-2023	IPR000218	Ribosomal protein L14P
MNUJ01000061.1_5	3e3bbf9123d5abaa24841ea597ffc47e	121	SUPERFAMILY	SSF50193	Ribosomal protein L14	1	121	6.28E-45	T	10-07-2023	IPR036853	Ribosomal protein L14 superfamily
MNUJ01000061.1_5	3e3bbf9123d5abaa24841ea597ffc47e	121	PANTHER	PTHR11761	50S/60S RIBOSOMAL PROTEIN L14/L23	1	120	1.1E-33	T	10-07-2023	IPR000218	Ribosomal protein L14P
MNUJ01000061.1_5	3e3bbf9123d5abaa24841ea597ffc47e	121	SMART	SM01374	Ribosomal_L14_2	1	121	2.3E-69	T	10-07-2023	IPR000218	Ribosomal protein L14P
MNUJ01000061.1_5	3e3bbf9123d5abaa24841ea597ffc47e	121	Pfam	PF00238	Ribosomal protein L14p/L23e	1	121	1.7E-47	T	10-07-2023	IPR000218	Ribosomal protein L14P
MNUJ01000061.1_5	3e3bbf9123d5abaa24841ea597ffc47e	121	TIGRFAM	TIGR01067	rplN_bact: ribosomal protein uL14	1	121	3.5E-45	T	10-07-2023	IPR005745	Ribosomal protein L14P, bacterial-type
MNUJ01000061.1_5	3e3bbf9123d5abaa24841ea597ffc47e	121	ProSitePatterns	PS00049	Ribosomal protein L14 signature.	60	86	-	T	10-07-2023	IPR019972	Ribosomal protein L14P,  conserved site
MNUJ01000047.1_25	755db91dfe68b00780e4b3653189082d	226	Pfam	PF06071	Protein of unknown function (DUF933)	142	225	3.7E-34	T	10-07-2023	IPR013029	YchF, C-terminal domain
MNUJ01000047.1_25	755db91dfe68b00780e4b3653189082d	226	CDD	cd04867	TGS_YchF_OLA1	140	224	5.66395E-47	T	10-07-2023	IPR013029	YchF, C-terminal domain
MNUJ01000047.1_25	755db91dfe68b00780e4b3653189082d	226	ProSiteProfiles	PS51880	TGS domain profile.	141	224	11.68845	T	10-07-2023	IPR004095	TGS
MNUJ01000047.1_25	755db91dfe68b00780e4b3653189082d	226	FunFam	G3DSA:3.10.20.30:FF:000001	Ribosome-binding ATPase YchF	126	225	2.2E-34	T	10-07-2023	-	-
MNUJ01000047.1_25	755db91dfe68b00780e4b3653189082d	226	Gene3D	G3DSA:3.10.20.30	-	126	226	4.2E-40	T	10-07-2023	IPR012675	Beta-grasp domain superfamily
MNUJ01000047.1_25	755db91dfe68b00780e4b3653189082d	226	SUPERFAMILY	SSF81271	TGS-like	142	223	2.03E-32	T	10-07-2023	IPR012676	TGS-like
MNUJ01000047.1_25	755db91dfe68b00780e4b3653189082d	226	PANTHER	PTHR23305	OBG GTPASE FAMILY	3	225	8.9E-41	T	10-07-2023	-	-
MNUJ01000047.1_25	755db91dfe68b00780e4b3653189082d	226	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	61	164	5.44E-12	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MNUJ01000029.1_7	57ea8a70f590ee595cfefb11b4ef340d	328	Pfam	PF01207	Dihydrouridine synthase (Dus)	8	319	4.5E-66	T	10-07-2023	IPR035587	DUS-like, FMN-binding domain
MNUJ01000029.1_7	57ea8a70f590ee595cfefb11b4ef340d	328	SUPERFAMILY	SSF51395	FMN-linked oxidoreductases	6	327	7.2E-69	T	10-07-2023	-	-
MNUJ01000029.1_7	57ea8a70f590ee595cfefb11b4ef340d	328	Gene3D	G3DSA:3.20.20.70	Aldolase class I	3	258	1.7E-66	T	10-07-2023	IPR013785	Aldolase-type TIM barrel
MNUJ01000029.1_7	57ea8a70f590ee595cfefb11b4ef340d	328	ProSitePatterns	PS01136	Uncharacterized protein family UPF0034 signature.	112	130	-	T	10-07-2023	IPR018517	tRNA-dihydrouridine synthase, conserved site
MNUJ01000029.1_7	57ea8a70f590ee595cfefb11b4ef340d	328	Gene3D	G3DSA:1.10.1200.80	Putative flavin oxidoreducatase; domain 2	268	328	5.0E-16	T	10-07-2023	IPR024036	tRNA-dihydrouridine synthase, putative, C-terminal
MNUJ01000029.1_7	57ea8a70f590ee595cfefb11b4ef340d	328	PANTHER	PTHR45846	TRNA-DIHYDROURIDINE(47) SYNTHASE [NAD(P)(+)]-LIKE	6	307	3.9E-53	T	10-07-2023	-	-
MNUJ01000029.1_7	57ea8a70f590ee595cfefb11b4ef340d	328	CDD	cd02801	DUS_like_FMN	6	254	3.33165E-86	T	10-07-2023	IPR035587	DUS-like, FMN-binding domain
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	Gene3D	G3DSA:3.30.230.10	-	104	178	3.3E-25	T	10-07-2023	IPR014721	Ribosomal protein S5 domain 2-type fold, subgroup
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	SUPERFAMILY	SSF54211	Ribosomal protein S5 domain 2-like	109	177	1.39E-18	T	10-07-2023	IPR020568	Ribosomal protein S5 domain 2-type fold
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	MobiDBLite	mobidb-lite	consensus disorder prediction	212	252	-	T	10-07-2023	-	-
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	MobiDBLite	mobidb-lite	consensus disorder prediction	1	36	-	T	10-07-2023	-	-
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	ProSiteProfiles	PS50881	S5 double stranded RNA-binding domain profile.	41	104	24.078596	T	10-07-2023	IPR013810	Ribosomal protein S5, N-terminal
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	TIGRFAM	TIGR01021	rpsE_bact: ribosomal protein uS5	39	181	3.1E-52	T	10-07-2023	IPR005712	Ribosomal protein S5, bacterial-type
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	Pfam	PF00333	Ribosomal protein S5, N-terminal domain	41	105	2.0E-23	T	10-07-2023	IPR013810	Ribosomal protein S5, N-terminal
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	SUPERFAMILY	SSF54768	dsRNA-binding domain-like	38	106	1.01E-19	T	10-07-2023	-	-
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	MobiDBLite	mobidb-lite	consensus disorder prediction	223	252	-	T	10-07-2023	-	-
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	Pfam	PF03719	Ribosomal protein S5, C-terminal domain	118	177	2.1E-20	T	10-07-2023	IPR005324	Ribosomal protein S5, C-terminal
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	Hamap	MF_01307_B	30S ribosomal protein S5 [rpsE].	1	198	29.386114	T	10-07-2023	IPR005712	Ribosomal protein S5, bacterial-type
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	Gene3D	G3DSA:3.30.160.20	-	32	102	3.4E-24	T	10-07-2023	-	-
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	FunFam	G3DSA:3.30.230.10:FF:000002	30S ribosomal protein S5	105	193	2.2E-20	T	10-07-2023	-	-
MNUJ01000041.1_4	2b5ad0734e802d6828f6ba4c1179a9ff	252	PANTHER	PTHR48277	MITOCHONDRIAL RIBOSOMAL PROTEIN S5	36	177	1.5E-29	T	10-07-2023	IPR000851	Ribosomal protein S5
MNUJ01000013.1_5	29d82554d0c57d5a1f2435599088fbce	98	MobiDBLite	mobidb-lite	consensus disorder prediction	49	73	-	T	10-07-2023	-	-
MNUJ01000008.1_16	17cd3ba09ee8eba48f835a769abbee76	230	PANTHER	PTHR34475	-	15	137	1.2E-22	T	10-07-2023	-	-
MNUJ01000008.1_16	17cd3ba09ee8eba48f835a769abbee76	230	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	142	221	1.7E-16	T	10-07-2023	IPR013783	Immunoglobulin-like fold
MNUJ01000008.1_16	17cd3ba09ee8eba48f835a769abbee76	230	Pfam	PF09136	Glucodextranase, domain B	145	222	4.0E-13	T	10-07-2023	-	-
MNUJ01000008.1_16	17cd3ba09ee8eba48f835a769abbee76	230	Pfam	PF13413	Helix-turn-helix domain	21	80	9.0E-22	T	10-07-2023	-	-
MNUJ01000008.1_16	17cd3ba09ee8eba48f835a769abbee76	230	Gene3D	G3DSA:1.10.260.40	-	8	111	1.3E-28	T	10-07-2023	IPR010982	Lambda repressor-like, DNA-binding domain superfamily
MNUJ01000032.1_3	6a01f577b0496acdbaeb57428dd30bf0	350	Hamap	MF_02207	Cell shape-determining protein MreB [mreB].	13	344	42.041039	T	10-07-2023	IPR004753	Cell shape determining protein MreB
MNUJ01000032.1_3	6a01f577b0496acdbaeb57428dd30bf0	350	SUPERFAMILY	SSF53067	Actin-like ATPase domain	153	334	1.91E-44	T	10-07-2023	IPR043129	ATPase, nucleotide binding domain
MNUJ01000032.1_3	6a01f577b0496acdbaeb57428dd30bf0	350	PRINTS	PR01652	Bacterial cell shape determinant MreB/Mbl protein signature	191	211	8.9E-54	T	10-07-2023	IPR004753	Cell shape determining protein MreB
MNUJ01000032.1_3	6a01f577b0496acdbaeb57428dd30bf0	350	PRINTS	PR01652	Bacterial cell shape determinant MreB/Mbl protein signature	136	155	8.9E-54	T	10-07-2023	IPR004753	Cell shape determining protein MreB
MNUJ01000032.1_3	6a01f577b0496acdbaeb57428dd30bf0	350	PRINTS	PR01652	Bacterial cell shape determinant MreB/Mbl protein signature	51	69	8.9E-54	T	10-07-2023	IPR004753	Cell shape determining protein MreB
MNUJ01000032.1_3	6a01f577b0496acdbaeb57428dd30bf0	350	PRINTS	PR01652	Bacterial cell shape determinant MreB/Mbl protein signature	71	94	8.9E-54	T	10-07-2023	IPR004753	Cell shape determining protein MreB
MNUJ01000032.1_3	6a01f577b0496acdbaeb57428dd30bf0	350	PRINTS	PR01652	Bacterial cell shape determinant MreB/Mbl protein signature	304	330	8.9E-54	T	10-07-2023	IPR004753	Cell shape determining protein MreB
MNUJ01000032.1_3	6a01f577b0496acdbaeb57428dd30bf0	350	TIGRFAM	TIGR00904	mreB: cell shape determining protein, MreB/Mrl family	13	340	9.9E-142	T	10-07-2023	IPR004753	Cell shape determining protein MreB
MNUJ01000032.1_3	6a01f577b0496acdbaeb57428dd30bf0	350	Gene3D	G3DSA:3.30.420.40	-	159	321	1.7E-50	T	10-07-2023	-	-
