SMWK01000052.1_orf83678	54c47ba4fc7e3e4a42066c5407932503	734	Pfam	PF11739	Dicarboxylate transport	531	724	1.5E-41	T	24-06-2023	IPR021730	Dicarboxylate transport
SMWK01000169.1_orf31975	3d2e75f1ec72e69e6d8dbf38f2663199	406	PRINTS	PR00407	Eukaryotic molybdopterin domain signature	151	162	1.9E-5	T	24-06-2023	IPR008335	Eukaryotic molybdopterin oxidoreductase
SMWK01000121.1_orf17341	b820926e1938a0ec8992ffb07b6df622	601	Pfam	PF07593	ASPIC and UnbV	518	584	9.8E-18	T	24-06-2023	IPR011519	ASPIC/UnbV
SMWK01000121.1_orf17341	b820926e1938a0ec8992ffb07b6df622	601	PANTHER	PTHR16026	CARTILAGE ACIDIC PROTEIN 1	54	597	5.3E-105	T	24-06-2023	IPR027039	Cartilage acidic protein 1
SMWK01000121.1_orf17341	b820926e1938a0ec8992ffb07b6df622	601	Gene3D	G3DSA:2.130.10.130	-	221	411	2.0E-6	T	24-06-2023	IPR028994	Integrin alpha, N-terminal
SMWK01000121.1_orf17341	b820926e1938a0ec8992ffb07b6df622	601	Gene3D	G3DSA:2.130.10.130	-	24	220	1.5E-10	T	24-06-2023	IPR028994	Integrin alpha, N-terminal
SMWK01000121.1_orf17341	b820926e1938a0ec8992ffb07b6df622	601	Pfam	PF13517	FG-GAP-like repeat	280	346	5.8E-12	T	24-06-2023	IPR013517	FG-GAP repeat
SMWK01000121.1_orf17341	b820926e1938a0ec8992ffb07b6df622	601	Pfam	PF13517	FG-GAP-like repeat	153	214	1.4E-16	T	24-06-2023	IPR013517	FG-GAP repeat
SMWK01000121.1_orf17341	b820926e1938a0ec8992ffb07b6df622	601	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	92	493	1.05E-62	T	24-06-2023	IPR028994	Integrin alpha, N-terminal
SMWK01000028.1_orf77543	7c2e8835178b6efd27126ad20a1bdfea	382	PANTHER	PTHR33376	-	21	359	6.0E-78	T	24-06-2023	IPR018389	TRAP transporter solute receptor DctP
SMWK01000028.1_orf77543	7c2e8835178b6efd27126ad20a1bdfea	382	CDD	cd13604	PBP2_TRAP_ketoacid_lactate_like	52	360	1.95736E-139	T	24-06-2023	-	-
SMWK01000028.1_orf77543	7c2e8835178b6efd27126ad20a1bdfea	382	Gene3D	G3DSA:3.40.190.10	-	175	347	4.6E-118	T	24-06-2023	-	-
SMWK01000028.1_orf77543	7c2e8835178b6efd27126ad20a1bdfea	382	Gene3D	G3DSA:3.40.190.170	-	52	357	4.6E-118	T	24-06-2023	IPR038404	TRAP transporter solute receptor DctP superfamily
SMWK01000028.1_orf77543	7c2e8835178b6efd27126ad20a1bdfea	382	Pfam	PF10518	TAT (twin-arginine translocation) pathway signal sequence	21	43	4.5E-5	T	24-06-2023	IPR019546	Twin-arginine translocation pathway, signal sequence, bacterial/archaeal
SMWK01000028.1_orf77543	7c2e8835178b6efd27126ad20a1bdfea	382	Pfam	PF03480	Bacterial extracellular solute-binding protein, family 7	76	342	2.5E-56	T	24-06-2023	IPR018389	TRAP transporter solute receptor DctP
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	Pfam	PF04613	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD	45	111	1.8E-18	T	24-06-2023	IPR020573	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, non-repeat region
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	SUPERFAMILY	SSF51161	Trimeric LpxA-like enzymes	54	342	6.18E-71	T	24-06-2023	IPR011004	Trimeric LpxA-like superfamily
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	Coils	Coil	Coil	348	368	-	T	24-06-2023	-	-
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	Gene3D	G3DSA:2.160.10.10	Hexapeptide repeat proteins	122	333	2.9E-55	T	24-06-2023	-	-
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	CDD	cd03352	LbH_LpxD	132	339	3.05761E-87	T	24-06-2023	IPR007691	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	TIGRFAM	TIGR01853	lipid_A_lpxD: UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD	30	354	5.1E-100	T	24-06-2023	IPR007691	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	Pfam	PF00132	Bacterial transferase hexapeptide (six repeats)	168	201	3.4E-7	T	24-06-2023	IPR001451	Hexapeptide repeat
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	Gene3D	G3DSA:1.20.5.170	-	336	367	1.7E-7	T	24-06-2023	-	-
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	Hamap	MF_00523	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase [lpxD].	27	351	31.991665	T	24-06-2023	IPR007691	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	Pfam	PF14602	Hexapeptide repeat of succinyl-transferase	258	274	0.085	T	24-06-2023	IPR001451	Hexapeptide repeat
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	Gene3D	G3DSA:3.40.1390.10	-	20	119	2.4E-29	T	24-06-2023	-	-
SMWK01000158.1_orf27109	ae37d2ba57c9c94c932f38d502585a54	370	PANTHER	PTHR43378	UDP-3-O-ACYLGLUCOSAMINE N-ACYLTRANSFERASE	27	360	1.7E-68	T	24-06-2023	IPR007691	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
SMWK01000140.1_orf21285	8152f6ca6db3324048b75209f5b332de	333	Pfam	PF12697	Alpha/beta hydrolase family	64	319	3.5E-20	T	24-06-2023	IPR000073	Alpha/beta hydrolase fold-1
SMWK01000140.1_orf21285	8152f6ca6db3324048b75209f5b332de	333	SUPERFAMILY	SSF53474	alpha/beta-Hydrolases	39	323	2.34E-43	T	24-06-2023	IPR029058	Alpha/Beta hydrolase fold
SMWK01000140.1_orf21285	8152f6ca6db3324048b75209f5b332de	333	PRINTS	PR00111	Alpha/beta hydrolase fold signature	144	157	1.0E-6	T	24-06-2023	IPR000073	Alpha/beta hydrolase fold-1
SMWK01000140.1_orf21285	8152f6ca6db3324048b75209f5b332de	333	PRINTS	PR00111	Alpha/beta hydrolase fold signature	87	102	1.0E-6	T	24-06-2023	IPR000073	Alpha/beta hydrolase fold-1
SMWK01000140.1_orf21285	8152f6ca6db3324048b75209f5b332de	333	PRINTS	PR00111	Alpha/beta hydrolase fold signature	130	143	1.0E-6	T	24-06-2023	IPR000073	Alpha/beta hydrolase fold-1
SMWK01000140.1_orf21285	8152f6ca6db3324048b75209f5b332de	333	Gene3D	G3DSA:3.40.50.1820	alpha/beta hydrolase	25	326	1.7E-58	T	24-06-2023	IPR029058	Alpha/Beta hydrolase fold
SMWK01000140.1_orf21285	8152f6ca6db3324048b75209f5b332de	333	PANTHER	PTHR43798	MONOACYLGLYCEROL LIPASE	32	320	2.6E-23	T	24-06-2023	-	-
SMWK01000103.1_orf11680	ca81cee4b6844cf5b5ed064007db2a13	368	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	131	311	1.24E-38	T	24-06-2023	IPR036291	NAD(P)-binding domain superfamily
SMWK01000103.1_orf11680	ca81cee4b6844cf5b5ed064007db2a13	368	Pfam	PF00107	Zinc-binding dehydrogenase	165	292	2.6E-16	T	24-06-2023	IPR013149	Alcohol dehydrogenase-like, C-terminal
SMWK01000103.1_orf11680	ca81cee4b6844cf5b5ed064007db2a13	368	SUPERFAMILY	SSF50129	GroES-like	8	145	8.53E-24	T	24-06-2023	IPR011032	GroES-like superfamily
SMWK01000103.1_orf11680	ca81cee4b6844cf5b5ed064007db2a13	368	FunFam	G3DSA:3.40.50.720:FF:000121	Prostaglandin reductase 2	133	315	6.4E-51	T	24-06-2023	-	-
SMWK01000103.1_orf11680	ca81cee4b6844cf5b5ed064007db2a13	368	Pfam	PF16884	N-terminal domain of oxidoreductase	11	105	1.6E-18	T	24-06-2023	IPR041694	Oxidoreductase, N-terminal domain
SMWK01000103.1_orf11680	ca81cee4b6844cf5b5ed064007db2a13	368	PANTHER	PTHR43205	PROSTAGLANDIN REDUCTASE	9	345	1.8E-78	T	24-06-2023	IPR045010	Medium-chain dehydrogenase/reductase
SMWK01000103.1_orf11680	ca81cee4b6844cf5b5ed064007db2a13	368	Gene3D	G3DSA:3.40.50.720	-	133	315	1.4E-99	T	24-06-2023	-	-
SMWK01000103.1_orf11680	ca81cee4b6844cf5b5ed064007db2a13	368	SMART	SM00829	PKS_ER_names_mod	26	344	2.3E-4	T	24-06-2023	IPR020843	Polyketide synthase, enoylreductase domain
SMWK01000103.1_orf11680	ca81cee4b6844cf5b5ed064007db2a13	368	CDD	cd05288	PGDH	8	344	2.77267E-137	T	24-06-2023	-	-
SMWK01000103.1_orf11680	ca81cee4b6844cf5b5ed064007db2a13	368	Gene3D	G3DSA:3.90.180.10	-	21	344	1.4E-99	T	24-06-2023	-	-
SMWK01000122.1_orf17600	2093ab6fa386afd1ce5f1a3eb42882b1	399	SUPERFAMILY	SSF103473	MFS general substrate transporter	16	398	2.53E-20	T	24-06-2023	IPR036259	MFS transporter superfamily
SMWK01000122.1_orf17600	2093ab6fa386afd1ce5f1a3eb42882b1	399	Pfam	PF13347	MFS/sugar transport protein	27	395	1.8E-57	T	24-06-2023	-	-
SMWK01000122.1_orf17600	2093ab6fa386afd1ce5f1a3eb42882b1	399	Gene3D	G3DSA:1.20.1250.20	MFS general substrate transporter like domains	27	399	1.5E-17	T	24-06-2023	IPR036259	MFS transporter superfamily
SMWK01000122.1_orf17600	2093ab6fa386afd1ce5f1a3eb42882b1	399	ProSitePatterns	PS00872	Sodium:galactoside symporter family signature.	66	91	-	T	24-06-2023	IPR018043	Sodium:galactoside symporter, conserved site
SMWK01000122.1_orf17600	2093ab6fa386afd1ce5f1a3eb42882b1	399	PANTHER	PTHR11328	MAJOR FACILITATOR SUPERFAMILY DOMAIN-CONTAINING PROTEIN	9	397	2.0E-42	T	24-06-2023	IPR039672	Lactose permease-like
SMWK01000106.1_orf12739	5dd45af0050db17a871c95114798d0ef	532	Pfam	PF13559	Domain of unknown function (DUF4129)	446	514	1.7E-5	T	24-06-2023	IPR025403	Domain of unknown function DUF4129
SMWK01000315.1_orf75860	8cdba87217c599349ee5f25522638343	624	CDD	cd00828	elong_cond_enzymes	149	530	8.82823E-86	T	24-06-2023	IPR047224	Fatty acid synthase subunit alpha-like, C-terminal
SMWK01000315.1_orf75860	8cdba87217c599349ee5f25522638343	624	Gene3D	G3DSA:3.40.47.10	-	1	580	5.6E-69	T	24-06-2023	IPR016039	Thiolase-like
SMWK01000315.1_orf75860	8cdba87217c599349ee5f25522638343	624	Pfam	PF02801	Beta-ketoacyl synthase, C-terminal domain	372	485	1.4E-6	T	24-06-2023	IPR014031	Beta-ketoacyl synthase, C-terminal
SMWK01000315.1_orf75860	8cdba87217c599349ee5f25522638343	624	SUPERFAMILY	SSF53901	Thiolase-like	331	530	2.26E-29	T	24-06-2023	IPR016039	Thiolase-like
SMWK01000315.1_orf75860	8cdba87217c599349ee5f25522638343	624	Pfam	PF00109	Beta-ketoacyl synthase, N-terminal domain	174	359	1.6E-10	T	24-06-2023	IPR014030	Beta-ketoacyl synthase, N-terminal
SMWK01000315.1_orf75860	8cdba87217c599349ee5f25522638343	624	PANTHER	PTHR11712	POLYKETIDE SYNTHASE-RELATED	143	533	1.0E-34	T	24-06-2023	IPR000794	Beta-ketoacyl synthase
SMWK01000315.1_orf75860	8cdba87217c599349ee5f25522638343	624	SUPERFAMILY	SSF53901	Thiolase-like	154	368	1.7E-25	T	24-06-2023	IPR016039	Thiolase-like
SMWK01000105.1_orf12289	bcd54df364f8a7efddb3e7f877c73c45	513	ProSitePatterns	PS00455	Putative AMP-binding domain signature.	170	181	-	T	24-06-2023	IPR020845	AMP-binding, conserved site
SMWK01000105.1_orf12289	bcd54df364f8a7efddb3e7f877c73c45	513	Pfam	PF00501	AMP-binding enzyme	19	416	2.3E-95	T	24-06-2023	IPR000873	AMP-dependent synthetase/ligase domain
SMWK01000105.1_orf12289	bcd54df364f8a7efddb3e7f877c73c45	513	Gene3D	G3DSA:3.30.300.30	-	412	512	1.0E-31	T	24-06-2023	IPR045851	AMP-binding enzyme, C-terminal domain superfamily
SMWK01000105.1_orf12289	bcd54df364f8a7efddb3e7f877c73c45	513	CDD	cd17631	FACL_FadD13-like	19	504	0.0	T	24-06-2023	-	-
SMWK01000105.1_orf12289	bcd54df364f8a7efddb3e7f877c73c45	513	Pfam	PF13193	AMP-binding enzyme C-terminal domain	426	501	6.7E-20	T	24-06-2023	IPR025110	AMP-binding enzyme, C-terminal domain
SMWK01000105.1_orf12289	bcd54df364f8a7efddb3e7f877c73c45	513	Gene3D	G3DSA:3.40.50.12780	-	4	410	7.0E-115	T	24-06-2023	IPR042099	ANL, N-terminal domain
SMWK01000105.1_orf12289	bcd54df364f8a7efddb3e7f877c73c45	513	PANTHER	PTHR43201	ACYL-COA SYNTHETASE	40	510	4.2E-112	T	24-06-2023	-	-
SMWK01000105.1_orf12289	bcd54df364f8a7efddb3e7f877c73c45	513	FunFam	G3DSA:3.30.300.30:FF:000008	2,3-dihydroxybenzoate-AMP ligase	412	513	8.8E-35	T	24-06-2023	-	-
SMWK01000105.1_orf12289	bcd54df364f8a7efddb3e7f877c73c45	513	SUPERFAMILY	SSF56801	Acetyl-CoA synthetase-like	12	510	7.98E-148	T	24-06-2023	-	-
SMWK01000185.1_orf36377	9771b08f0545cd06a8374cb68b1b1b67	309	Pfam	PF03331	UDP-3-O-acyl N-acetylglycosamine deacetylase	11	281	1.1E-96	T	24-06-2023	IPR004463	UDP-3-O-acyl N-acetylglucosamine deacetylase
SMWK01000185.1_orf36377	9771b08f0545cd06a8374cb68b1b1b67	309	PANTHER	PTHR33694	UDP-3-O-ACYL-N-ACETYLGLUCOSAMINE DEACETYLASE 1, MITOCHONDRIAL-RELATED	5	288	9.8E-75	T	24-06-2023	IPR004463	UDP-3-O-acyl N-acetylglucosamine deacetylase
SMWK01000185.1_orf36377	9771b08f0545cd06a8374cb68b1b1b67	309	SUPERFAMILY	SSF54211	Ribosomal protein S5 domain 2-like	140	281	2.58E-41	T	24-06-2023	IPR020568	Ribosomal protein S5 domain 2-type fold
SMWK01000185.1_orf36377	9771b08f0545cd06a8374cb68b1b1b67	309	Gene3D	G3DSA:3.30.230.20	lpxc deacetylase, domain 1	8	133	9.0E-48	T	24-06-2023	IPR015870	UDP-3-O-acyl N-acetylglucosamine deacetylase, N-terminal
SMWK01000185.1_orf36377	9771b08f0545cd06a8374cb68b1b1b67	309	SUPERFAMILY	SSF54211	Ribosomal protein S5 domain 2-like	10	130	3.49E-40	T	24-06-2023	IPR020568	Ribosomal protein S5 domain 2-type fold
SMWK01000185.1_orf36377	9771b08f0545cd06a8374cb68b1b1b67	309	Gene3D	G3DSA:3.30.1700.10	lpxc deacetylase, domain 2	134	303	1.2E-54	T	24-06-2023	IPR011334	UDP-3-O-acyl N-acetylglucosamine deacetylase, C-terminal
SMWK01000185.1_orf36377	9771b08f0545cd06a8374cb68b1b1b67	309	TIGRFAM	TIGR00325	lpxC: UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	10	292	8.9E-103	T	24-06-2023	IPR004463	UDP-3-O-acyl N-acetylglucosamine deacetylase
SMWK01000185.1_orf36377	9771b08f0545cd06a8374cb68b1b1b67	309	Hamap	MF_00388	UDP-3-O-acyl-N-acetylglucosamine deacetylase [lpxC].	9	285	42.092445	T	24-06-2023	IPR004463	UDP-3-O-acyl N-acetylglucosamine deacetylase
SMWK01000101.1_orf11188	89b9986e2aa293e4d929c633982a808a	486	Gene3D	G3DSA:3.90.1300.10	Amidase signature (AS) domain	2	480	1.1E-125	T	24-06-2023	IPR036928	Amidase signature (AS) superfamily
SMWK01000101.1_orf11188	89b9986e2aa293e4d929c633982a808a	486	Pfam	PF01425	Amidase	27	462	9.4E-97	T	24-06-2023	IPR023631	Amidase signature domain
SMWK01000101.1_orf11188	89b9986e2aa293e4d929c633982a808a	486	SUPERFAMILY	SSF75304	Amidase signature (AS) enzymes	2	475	2.35E-118	T	24-06-2023	IPR036928	Amidase signature (AS) superfamily
SMWK01000101.1_orf11188	89b9986e2aa293e4d929c633982a808a	486	PANTHER	PTHR43372	FATTY-ACID AMIDE HYDROLASE	4	475	1.0E-107	T	24-06-2023	-	-
SMWK01000072.1_orf3232	50aef5d4922ba6de4654321076e691a2	486	Pfam	PF01546	Peptidase family M20/M25/M40	109	480	1.1E-21	T	24-06-2023	IPR002933	Peptidase M20
SMWK01000072.1_orf3232	50aef5d4922ba6de4654321076e691a2	486	Gene3D	G3DSA:3.30.70.360	-	223	391	1.9E-165	T	24-06-2023	-	-
SMWK01000072.1_orf3232	50aef5d4922ba6de4654321076e691a2	486	Pfam	PF07687	Peptidase dimerisation domain	221	381	3.0E-7	T	24-06-2023	IPR011650	Peptidase M20, dimerisation domain
SMWK01000072.1_orf3232	50aef5d4922ba6de4654321076e691a2	486	Gene3D	G3DSA:3.40.630.10	Zn peptidases	25	479	1.9E-165	T	24-06-2023	-	-
SMWK01000072.1_orf3232	50aef5d4922ba6de4654321076e691a2	486	SUPERFAMILY	SSF53187	Zn-dependent exopeptidases	30	484	1.89E-46	T	24-06-2023	-	-
SMWK01000072.1_orf3232	50aef5d4922ba6de4654321076e691a2	486	PANTHER	PTHR43270	BETA-ALA-HIS DIPEPTIDASE	28	480	2.4E-67	T	24-06-2023	-	-
SMWK01000193.1_orf38334	7b4a1b3f05fefa7246161718790f53df	167	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	45	140	3.3E-5	T	24-06-2023	IPR013783	Immunoglobulin-like fold
SMWK01000289.1_orf68164	756ed0db7bf557f18c15e35f1796ddf9	233	SUPERFAMILY	SSF69118	AhpD-like	57	215	1.57E-23	T	24-06-2023	IPR029032	AhpD-like
SMWK01000289.1_orf68164	756ed0db7bf557f18c15e35f1796ddf9	233	PANTHER	PTHR34846	4-CARBOXYMUCONOLACTONE DECARBOXYLASE FAMILY PROTEIN (AFU_ORTHOLOGUE AFUA_6G11590)	39	228	3.6E-27	T	24-06-2023	-	-
SMWK01000289.1_orf68164	756ed0db7bf557f18c15e35f1796ddf9	233	Gene3D	G3DSA:1.20.1290.10	-	71	211	4.7E-25	T	24-06-2023	IPR029032	AhpD-like
SMWK01000289.1_orf68164	756ed0db7bf557f18c15e35f1796ddf9	233	Pfam	PF02627	Carboxymuconolactone decarboxylase family	86	159	4.7E-8	T	24-06-2023	IPR003779	Carboxymuconolactone decarboxylase-like
SMWK01000270.1_orf60494	1fdced00abd1ab05b8dbe0b618c0489b	796	ProSiteProfiles	PS51635	Patatin-like phospholipase (PNPLA) domain profile.	19	354	11.567209	T	24-06-2023	IPR002641	Patatin-like phospholipase domain
SMWK01000270.1_orf60494	1fdced00abd1ab05b8dbe0b618c0489b	796	Gene3D	G3DSA:3.40.1090.10	Cytosolic phospholipase A2 catalytic domain	17	388	3.2E-12	T	24-06-2023	-	-
SMWK01000270.1_orf60494	1fdced00abd1ab05b8dbe0b618c0489b	796	Pfam	PF01734	Patatin-like phospholipase	20	354	1.1E-17	T	24-06-2023	IPR002641	Patatin-like phospholipase domain
SMWK01000270.1_orf60494	1fdced00abd1ab05b8dbe0b618c0489b	796	SUPERFAMILY	SSF52151	FabD/lysophospholipase-like	14	444	4.97E-22	T	24-06-2023	IPR016035	Acyl transferase/acyl hydrolase/lysophospholipase
SMWK01000270.1_orf60494	1fdced00abd1ab05b8dbe0b618c0489b	796	Pfam	PF11856	Protein of unknown function (DUF3376)	668	762	2.1E-12	T	24-06-2023	IPR024282	Domain of unknown function DUF3376
SMWK01000270.1_orf60494	1fdced00abd1ab05b8dbe0b618c0489b	796	TIGRFAM	TIGR03607	TIGR03607: patatin-related protein	14	747	1.1E-134	T	24-06-2023	IPR019894	Patatin-related protein
SMWK01000312.1_orf75169	395a2713eb9fab64558d170a67ea97a9	668	SMART	SM00564	ire1_9	100	131	0.002	T	24-06-2023	IPR018391	Pyrrolo-quinoline quinone beta-propeller repeat
SMWK01000312.1_orf75169	395a2713eb9fab64558d170a67ea97a9	668	SMART	SM00564	ire1_9	214	254	95.0	T	24-06-2023	IPR018391	Pyrrolo-quinoline quinone beta-propeller repeat
SMWK01000312.1_orf75169	395a2713eb9fab64558d170a67ea97a9	668	SMART	SM00564	ire1_9	588	621	0.012	T	24-06-2023	IPR018391	Pyrrolo-quinoline quinone beta-propeller repeat
SMWK01000312.1_orf75169	395a2713eb9fab64558d170a67ea97a9	668	SMART	SM00564	ire1_9	283	332	10.0	T	24-06-2023	IPR018391	Pyrrolo-quinoline quinone beta-propeller repeat
SMWK01000312.1_orf75169	395a2713eb9fab64558d170a67ea97a9	668	Gene3D	G3DSA:2.140.10.10	-	30	667	1.8E-145	T	24-06-2023	-	-
SMWK01000312.1_orf75169	395a2713eb9fab64558d170a67ea97a9	668	CDD	cd10280	PQQ_mGDH	39	666	0.0	T	24-06-2023	IPR017511	PQQ-dependent membrane bound dehydrogenase
SMWK01000312.1_orf75169	395a2713eb9fab64558d170a67ea97a9	668	SUPERFAMILY	SSF50998	Quinoprotein alcohol dehydrogenase-like	37	667	9.55E-153	T	24-06-2023	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily
SMWK01000312.1_orf75169	395a2713eb9fab64558d170a67ea97a9	668	Pfam	PF01011	PQQ enzyme repeat	315	342	7.8E-7	T	24-06-2023	IPR002372	Pyrrolo-quinoline quinone repeat
SMWK01000312.1_orf75169	395a2713eb9fab64558d170a67ea97a9	668	Pfam	PF01011	PQQ enzyme repeat	539	572	1.2E-4	T	24-06-2023	IPR002372	Pyrrolo-quinoline quinone repeat
SMWK01000312.1_orf75169	395a2713eb9fab64558d170a67ea97a9	668	Pfam	PF13360	PQQ-like domain	94	251	2.7E-7	T	24-06-2023	IPR002372	Pyrrolo-quinoline quinone repeat
SMWK01000312.1_orf75169	395a2713eb9fab64558d170a67ea97a9	668	PANTHER	PTHR32303	QUINOPROTEIN ALCOHOL DEHYDROGENASE (CYTOCHROME C)	36	655	6.4E-49	T	24-06-2023	-	-
SMWK01000265.1_orf59101	624e860e330ff33c14354f8dfe414324	878	Pfam	PF02687	FtsX-like permease family	308	423	1.7E-9	T	24-06-2023	IPR003838	ABC3 transporter permease protein domain
SMWK01000265.1_orf59101	624e860e330ff33c14354f8dfe414324	878	Pfam	PF02687	FtsX-like permease family	757	869	2.3E-10	T	24-06-2023	IPR003838	ABC3 transporter permease protein domain
SMWK01000265.1_orf59101	624e860e330ff33c14354f8dfe414324	878	PANTHER	PTHR30287	MEMBRANE COMPONENT OF PREDICTED ABC SUPERFAMILY METABOLITE UPTAKE TRANSPORTER	51	875	1.6E-183	T	24-06-2023	IPR038766	Membrane component of ABC transporter, predicted
SMWK01000279.1_orf63671	27214323d920f825ffe3bfea9420af4c	344	Gene3D	G3DSA:3.40.50.10540	-	3	328	1.5E-68	T	24-06-2023	IPR023606	CoA-transferase family III domain 1 superfamily
SMWK01000279.1_orf63671	27214323d920f825ffe3bfea9420af4c	344	PANTHER	PTHR48207	SUCCINATE--HYDROXYMETHYLGLUTARATE COA-TRANSFERASE	3	337	2.3E-62	T	24-06-2023	-	-
SMWK01000279.1_orf63671	27214323d920f825ffe3bfea9420af4c	344	SUPERFAMILY	SSF89796	CoA-transferase family III (CaiB/BaiF)	2	336	1.57E-74	T	24-06-2023	IPR023606	CoA-transferase family III domain 1 superfamily
SMWK01000279.1_orf63671	27214323d920f825ffe3bfea9420af4c	344	Pfam	PF02515	CoA-transferase family III	3	312	1.8E-64	T	24-06-2023	IPR003673	CoA-transferase family III
SMWK01000279.1_orf63671	27214323d920f825ffe3bfea9420af4c	344	Gene3D	G3DSA:3.30.1540.10	-	172	265	1.5E-68	T	24-06-2023	IPR044855	CoA-transferase family III domain 3 superfamily
SMWK01000174.1_orf34078	442a3227732941976a06ddcaf3ef9ce1	210	ProSiteProfiles	PS51352	Thioredoxin domain profile.	37	192	11.760553	T	24-06-2023	IPR013766	Thioredoxin domain
SMWK01000174.1_orf34078	442a3227732941976a06ddcaf3ef9ce1	210	SUPERFAMILY	SSF52833	Thioredoxin-like	52	186	1.4E-14	T	24-06-2023	IPR036249	Thioredoxin-like superfamily
SMWK01000174.1_orf34078	442a3227732941976a06ddcaf3ef9ce1	210	Pfam	PF13098	Thioredoxin-like domain	79	183	3.8E-6	T	24-06-2023	IPR012336	Thioredoxin-like fold
SMWK01000174.1_orf34078	442a3227732941976a06ddcaf3ef9ce1	210	Gene3D	G3DSA:3.40.30.10	Glutaredoxin	40	190	8.8E-15	T	24-06-2023	-	-
SMWK01000256.1_orf56928	a0474df819b156e8c40b58d23d245c1a	216	Pfam	PF10988	Putative auto-transporter adhesin, head GIN domain	45	165	1.3E-21	T	24-06-2023	IPR021255	Putative auto-transporter adhesin, head GIN domain
SMWK01000256.1_orf56928	a0474df819b156e8c40b58d23d245c1a	216	Gene3D	G3DSA:2.160.20.120	-	31	216	5.5E-43	T	24-06-2023	-	-
SMWK01000256.1_orf56928	a0474df819b156e8c40b58d23d245c1a	216	PANTHER	PTHR39200	HYPOTHETICAL EXPORTED PROTEIN	120	205	2.8E-10	T	24-06-2023	-	-
SMWK01000067.1_orf341	d743a5b6818681d9ea7ef426a91f9b10	219	Hamap	MF_00278	Imidazole glycerol phosphate synthase subunit HisH [hisH].	15	215	32.658443	T	24-06-2023	IPR010139	Imidazole glycerol phosphate synthase, subunit H
SMWK01000067.1_orf341	d743a5b6818681d9ea7ef426a91f9b10	219	SUPERFAMILY	SSF52317	Class I glutamine amidotransferase-like	15	215	1.2E-51	T	24-06-2023	IPR029062	Class I glutamine amidotransferase-like
SMWK01000067.1_orf341	d743a5b6818681d9ea7ef426a91f9b10	219	CDD	cd01748	GATase1_IGP_Synthase	17	212	1.11327E-104	T	24-06-2023	IPR010139	Imidazole glycerol phosphate synthase, subunit H
SMWK01000067.1_orf341	d743a5b6818681d9ea7ef426a91f9b10	219	PANTHER	PTHR42701	IMIDAZOLE GLYCEROL PHOSPHATE SYNTHASE SUBUNIT HISH	16	214	4.8E-68	T	24-06-2023	IPR010139	Imidazole glycerol phosphate synthase, subunit H
SMWK01000067.1_orf341	d743a5b6818681d9ea7ef426a91f9b10	219	Pfam	PF00117	Glutamine amidotransferase class-I	18	205	5.0E-18	T	24-06-2023	IPR017926	Glutamine amidotransferase
SMWK01000067.1_orf341	d743a5b6818681d9ea7ef426a91f9b10	219	ProSiteProfiles	PS51273	Glutamine amidotransferase type 1 domain profile.	15	219	30.416368	T	24-06-2023	-	-
SMWK01000067.1_orf341	d743a5b6818681d9ea7ef426a91f9b10	219	Gene3D	G3DSA:3.40.50.880	-	14	218	5.9E-69	T	24-06-2023	IPR029062	Class I glutamine amidotransferase-like
SMWK01000067.1_orf341	d743a5b6818681d9ea7ef426a91f9b10	219	TIGRFAM	TIGR01855	IMP_synth_hisH: imidazole glycerol phosphate synthase, glutamine amidotransferase subunit	17	214	2.4E-65	T	24-06-2023	IPR010139	Imidazole glycerol phosphate synthase, subunit H
