pVOGs	Host Domain	Number of Sequences	Number of Genomes	Number of Virus Families	Number of Virus Genera	Protein Annotations	Mapping to POGs 2013
VOG1851	Bacteria	3	3	1	1	hypothetical protein	Mapped to: POG1851
VOG1852	Bacteria	3	3	1	1	hypothetical protein	Mapped to: POG1852
VOG1853	Bacteria	3	3	1	1	hypothetical protein	Mapped to: POG1853
VOG1854	Bacteria	3	3	1	1	hypothetical protein	Mapped to: POG1854
VOG1855	Bacteria	31	31	2	4	hypothetical protein	Mapped to: POG1855
VOG1856	Bacteria	51	48	2	3	gp276; hypothetical protein	Complete union of: POG1856; POG1722
VOG1857	Bacteria	13	13	1	2	hypothetical protein; putative predicted product	Mapped to: POG1857
VOG1858	Bacteria	3	3	1	1	hypothetical protein	Mapped to: POG1858
VOG1859	Bacteria	3	3	1	1	hypothetical protein	Mapped to: POG1859
VOG1860	Bacteria	193	193	2	3	59 protein; DNA helicase; DNA helicase loader; DNA helicase loader protein; DNA helicase loading protein; Gp59 T4-like loader of gp41 DNA helicase; Putative loader of gp41 DNA helicase; T4-like loader of DNA helicase; T4-like loader of DNA helicase family protein; T4-like loader of gp41 DNA helicase; gp41 DNA helicase gp59 loader protein; gp59; gp59 T4-like loader of gp41 DNA helicase; gp59 helicase loading protein; gp59 loader of DNA helicase; gp59 loader of gene 41 DNA helicase; gp59 loader of gp41 DNA helicase; gp59 protein; helicase assembly protein; helicase loader; helicase loader DnaI; helicase loader protein; helicase loading protein; hypothetical protein; loader of DNA helicase; loader of DNA helicase and ssDNA binding; loader of DNA helicase family protein; loader of T4-like helicase; loader of gene 41 DNA helicase; loader of gp41 DNA helicase; loader of gp41 DNA helicase [Escherichia phage wV7]; phage DNA helicase loader protein; putative loader of DNA helicase; putative loader of DNA helicase and ssDNA binding protein; putative loader of gp41 DNA helicase gp59; putative predicted product	Mapped to: POG1860
VOG1861	Bacteria	204	203	3	3	Gp33 T4-like late promoter transcription accessory protein; Putative late promoter transcription accessory protein; connector between replisome and late sigma factor; double-strand binding protein; gp33; gp33 late promoter transcription; gp33 late promoter transcription accessory protein; gp33 late promoter transcription protein; gp33 late promoters transcription; hypothetical protein; late promoter transcription; late promoter transcription accessory protein; late promoter transcription accessoryprotein; late promoter transcription factor; late promoter transcription protein; late promoter transcriptional accessory protein; late promoters transcription; promoter accessory protein; putative late promoter transcription accessory protein; putative late promoter transcription accessory protein gp33; putative late promoter transcription factor; putative late promoter transcription factor [Shigella phage Shfl2]; putative predicted product; transcirtional regulator; transcription protein; transcriptional regulator	Mapped to: POG1861
VOG1862	Bacteria	5	5	1	1	hypothetical protein	Mapped to: POG1862
VOG1863	Bacteria	3	3	1	1	hypothetical protein	Mapped to: POG1863
VOG1864	Bacteria	82	80	1	2	-; Anti-Sigma Factor A; AsiA; AsiA anti-sigma 70 protein; AsiA anti-sigma70 protein; anti-sigma 70; anti-sigma 70 protein; anti-sigma factor; anti-sigma factor A; anti-sigma factor A protein; anti-sigma70 protein; holin; host sigma70-binding protein; hypothetical protein	Mapped to: POG1864
VOG1865	Bacteria	5	5	1	1	hypothetical protein; putative predicted product	Mapped to: POG1865
VOG1866	Bacteria	3	3	1	1	hypothetical protein	Mapped to: POG1866
VOG1867	Bacteria	80	80	3	4	-; Phi92_gp116; RB32ORF249c hypothetical protein; conserved hypothetical protein; hypothetical protein; putative predicted product	Mapped to: POG1867
VOG1868	Bacteria	4	4	1	1	hypothetical protein	Mapped to: POG1868
VOG1869	Bacteria	22	22	2	2	hypothetical protein	Mapped to: POG1869
VOG1870	Bacteria	5	5	1	1	hypothetical protein	Mapped to: POG1870
VOG1871	Bacteria	8	8	1	1	NudE nudix hydrolase; hypothetical protein; nudix hydrolase; putative predicted product	Mapped to: POG1871
VOG1873	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	Mapped to: POG1873
VOG1874	Bacteria	6	6	1	1	gp35 hinge long tail fiber proximal connector; hinge long tail fiber proximal connector; hypothetical protein; putative predicted product	Mapped to: POG1874
VOG1877	Bacteria	3	3	0	0	hypothetical protein	Mapped to: POG1877
VOG1878	Bacteria	4	4	0	0	hypothetical protein	Mapped to: POG1878
VOG1879	Bacteria	5	5	1	0	hypothetical protein	Mapped to: POG1879
VOG1880	Bacteria	4	4	1	1	hypothetical protein	Mapped to: POG1880
VOG1881	Bacteria	3	3	2	0	gp12; hypothetical protein; putative predicted product	Mapped to: POG1881
VOG1883	Bacteria	3	3	2	0	gp13; hypothetical protein; putative predicted product	Mapped to: POG1883
VOG1884	Bacteria	6	6	1	1	gp41; hypothetical protein; putative predicted product	Mapped to: POG1884
VOG1886	Bacteria	21	21	3	1	DNA terminase; ORF22; TerL; VHS1091 protein; hypothetical protein; putative large terminase subunit; putative terminase; putative terminase large subunit; terminase; terminase large subunit	Mapped to: POG1886
VOG1887	Bacteria	90	90	3	5	ORFp38; bacteriophage major capsid protein; Lambda gpE homolog; capsid; capsid component; capsid protein; capsid protein E; gp012; gp348; gp38; gp8; head protein; hypothetical phage capsid protein; hypothetical protein; main capsid protein; major capsid (head) protein; major capsid E family protein; major capsid protein; major capsid protein E; major head subunit; major head subunit E; orf10; phage major head protein; prophage major head protein; putative capsid protein E; putative head protein; putative major capsid protein; putative major head protein; putative structural protein	Complete union of: POG1887; POG0836
VOG1888	Bacteria	10	10	1	1	gp40; gp42; holin; hypothetical protein; putative holin	Mapped to: POG1888
VOG1890	Bacteria	57	57	1	1	gp085; gp63; gp71; gp72; gp73; gp74; gp75; gp77; gp78; gp79; gp80; gp82; gp83; gp84; gp85; gp89; gp91; hypothetical protein; putative predicted product	Mapped to: POG1890
VOG1891	Bacteria	5	5	2	0	gp091; gp163; gp91; hypothetical protein	Mapped to: POG1891
VOG1892	Bacteria	91	91	1	3	gp096; gp118; gp122; gp58; gp59; gp60; gp62; gp63; gp64; gp65; hypothetical protein	Mapped to: POG1892
VOG1893	Bacteria	11	11	1	0	gp008; gp010; hypothetical protein	Mapped to: POG1893
VOG1894	Bacteria	3	3	1	0	gp26, holin; holin	Mapped to: POG1894
VOG1895	Bacteria	11	11	1	0	gp014; hypothetical protein; structural protein	Mapped to: POG1895
VOG1897	Bacteria	11	11	1	0	hypothetical protein; structural protein	Mapped to: POG1897
VOG1898	Bacteria	13	13	1	0	cell adhesion domain-containing protein; head protein; hypothetical protein; major structural protein; major tail protein; major tail shaft protein; putative major capsid protein; tail tube protein	Mapped to: POG1898
VOG1899	Bacteria	11	11	1	0	gp029; gp030; hypothetical protein	Mapped to: POG1899
VOG1900	Bacteria	12	12	1	0	hypothetical protein; structural protein	Mapped to: POG1900
VOG1901	Bacteria	11	11	1	0	gp067; hypothetical protein	Mapped to: POG1901
VOG1902	Bacteria	11	11	1	0	gp069; hypothetical protein	Mapped to: POG1902
VOG1903	Bacteria	11	11	1	0	gp077; gp078; hypothetical protein	Mapped to: POG1903
VOG1907	Bacteria+Archaea	12	12	1	0	gp107; hypothetical protein	Mapped to: POG1907
VOG1909	Bacteria	49	49	1	1	gp10; gp11; gp12; gp13; gp14; gp9; hypothetical protein; putative predicted product	Mapped to: POG1909
VOG1912	Bacteria	116	115	3	4	AB1gp30; NUDIX hydrolase; Phage-related protein; PorT; conserved hypothetical protein ORF017; gp17; gp18; gp19 putative portal protein; gp28; gp3; gp56; hi1409 family protein; hypothetical protein; minor head protein; minor head protein-like protein; minor head-like protein; phage portal protein; portal protein; putative head protein; putative minor head protein; putative phage head portal protein; putative portal protein; putative predicted product; putative structural protein; truncated putative portal protein; virion protein	Mapped to: POG1912
VOG1914	Bacteria	63	63	3	7	48; BcepNY3gp01; Phage protein; gp02; gp51; hypothetical protein; hypothetical protein ORF019; putative predicted product; virion protein	Mapped to: POG1914
VOG1915	Bacteria	114	113	3	4	AB1gp17; HspA; Phage protein; capsid and scaffold protein; capsid protein; conserved hypothetical protein ORF021; gp14; gp15; gp25; gp26; gp27 putative head protein; gp55; gp6; gp65; hypothetical protein; major capsid protein; major head subunit precursor; phage protein; possible prohead protease; prohead protease; putative head protein; putative major head subunit precursor; putative predicted product; putative prohead protease; putative structural protein; structural protein; tape measure protein; virion protein	Complete union of: POG1915; POG2399; POG1941
VOG1916	Bacteria	42	42	1	2	Phage protein; gp24; hypothetical protein; hypothetical protein ORF022; putative predicted product; putative structural protein; structural protein; virion protein	Mapped to: POG1916
VOG1917	Bacteria	56	56	1	3	AB1gp15; Phage capsid protein; capsid and scaffold protein; gp12; gp13; gp23; hypothetical protein; hypothetical protein ORF023; major capsid protein; major structural protein; major virion protein; phage capsid and scaffold protein; putative capsid and scaffold protein; putative capsid protein; putative major structural protein; putative major strucutral protein; putative predicted product; putative structural protein; structural protein	Mapped to: POG1917
VOG1919	Bacteria	42	42	1	2	Phage protein; hypothetical protein; putative predicted product; putative structural protein; structural protein; virion protein	Mapped to: POG1919
VOG1920	Bacteria	43	43	1	2	Phage protein; gp18; hypothetical protein; hypothetical protein ORF027; putative predicted product; structural protein	Mapped to: POG1920
VOG1921	Bacteria	44	44	1	2	Phage tail fiber protein; gp16; hypothetical protein; hypothetical protein ORF030; putative predicted product; putative structural protein; putative tail fiber protein; structural protein; tail fiber protein; virion protein	Mapped to: POG1921
VOG1924	Bacteria	69	69	2	3	AB1gp78; BcepNY3gp31; gp07; gp32; gp34; gp83; hypothetical protein; pf11041 family protein; phage protein; putative predicted product; putative tail component	Mapped to: POG1924
VOG1926	Bacteria	61	61	3	3	gp11; hypothetical protein; hypothetical protein ORF044; hypothetical protein ORF051; putative predicted product	Mapped to: POG1926
VOG1927	Bacteria	49	49	2	3	gp10; hypothetical protein; hypothetical protein ORF052; putative predicted product	Mapped to: POG1927
VOG1928	Bacteria	55	55	2	3	DNA helicase; gp31; hypothetical protein; hypothetical protein ORF054; hypothetical protein ORF066; hypothetical protein RDJLphi1_gp14; putative DNA helicase; putative predicted product	Complete union of: POG1928; POG4222
VOG1930	Bacteria	23	23	1	1	gp47.1 hypothetical predicted membrane protein; gp47.1 hypothetical protein; hypothetical protein; predicted membrane protein; putative predicted product	Mapped to: POG1930
VOG1931	Bacteria	50	50	3	5	ORF013; ParB; ParB-like domain protein; ParB-like nuclease domain; ParB-like nuclease domain protein; ParB-like partition protein; ParB-like protein; chromosome partitioning protein gp35; co-activator of prophage gene expression; co-activator of prophage gene expression IbrB; ectoine synthase/ParB multidomain protein; gp4; gp5; hypothetical protein; phage-related DNA-binding protein; possible transcription regulator; putative ParB protein; putative ParB-like nuclease domain-containing protein; putative parB-like partition protein; putative parB-like partitioning protein; putative transcriptional regulator; transcriptional regulator	Complete union of: POG1931; POG4328
VOG1933	Bacteria	10	10	2	1	conserved phage protein; head-to-tail joining protein; hypothetical protein; putative phage-like protein; putative phage-related protein	Mapped to: POG1933
VOG1936	Bacteria	24	24	3	2	AAA ATPase; AAA-ATPase; ATPase; gp62; gp68; gp69; gp70; gp73; gp79; hypothetical protein; putative replicative DNA helicase; recombinational DNA repair protein RecT; replicative DNA helicase	Mapped to: POG1936
VOG1942	Bacteria	58	58	3	1	HsbB; MCP protein; capsid protein; gp29 major capsid protein; gp52; gp8; hypothetical protein; major capsid protein; putative capsid protein; putative helicase; putative major capsid protein	Mapped to: POG1942
VOG1944	Bacteria	38	38	1	1	hyphothetical protein; hypothetical protein; putative predicted product	Mapped to: POG1944
VOG1945	Bacteria	66	62	2	4	hypothetical protein; putative predicted product; unknown product	Complete union of: POG1945; POG1946
VOG1948	Bacteria	28	28	1	1	hypothetical protein; putative predicted product	Mapped to: POG1948
VOG1950	Bacteria	27	27	1	1	hypothetical protein; putative predicted product	Mapped to: POG1950
VOG1951	Bacteria	27	27	1	1	hypothetical protein; putative predicted product; structural protein	Mapped to: POG1951
VOG1952	Bacteria	28	28	1	1	hypothetical protein; putative predicted product	Mapped to: POG1952
VOG1953	Bacteria	27	27	1	1	hypothetical protein; putative predicted product; structural protein	Mapped to: POG1953
VOG1956	Bacteria	122	122	3	2	AB1gp83; BcepNY3gp45; P2 gpU-like protein; Phi92_gp135; gp031; gp13; gp19; gp44; gp45; gp46; gp78; hyphothetical protein; hypothetical protein; hypothetical protein [Escherichia phage rv5]; phage conserved protein; phage protein; putative muramidase; putative predicted product; putative structural protein; putative tail tape measure protein; putative tail tube initiator or completion protein; structural protein	Complete union of: POG1956; POG2135; POG1432; POG1349
VOG1960	Bacteria+Archaea	28	28	3	2	MazG; MazG-like protein; glutaredoxin 3; gp06; gp103; gp32; gp37; gp71; hypothetical protein; nucleoside triphosphate pyrophosphohydrolase, MazG; putative predicted product; pyrophosphatase	Mapped to: POG1960
VOG1962	Bacteria	98	97	3	7	-; RB32ORF081c hypothetical protein; RB69ORF091c hypothetical protein; conserved hypothetical protein; gp21.6; gp5.9; gp95; host recBCD nuclease inhibitor; hypothetical protein; hypothetical protein ACG-C40_0081 [Enterobacteria phage vB_EcoM_ACG-C40]; inihibitor of recBCD nuclease; putative host recBCD nuclease inhibitor; putative predicted product	Complete union of: POG1962; POG0423
VOG1964	Bacteria	19	19	1	2	hypothetical protein; putative predicted product	Mapped to: POG1964
VOG1965	Bacteria+Archaea	115	114	2	5	Protein sprT; SprT; SprT protease; SprT-like protein; conserved hypothetical protein; gp230; gp75; gp76; gp77; gp78; gp79; gp80; gp81; gp82; gp83; gp86; gp87; hypothetical protein; protease; putative predicted product	Complete union of: POG1965; POG1704; POG1705
VOG1967	Bacteria	28	28	1	2	hypothetical protein; hypothetical protein ORF_0137; putative predicted product	Mapped to: POG1967
VOG1968	Bacteria	27	27	1	1	hypothetical protein; putative predicted product	Mapped to: POG1968
VOG1975	Bacteria	68	68	1	1	-; conserved hypothetical protein; gp17; hypothetical protein; hypothetical protein Shfl1p001 [Shigella phage Shfl2]; rIIA.1 conserved hypothetical protein; rIIA.1 hypothetical protein	Mapped to: POG1975
VOG1979	Bacteria	51	51	1	1	ModA.4 conserved hypothetical protein; ModA.4 hypothetical protein; gp38; hypothetical protein; hypothetical protein ModA.4; modA.4 hypothetical protein; modA.4 hypothetical protein [Enterobacteria phage RB51]; putative predicted product	Mapped to: POG1979
VOG1980	Bacteria	48	48	1	1	-; Mrh.2 conserved hypothetical protein; Mrh.2 hypothetical protein; hypothetical protein; hypothetical protein Mrh.2; hypothetical protein [Escherichia phage wV7]; mrh.2 hypothetical protein	Mapped to: POG1980
VOG1981	Bacteria	60	59	1	1	-; Soc small outer capsid protein; Soc small outer capsid protein [Enterobacteria phage T4]; capsid and scaffold protein; gp43; hypothetical protein; phage capsid and scaffold; phage capsid and scaffold protein; putative small outer capsid protein; putative small outer capsid soc protein; small outer capsid; small outer capsid protein	Mapped to: POG1981
VOG1982	Bacteria	55	53	1	1	-; RB32ORF030w hypothetical protein; RB69ORF029w hypothetical protein; VR7ORF033w hypothetical protein; gp45; hypothetical protein; putative phage protein [Escherichia phage wV7]	Mapped to: POG1982
VOG1984a	Bacteria	46	46	1	2	-; gp55.6 conserved hypothetical protein; gp55.6 hypothetical protein; gp83; hypothetical protein	Mapped to: POG1984
VOG1984b	Bacteria	37	37	1	1	-; gp55.6 conserved hypothetical protein; gp55.6 hypothetical protein; gp83; hypothetical protein	Mapped to: POG1984
VOG1985	Bacteria	33	33	1	1	conserved hypothetical predicted membrane protein; gp87; hypothetical protein; putative predicted product	Mapped to: POG1985
VOG1986	Bacteria	24	24	1	1	conserved hypothetical protein; gp49.3 hypothetical protein; hypothetical protein	Mapped to: POG1986
VOG1987	Bacteria	44	44	1	1	-; NrdC.6 conserved hypothetical protein; hypothetical protein; hypothetical protein [Escherichia phage e11/2]; hypothetical protein nrdc.6; nrdC.6 hypothetical protein; thioredoxin, phage-associated	Mapped to: POG1987
VOG1988	Bacteria	89	89	2	2	-; AAA domain-containing protein; NrdC.10; NrdC.10 conserved hypothetical protein; conserved hypothetical protein; hypothetical protein; hypothetical protein ACG-C40_0091 [Enterobacteria phage vB_EcoM_ACG-C40]; hypothetical protein RDJLphi1_gp32; hypothetical protein nrdc.10; nrdC.10 hypothetical protein; phage-associated thioredoxin; putative 36.7 kDa protein; putative predicted product; thioredoxin; thioredoxin, phage-associated	Complete union of: POG1988; POG2427
VOG1989	Bacteria	46	46	1	1	-; MobD.2 conserved hypothetical protein; hypothetical protein; mobD.2 hypothetical protein; putative predicted product	Mapped to: POG1989
VOG1992	Bacteria	19	19	1	1	IpIII internal head protein; hypothetical protein; internal head protein; ipIII internal head protein; putative IPIII internal head protein; putative IpIII internal head protein; putative internal head protein	Mapped to: POG1992
VOG1993	Bacteria	47	47	1	1	-; e.4 conserved hypothetical protein; e.4 conserved hypothetical, predicted membrane protein; e.4 hypothetical protein; e.4 hypothetical protein [Enterobacteria phage RB14]; hypothetical protein; hypothetical protein e.4; predicted membrane protein; transmembrane region domain-containing protein	Mapped to: POG1993
VOG1995	Bacteria	9	9	1	1	TRNA.3 conserved hypothetical protein; hypothetical protein; putative predicted product	Mapped to: POG1995
VOG1996	Bacteria	53	53	1	1	-; conserved hypothetical protein; gp30.1 conserved hypothetical protein; gp30.1 hypothetical protein; hypothetical protein; phage protein	Mapped to: POG1996
VOG1998	Bacteria	25	25	1	1	gp30.4 conserved hypothetical protein; hypothetical protein	Mapped to: POG1998
VOG2000	Bacteria	72	72	1	1	-; Cd.2 conserved hypothetical protein; cd.2 hypothetical protein; conserved hypothetical protein; hypothetical protein; hypothetical protein RB32ORF213c [Enterobacteria phage RB32]	Mapped to: POG2000
VOG2001	Bacteria	39	39	1	1	-; Cd.4 conserved hypothetical protein; hypothetical protein; hypothetical protein [Escherichia phage wV7]	Mapped to: POG2001
VOG2002	Bacteria	47	47	2	1	-; PseT.1 conserved hypothetical protein; hypothetical protein; hypothetical protein ACG-C40_0220 [Enterobacteria phage vB_EcoM_ACG-C40]; pseT.1 hypothetical protein; putative predicted product	Mapped to: POG2002
VOG2004	Bacteria	58	58	1	1	-; Bacteriophage FRD3 protein; Frd.3 conserved hypothetical protein; Frd.3 hypothetical protein; Frd3 domain-containing protein; conserved hypothetical protein; frd.3 hypothetical protein; hypothetical protein; hypothetical protein Shfl2p242 [Shigella phage Shfl2]; putative predicted product; uncharacterized 8.8 kDa protein	Mapped to: POG2004
VOG2005	Bacteria	18	18	1	1	SegG homing endonuclease; gp32.1 putative homing endonuclease; homing endonuclease; hypothetical protein; putative homing endonuclease	Mapped to: POG2005
VOG2006	Bacteria	95	95	1	1	-; Putative hinge long tail fiber proximal connector; gp35; gp35 hinge connector of long tail fiber; gp35 hinge connector of long tail fiber proximal connector; gp35 hinge connector of long tail fiber, proximal connector; gp35 tail fiber hinge; hinge connector; hinge connector of long tail fiber proximal connector; hinge connector of long tail fiber, proxima; hinge connector of long tail fiber, proximal; hinge connector of long tail fiber, proximal connector; hinge long tail fiber protein proximal connector; hypothetical protein; long tail fiber protein; long tail fiber protein hinge connector; long tail fiber proximal connector; long tail fiber proximal hinge connector; long tail fiber, proximal connector; proximal hinge connector of long tail fiber; proximal hinge of long tail fiber; proximal tail fiber subunit; putative hinge connector of long tail fiber; putative hinge connector of long tail fiber proximal connector; putative predicted product; tail connector protein; tail fiber hinge; tail fiber protein Gp35; tail fiber protein p35; tail fiber protein p35 [Enterobacteria phage ime09]	Mapped to: POG2006
VOG2011	Bacteria	50	50	1	1	Ndd.4 conserved hypothetical protein; Ndd.4 hypothetical predicted inner membrane; gp8; hypothetical predicted inner membrane; hypothetical protein; hypothetical protein [Escherichia phage e11/2]; inner membrane protein; ndd.4 hypothetical protein; predicted inner membrane; predicted inner membrane protein; putative inner membrane protein; putative predicted product	Mapped to: POG2011
VOG2012	Bacteria	76	76	1	1	DNA endonuclease; DNA endonuclease IV; DenB; DenB DNA endonuclease IV; endonuclease IV; endonuclease IV [Enterobacteria phage RB14]; gp12; hypothetical protein; putative DNA endonuclease IV; putative endonuclease; putative predicted product	Mapped to: POG2012
VOG2013	Bacteria	6	6	2	1	hypothetical protein	Mapped to: POG2013
VOG2015	Bacteria	6	6	1	1	fiber protein; fibre protein; gp5; hypothetical protein	Mapped to: POG2015
VOG2017	Bacteria	5	5	1	1	gp7; gp8; hypothetical protein	Mapped to: POG2017
VOG2018	Bacteria	77	77	2	5	gp10; gp14; gp15; gp16; gp17; gp22; gp23; gp24; gp26; gp43; gp45; gp9; head-tail connector; head-to-tail connector; head-to-tail connector protein; hypothetical protein; minor capsid subunit	Mapped to: POG2018
VOG2020	Bacteria	27	27	1	4	gp24; gp25; gp28; gp45; gp46; gp47; gp48; hypothetical protein	Mapped to: POG2020
VOG2021	Bacteria	189	189	3	7	Minor tail protein; PfWMP4_44; gp26; gp27; gp29; gp30; gp31; gp32; gp33; gp34; gp35; gp36; gp44; gp55; gp56; hypothetical protein; minor tail protein; minor tail subunit; putative predicted product	Mapped to: POG2021
VOG2023	Bacteria	74	74	1	5	NKF protein; gp38; gp39; gp40; gp42; gp45; gp48; gp49; gp50; gp51; gp52; gp53; gp54; gp55; gp56; gp57; gp58; gp59; gp60; gp61; gp63; gp65; gp91; hypothetical protein	Mapped to: POG2023
VOG2024	Bacteria	15	15	1	3	gp21; gp23; gp40; gp41; gp42; hypothetical protein	Mapped to: POG2024
VOG2025	Bacteria	12	12	1	3	gp41; gp42; gp43; gp55; hypothetical protein	Mapped to: POG2025
VOG2026	Bacteria	9	9	1	2	gp42; gp43; gp44; gp56; hypothetical protein	Mapped to: POG2026
VOG2027	Bacteria	20	18	1	3	gp46; gp47; gp50; gp58; gp59; gp62; hypothetical protein	Complete union of: POG2027; POG3194
VOG2029	Bacteria	12	12	1	3	gp49; gp50; gp53; gp62; hypothetical protein	Mapped to: POG2029
VOG2030	Bacteria	46	46	2	5	gp19; gp23; gp25; gp26; gp27; gp56; gp57; gp59; gp68; gp69; gp71; gp74; gp83; gp85; gp91; gp96; hypothetical protein; putative predicted product	Mapped to: POG2030
VOG2032	Bacteria	8	8	1	2	gp59; gp60; gp62; gp77; hypothetical protein	Mapped to: POG2032
VOG2033	Bacteria	47	47	1	5	gp60; gp61; gp62; gp63; gp71; gp73; gp75; gp79; gp80; gp83; gp84; gp86; gp87; hypothetical protein	Mapped to: POG2033
VOG2036	Bacteria	44	44	1	4	gp62; gp64; gp65; gp68; gp69; gp73; gp75; gp76; gp78; gp79; gp80; gp86; hypothetical protein	Mapped to: POG2036
VOG2037	Bacteria	7	7	1	2	gp66; gp74; hypothetical protein	Mapped to: POG2037
VOG2038	Bacteria	53	53	1	5	DNA binding domain protein; HTH DNA binding protein; gp100; gp64; gp66; gp67; gp72; gp73; gp74; gp75; gp76; gp77; gp78; gp89; gp94; gp99; helix-turn-helix DNA binding domain protein; hypothetical protein; peptidase	Mapped to: POG2038
VOG2039	Bacteria	66	66	2	2	gp100; gp101; gp102; gp105; gp107; gp67; gp69; gp71; gp77; gp80; gp89; gp91; gp93; gp94; gp95; gp96; gp98; gp99; hypothetical protein; putative GIY-YIG nuclease; putative predicted product	Mapped to: POG2039
VOG2040	Bacteria	68	68	1	5	gp100; gp101; gp102; gp103; gp104; gp105; gp25; gp27; gp66; gp67; gp69; gp71; gp73; gp79; gp80; gp82; gp92; gp93; gp95; gp96; gp97; gp98; gp99; hypothetical protein; trigger factor	Mapped to: POG2040
VOG2041	Bacteria	11	11	1	2	gp26; gp28; gp71; gp73; gp74; gp81; hypothetical protein	Mapped to: POG2041
VOG2042	Bacteria	19	19	1	3	glycosyl transferase; glycosyltransferase; glycosyltransferase domain protein; gp15; gp16; gp34; gp36; gp72; gp74; gp76; gp80; head-to-tail connector; hypothetical protein; methyltransferase	Mapped to: POG2042
VOG2043	Bacteria	9	9	1	1	gp74; gp76; gp78; gp84; hypothetical protein	Mapped to: POG2043
VOG2044	Bacteria	57	57	2	1	gp2; gp3; gp4; hypothetical protein; minor tail protein; putative predicted product; putative tail protein; tail protein	Mapped to: POG2044
VOG2045	Bacteria	44	44	2	3	gp5; gp6; hypothetical protein	Mapped to: POG2045
VOG2049	Bacteria	88	88	1	1	DNA binding domain; DNA binding domain protein; Xis; excise; excise protein; gp30; gp31; gp32; gp33; gp34; gp35; gp36; gp37; hypothetical protein; putative excisionase	Mapped to: POG2049
VOG2051	Bacteria	73	73	1	3	gp152; gp155; gp161; gp165; gp34; gp35; gp36; gp37; gp38; gp39; gp40; gp43; gp46; hypothetical protein; putative predicted product	Complete union of: POG2051; POG2960
VOG2052	Bacteria	32	32	1	1	gp39; gp40; gp41; gp42; gp43; hypothetical protein	Mapped to: POG2052
VOG2053	Bacteria	52	52	3	2	gp56; gp57; gp58; gp59; gp60; gp62; gp63; hypothetical protein	Mapped to: POG2053
VOG2054	Bacteria	31	31	1	1	gp59; gp61; gp62; gp63; gp65; gp66; gp70; gp75; hypothetical protein; phosphoribosyl transferase; phosphoribosyltransferase; phosphosibosyl transferase; purine phosphoribosyltransferase	Mapped to: POG2054
VOG2056	Bacteria	29	29	1	1	gp71; gp72; gp73; gp74; gp75; gp76; gp78; hypothetical protein	Mapped to: POG2056
VOG2057	Bacteria	30	30	1	1	gp73; gp74; gp75; gp76; gp77; gp78; gp80; hypothetical protein	Mapped to: POG2057
VOG2059	Bacteria	42	42	1	1	gp81; gp82; gp83; gp84; gp85; gp86; gp87; gp88; hypothetical protein	Mapped to: POG2059
VOG2063	Bacteria	24	24	2	0	hypothetical protein; hypothetical protein [Escherichia phage 2 JES-2013]; putative predicted product	Mapped to: POG2063
VOG2067	Bacteria	30	30	2	2	hypothetical protein; putative predicted product; wall-associated receptor kinase-like 20-like protein	Mapped to: POG2067
VOG2069	Bacteria	20	20	3	2	hypothetical protein; hypothetical protein ORF003; hypothetical protein PSPTOT1_3768; putative predicted product	Mapped to: POG2069
VOG2070	Bacteria	52	52	3	5	-; HslV family peptidase; HslV family protein; Phi92_gp058; hypothetical protein; proteasome subunit beta; putative 20S proteasome; putative Ntn hydrolase domain proetin; putative peptidase of the HslV family; putative peptidase protein; putative predicted product; putative proteasome beta subunit	Mapped to: POG2070
VOG2072	Bacteria	29	28	1	1	hypothetical protein; hypothetical protein ORF003; putative predicted product	Mapped to: POG2072
VOG2073	Bacteria	32	32	3	3	Hypothetical protein; conserved phage protein; hypothetical protein; putative predicted product; putative tail APC protein; putative tail fiber assembly; putative tail-related protein; tail fiber assembly protein; tail fiber protein	Mapped to: POG2073
VOG2075	Bacteria	15	15	1	1	terminase small subunit	Mapped to: POG2075
VOG2078	Bacteria	27	27	1	4	gp22; gp30; hypothetical protein; putative predicted product	Mapped to: POG2078
VOG2079	Bacteria	46	46	2	4	Cytolethal distending toxin B subunit; gp23; gp31; hypothetical membrane associated protein; hypothetical protein	Mapped to: POG2079
VOG2080	Bacteria	32	32	2	6	Cor; Cor protein; cor protein; gp32; hypothetical protein; phage superinfection exclusion protein Cor; phage superinfection exclusion protein Cor like protein; putative phage superinfection exclusion protein Cor-like protein; putative superinfection exclusion protein; super-infection exclusion protein; superinfection exclusion protein	Mapped to: POG2080
VOG2083	Bacteria	12	12	2	2	hypothetical protein; putative predicted product	Mapped to: POG2083
VOG2085	Bacteria	13	13	3	1	hypothetical protein; putative bacteriophage protein; putative predicted product	Mapped to: POG2085
VOG2086	Bacteria	10	10	1	0	conserved hypothetical protein; hypothetical protein	Mapped to: POG2086
VOG2088	Bacteria	8	8	2	1	Gp45; hypothetical protein	Mapped to: POG2088
VOG2089	Bacteria	5	5	1	0	hypothetical protein	Mapped to: POG2089
VOG2090	Bacteria	6	6	1	0	Stk; hypothetical protein; protein kinase; serine/threonine kinase; serine/threonine protein kinases	Mapped to: POG2090
VOG2091	Bacteria	5	5	1	0	hypothetical protein; resolvase	Mapped to: POG2091
VOG2092	Bacteria	7	7	1	1	hypothetical protein; regulatory protein	Mapped to: POG2092
VOG2094	Bacteria	10	10	2	2	ORF30; hypothetical protein	Mapped to: POG2094
