KO	prodigal_RW1	prodigal_GIC31	prodigal_Rleg	prodigal_RW2	prodigal_DJ
K02193: ccmA; heme exporter protein A	2	2	2	2	2
K11617: liaS; two-component system, NarL family, sensor histidine kinase LiaS	15	27	27	27	27
K00752: hasA; hyaluronan synthase	1	1	1	1	1
K07824: CYP53A1; benzoate 4-monooxygenase	1	1	1	1	1
K10545: xylG; D-xylose transport system ATP-binding protein	19	19	19	19	19
K10562: rhaT; rhamnose transport system ATP-binding protein	15	15	15	15	15
K01954: K01954; carbamoyl-phosphate synthase	20	24	24	24	24
K11540: CAD; carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase	18	24	24	24	24
K11541: URA2; carbamoyl-phosphate synthase / aspartate carbamoyltransferase	20	26	26	26	26
K00133: asd; aspartate-semialdehyde dehydrogenase	12	12	12	12	12
K07643: basS; two-component system, OmpR family, sensor histidine kinase BasS	30	30	30	30	30
K08282: E2.7.11.1; non-specific serine/threonine protein kinase	33	243	237	243	243
K00857: tdk, TK; thymidine kinase	2	2	2	2	0
K00975: glgC; glucose-1-phosphate adenylyltransferase	2	2	2	2	2
K10041: peb1C, glnQ; aspartate/glutamate/glutamine transport system ATP-binding protein	4	5	5	5	5
K00743: GGTA1; N-acetyllactosaminide 3-alpha-galactosyltransferase	1	1	1	1	1
K01687: ilvD; dihydroxy-acid dehydratase	3	0	3	0	3
K13034: ATCYSC1; L-3-cyanoalanine synthase/ cysteine synthase	4	4	4	4	4
K00917: lacC; tagatose 6-phosphate kinase	2	2	2	2	2
K10771: APEX1; AP endonuclease 1	6	3	6	3	6
K01997: livH; branched-chain amino acid transport system permease protein	3	3	3	3	3
K00772: mtaP, MTAP; 5'-methylthioadenosine phosphorylase	2	2	2	2	2
K10539: araG; L-arabinose transport system ATP-binding protein	21	21	21	21	21
K02045: cysA; sulfate/thiosulfate transport system ATP-binding protein	2	2	2	2	2
K01617: dmpH, xylI, nahK; 2-oxo-3-hexenedioate decarboxylase	1	0	1	0	1
K01956: carA, CPA1; carbamoyl-phosphate synthase small subunit	12	14	14	14	14
K12583: mgtA; phosphatidylinositol alpha 1,6-mannosyltransferase	6	6	6	6	6
K01758: CTH; cystathionine gamma-lyase	12	12	12	12	12
K04110: badA; benzoate-CoA ligase	2	2	2	2	2
K00065: kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	2	2	2	2	2
K05351: E1.1.1.9; D-xylulose reductase	2	2	2	2	2
K14335: pimC; alpha-1,6-mannosyltransferase	6	6	6	6	6
K00943: tmk, DTYMK; dTMP kinase	1	1	1	1	1
K03814: mtgA; monofunctional glycosyltransferase	6	6	6	6	6
K13532: kinD; two-component system, sporulation sensor kinase D	9	9	9	9	9
K00141: xylC; benzaldehyde dehydrogenase (NAD)	12	12	12	12	12
K03185: ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase	2	2	2	2	2
K07650: cssS; two-component system, OmpR family, sensor histidine kinase CssS	12	12	12	12	12
K01586: lysA; diaminopimelate decarboxylase	2	6	6	6	6
K13001: wbyK; mannosyltransferase	6	6	6	6	6
K00139: ALDH5A1; succinate-semialdehyde dehydrogenase	2	2	2	2	2
K08289: purT; phosphoribosylglycinamide formyltransferase 2	1	1	1	1	1
K01969: E6.4.1.4B; 3-methylcrotonyl-CoA carboxylase beta subunit	2	1	2	1	2
K00266: gltD; glutamate synthase (NADPH) small chain	6	6	6	6	6
K00264: GLT1; glutamate synthase (NADH)	3	12	12	12	12
K00720: UGCG; ceramide glucosyltransferase	1	1	1	1	1
K01048: pldB; lysophospholipase	2	2	2	2	4
K07648: arcB; two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB	12	12	12	12	12
K00832: tyrB; aromatic-amino-acid transaminase	3	3	3	3	3
K12987: migA; alpha-1,6-rhamnosyltransferase	6	6	6	6	6
K01998: livM; branched-chain amino acid transport system permease protein	3	3	3	3	3
K00761: upp, UPRT; uracil phosphoribosyltransferase	1	1	1	1	1
K08746: SLC27A2, FACVL1, FATP2; solute carrier family 27 (fatty acid transporter), member 2	2	2	2	2	2
K10797: enr; 2-enoate reductase	2	2	2	2	2
K08479: sasA; two-component system, OmpR family, clock-associated histidine kinase SasA	21	21	21	21	21
K12988: wapR; alpha-1,3-rhamnosyltransferase	6	6	6	6	6
K03386: PRDX2_4, ahpC; peroxiredoxin 2/4	10	12	12	12	10
K00948: PRPS, prsA; ribose-phosphate pyrophosphokinase	1	1	1	1	1
K01468: hutI, AMDHD1; imidazolonepropionase	2	2	2	2	2
K12994: wbdB, mtfB; O-antigen biosynthesis alpha-1,3-mannosyltransferase	6	6	6	6	6
K09972: aapP, bztD; general L-amino acid transport system ATP-binding protein	3	3	3	3	3
K03852: xsc; sulfoacetaldehyde acetyltransferase	2	2	2	2	2
K00658: DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	1	1	1	1	1
K11231: SLN1; osomolarity two-component system, sensor histidine kinase SLN1	12	12	12	12	12
K00762: pyrE; orotate phosphoribosyltransferase	3	4	5	4	3
K03857: PIGA, GPI3; phosphatidylinositol N-acetylglucosaminyltransferase subunit A	1	1	1	1	1
K10000: artP; arginine transport system ATP-binding protein	1	1	1	1	1
K00143: LYS2; L-2-aminoadipate reductase	6	6	6	6	6
K08098: PIGZ, SMP3; GPI mannosyltransferase 4	6	6	6	6	6
K05821: ARO9; aromatic amino acid aminotransferase II	5	5	5	5	5
K00320: mer; 5,10-methylenetetrahydromethanopterin reductase	2	2	2	2	2
K14287: ybdL; methionine transaminase	15	15	15	15	15
K00816: CCBL; kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase	28	28	28	28	28
K14264: BNA3; kynurenine aminotransferase	6	6	6	6	6
K00818: E2.6.1.11, argD; acetylornithine aminotransferase	7	10	10	10	10
K13953: adhP; alcohol dehydrogenase, propanol-preferring	50	80	80	80	80
K03669: mdoH; membrane glycosyltransferase	6	6	6	6	6
K11528: glmU; UDP-N-acetylglucosamine pyrophosphorylase	6	6	6	6	6
K01006: ppdK; pyruvate, orthophosphate dikinase	7	7	7	7	7
K11640: natK; two-component system, LytTR family, sensor histidine kinase NatK	12	12	12	12	12
K02034: ABC.PE.P1; peptide/nickel transport system permease protein	4	4	4	4	4
K08679: GAE, cap1J; UDP-glucuronate 4-epimerase	3	3	3	3	3
K03953: NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9	2	2	2	2	2
K13693: gpgS; glucosyl-3-phosphoglycerate synthase	6	6	6	6	6
K11161: RDH13; retinol dehydrogenase 13	5	5	5	5	5
K01761: E4.4.1.11; methionine-gamma-lyase	2	2	2	2	2
K11381: bkdA; 2-oxoisovalerate dehydrogenase E1 component	2	5	5	5	5
K02364: entF; enterobactin synthetase component F	2	2	2	2	2
K04783: irp5, ybtE; yersiniabactin salicyl-AMP ligase	1	2	2	2	2
K01940: argG, ASS1; argininosuccinate synthase	2	4	4	4	4
K03416: E2.1.3.1-5S; methylmalonyl-CoA carboxyltransferase 5S subunit	2	2	2	2	2
K00137: prr; aminobutyraldehyde dehydrogenase	2	2	2	2	2
K00149: ALDH9A1; aldehyde dehydrogenase family 9 member A1	24	24	24	24	24
K00053: ilvC; ketol-acid reductoisomerase	1	0	1	0	1
K03783: punA, PNP; purine-nucleoside phosphorylase	2	2	2	2	2
K06969: rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase	2	4	4	4	4
K00710: GALNT; polypeptide N-acetylgalactosaminyltransferase	3	3	3	3	3
K03021: RPC2, POLR3B; DNA-directed RNA polymerase III subunit RPC2	2	10	10	10	10
K00626: ACAT, atoB; acetyl-CoA C-acetyltransferase	2	6	6	6	6
K08884: K08884; serine/threonine protein kinase, bacterial	12	72	72	72	75
K11203: fryC, frvB; fructose-like PTS system EIIC or EIIBC or EIIABC component	8	13	8	13	13
K11169: DHRS13; dehydrogenase/reductase SDR family member 13	1	1	1	1	1
K08319: ltnD; L-threonate 2-dehydrogenase	2	2	2	2	2
K06379: spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	33	33	33	33	33
K00122: FDH; formate dehydrogenase	1	1	5	3	5
K05364: pbpA; penicillin-binding protein A	2	2	2	2	2
K01593: DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase	3	3	3	3	3
K12373: HEXA_B; hexosaminidase	2	2	4	2	2
K00641: metX; homoserine O-acetyltransferase/O-succinyltransferase	1	1	1	1	1
K00061: RDH5; 11-cis-retinol dehydrogenase	5	5	5	5	5
K01733: thrC; threonine synthase	1	1	1	1	1
K00140: mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	1	1	1	1	1
K12998: rgpE; glucosyltransferase	6	6	6	6	6
K03564: BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin	4	4	4	4	4
K10211: crtQ; 4,4'-diaponeurosporenoate glycosyltransferase	6	6	6	6	6
K01776: murI; glutamate racemase	3	3	3	3	3
K00175: korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	4	0	4	0	4
K12251: aguB; N-carbamoylputrescine amidase	1	0	1	0	1
K01438: argE; acetylornithine deacetylase	2	4	6	4	4
K12659: ARG56; N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase	5	5	5	5	5
K00619: argA; amino-acid N-acetyltransferase	1	3	4	3	6
K01912: paaK; phenylacetate-CoA ligase	1	1	1	1	1
K00760: hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase	1	2	2	2	2
K09814: hrtA; hemin transport system ATP-binding protein	1	1	1	1	1
K00004: BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	14	14	14	14	14
K03366: butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase	6	6	6	6	6
K00303: soxB; sarcosine oxidase, subunit beta	2	3	3	3	3
K02474: wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase	5	5	5	5	5
K11147: DHRS4; dehydrogenase/reductase SDR family member 4	1	1	1	1	1
K11538: ACAD8; isobutyryl-CoA dehydrogenase	1	1	1	1	1
K03273: gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase	1	1	1	1	1
K01485: codA; cytosine/creatinine deaminase	3	6	12	6	12
K06119: SQD2; sulfoquinovosyltransferase	6	6	6	6	6
K00394: aprA; adenylylsulfate reductase, subunit A	8	8	8	8	8
K03379: chnB; cyclohexanone monooxygenase	1	3	3	3	3
K03215: rumA; 23S rRNA (uracil1939-C5)-methyltransferase	2	2	2	2	2
K11166: DHRS7B; dehydrogenase/reductase SDR family member 7B	1	1	1	1	1
K06001: trpB; tryptophan synthase beta chain	12	12	12	12	12
K01696: trpB; tryptophan synthase beta chain	12	16	16	16	16
K01695: trpA; tryptophan synthase alpha chain	9	9	9	9	9
K01817: trpF; phosphoribosylanthranilate isomerase	3	5	5	5	5
K01694: TRP; tryptophan synthase	9	9	9	9	9
K04517: tyrA2; prephenate dehydrogenase	4	20	34	20	30
K02840: waaB, rfaB; UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase	6	6	6	6	6
K00674: dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	6	9	6	9	6
K05822: dapH, dapD; tetrahydrodipicolinate N-acetyltransferase	1	2	1	2	1
K00811: ASP5; aspartate aminotransferase, chloroplastic	9	9	9	9	9
K05711: hcaB; 2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase	2	2	2	2	2
K01653: E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	2	2	2	2	2
K03725: K03725; archaea-specific helicase	1	1	1	1	1
K09478: ACADSB; short-chain 2-methylacyl-CoA dehydrogenase	1	1	1	1	1
K08687: E3.5.1.59; N-carbamoylsarcosine amidase	1	2	2	2	2
K00066: algD; GDP-mannose 6-dehydrogenase	2	2	2	2	2
K00023: phbB; acetoacetyl-CoA reductase	2	2	2	2	2
K01465: URA4, pyrC; dihydroorotase	1	1	1	1	1
K10534: NR; nitrate reductase (NAD(P)H)	1	0	1	0	1
K11065: tpx; thioredoxin-dependent peroxiredoxin	4	4	4	4	4
K03842: ALG1; beta-1,4-mannosyltransferase	2	2	2	2	2
K11358: yhdR; aspartate aminotransferase	7	7	7	7	7
K02079: agaA; N-acetylgalactosamine-6-phosphate deacetylase	2	2	2	2	2
K01443: nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase	2	2	2	2	2
K00052: leuB, IMDH; 3-isopropylmalate dehydrogenase	1	1	1	1	1
K03184: ubiF; 3-demethoxyubiquinol 3-hydroxylase	2	4	4	4	4
K03867: BGLUT; UDP-glucose:tetrahydrobiopterin glucosyltransferase	6	6	6	6	6
K00226: pyrD; dihydroorotate dehydrogenase (fumarate)	1	2	7	5	7
K00022: HADH; 3-hydroxyacyl-CoA dehydrogenase	18	72	72	72	72
K08683: HSD17B10; 3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase	8	8	8	8	8
K10764: metZ; O-succinylhomoserine sulfhydrylase	3	3	3	3	3
K13657: gumH, aceA; alpha-1,3-mannosyltransferase	7	7	7	7	7
K00274: MAO, aofH; monoamine oxidase	5	5	5	5	5
K01629: rhaD; rhamnulose-1-phosphate aldolase	1	2	3	2	2
K02493: hemK, prmC, HEMK; release factor glutamine methyltransferase	2	2	2	2	2
K04787: mbtA; mycobactin salicyl-AMP ligase	1	1	1	1	1
K13421: UMPS; uridine monophosphate synthetase	2	4	5	4	3
K01591: pyrF; orotidine-5'-phosphate decarboxylase	1	4	5	4	4
K13185: DHX30; ATP-dependent RNA helicase DHX30	8	12	12	12	12
K14442: DHX36, RHAU; ATP-dependent RNA helicase DHX36	4	6	6	6	6
K13184: DHX9; ATP-dependent RNA helicase A	4	6	6	6	6
K12525: metL; bifunctional aspartokinase / homoserine dehydrogenase 2	42	42	42	42	42
K00003: hom; homoserine dehydrogenase	54	54	54	54	54
K11809: PGM2L1; glucose-1,6-bisphosphate synthase	1	1	1	1	1
K08256: pimA; phosphatidyl-myo-inositol alpha-mannosyltransferase	1	1	1	1	1
K11076: potG; putrescine transport system ATP-binding protein	2	2	2	2	2
K12555: pbp2A; penicillin-binding protein 2A	2	2	2	2	2
K11162: RDH14; retinol dehydrogenase 14	5	5	5	5	5
K11153: RDH12; retinol dehydrogenase 12	5	5	5	5	5
K01488: add, ADA; adenosine deaminase	1	0	1	0	1
K00789: metK; S-adenosylmethionine synthetase	4	4	4	4	4
K05715: 2PGK; 2-phosphoglycerate kinase	4	4	4	4	4
K00856: E2.7.1.20, ADK; adenosine kinase	1	1	1	1	1
K00147: proA; glutamate-5-semialdehyde dehydrogenase	1	1	1	1	1
K01753: dsdA; D-serine dehydratase	1	1	1	1	1
K13039: comE; sulfopyruvate decarboxylase subunit beta	2	0	2	0	2
K00121: frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	22	66	66	66	66
K05533: ANP1; mannan polymerase II complex ANP1 subunit	6	6	6	6	6
K01487: E3.5.4.3, guaD; guanine deaminase	2	2	8	2	8
K11808: ADE2; phosphoribosylaminoimidazole carboxylase	1	1	1	1	1
K08801: PASK; PAS domain containing serine/threonine kinase	6	12	12	12	12
K13566: NIT2, yafV; omega-amidase	1	0	1	0	1
K01769: E4.6.1.2; guanylate cyclase, other	1	7	19	7	19
K13500: fcbD; chondroitin synthase	1	1	1	1	1
K00033: PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	2	2	2	2	2
K06447: astD; succinylglutamic semialdehyde dehydrogenase	1	1	1	1	1
K12767: RIM15; serine/threonine-protein kinase RIM15	3	9	9	9	9
K01431: UPB1, pydC; beta-ureidopropionase	1	1	1	1	1
K12267: msrAB; peptide methionine sulfoxide reductase msrA/msrB	4	32	32	32	32
K02036: pstB; phosphate transport system ATP-binding protein	1	1	1	1	1
K00824: dat; D-alanine transaminase	3	3	3	3	3
K10439: rbsB; ribose transport system substrate-binding protein	1	1	1	1	1
K15036: K15036; acetyl-CoA/propionyl-CoA carboxylase	2	2	2	2	2
K08324: sad; succinate-semialdehyde dehydrogenase	4	4	4	4	4
K07547: bbsC; 2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsC subunit	7	7	7	7	7
K00609: pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit	2	8	8	8	8
K01779: racD; aspartate racemase	2	2	2	2	2
K01486: ade; adenine deaminase	2	2	2	2	2
K08678: UXS1, uxs; UDP-glucuronate decarboxylase	2	2	2	2	2
K09655: B4GALNT2; beta-1,4-N-acetylgalactosaminyltransferase 2	6	6	6	6	6
K11167: DHRS7C; dehydrogenase/reductase SDR family member 7C	1	1	1	1	1
K01555: FAH, fahA; fumarylacetoacetase	2	2	2	2	2
K00951: relA; GTP pyrophosphokinase	1	4	4	4	5
K01663: HIS7; imidazole glycerol-phosphate synthase	2	30	30	30	30
K13015: wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase	5	5	5	5	5
K04487: iscS, NFS1; cysteine desulfurase	2	2	2	2	2
K01615: gcdA; glutaconyl-CoA decarboxylase subunit alpha	1	1	1	1	1
K01428: ureC; urease subunit alpha	2	2	2	2	2
K01427: URE; urease	2	2	6	2	6
K14261: alaC; alanine-synthesizing transaminase	3	3	3	3	3
K03274: gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase	1	1	1	1	1
K00060: tdh; threonine 3-dehydrogenase	1	1	1	1	1
K08691: mcl; malyl-CoA/(S)-citramalyl-CoA lyase	2	0	2	0	2
K00285: dadA; D-amino-acid dehydrogenase	1	1	1	1	1
K00043: gbd; 4-hydroxybutyrate dehydrogenase	1	1	1	1	1
K01251: E3.3.1.1, ahcY; adenosylhomocysteinase	2	2	2	2	2
K00363: nirD; nitrite reductase (NADH) small subunit	1	1	3	2	3
K00945: cmk; CMP/dCMP kinase	1	5	5	5	6
K06074: btuD; vitamin B12 transport system ATP-binding protein	1	1	1	1	1
K01259: pip; proline iminopeptidase	1	2	2	2	2
K03331: DCXR; L-xylulose reductase	1	1	1	1	1
K01210: E3.2.1.58; glucan 1,3-beta-glucosidase	2	2	4	2	4
K00978: rfbF; glucose-1-phosphate cytidylyltransferase	2	2	2	2	2
K02204: thrB2; homoserine kinase type II	1	1	1	1	1
K12253: aruI; 5-guanidino-2-oxopentanoate decarboxylase	1	0	1	0	1
K01759: GLO1, gloA; lactoylglutathione lyase	1	3	3	3	2
K02057: ABC.SS.P; simple sugar transport system permease protein	1	1	1	1	1
K00306: PIPOX; sarcosine oxidase / L-pipecolate oxidase	1	2	2	2	2
K11410: acdH; short-chain 2-methylacyl-CoA dehydrogenase	1	1	1	1	1
K00107: ALO; D-arabinono-1,4-lactone oxidase	1	1	1	1	1
K02342: dnaQ; DNA polymerase III subunit epsilon	2	10	10	10	10
K01996: livF; branched-chain amino acid transport system ATP-binding protein	2	2	2	2	2
K13677: dgs, bgsA; 1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase	1	1	1	1	1
K09472: puuC, aldH; 4-(gamma-glutamylamino)butanal dehydrogenase	5	5	5	5	5
K09758: asdA; aspartate 4-decarboxylase	2	2	2	2	2
K03212: rumB; 23S rRNA (uracil747-C5)-methyltransferase	2	2	2	2	2
K00145: argC; N-acetyl-gamma-glutamyl-phosphate reductase	18	18	18	18	18
K14434: GALT-1; alpha 1,6-fucoside beta 1,4-galactosyltransferase	7	0	7	0	0
K11230: SSK2; mitogen-activated protein kinase kinase kinase	1	2	2	2	2
K00677: lpxA; UDP-N-acetylglucosamine acyltransferase	3	3	9	3	9
K01448: amiABC; N-acetylmuramoyl-L-alanine amidase	1	10	9	10	9
K05365: mrcB; penicillin-binding protein 1B	2	2	2	2	2
K00794: ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase	2	2	2	2	2
K05853: ATP2A; P-type Ca2+ transporter type 2A	3	3	3	3	3
K00486: KMO; kynurenine 3-monooxygenase	1	1	1	1	1
K04478: sgtB; monofunctional glycosyltransferase	6	6	6	6	6
K01587: PAICS; phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase	2	3	3	3	3
K02825: pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase	1	1	1	1	1
K00972: UAP1; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase	3	3	3	3	3
K12235: SRR; serine racemase	1	1	1	1	1
K02030: ABC.PA.S; polar amino acid transport system substrate-binding protein	1	3	3	3	3
K05850: ATP2B; P-type Ca2+ transporter type 2B	2	2	2	2	2
K01923: purC; phosphoribosylaminoimidazole-succinocarboxamide synthase	2	5	5	5	5
K10251: HSD17B12, KAR, IFA38; 17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase	5	5	5	5	5
K00176: korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta	2	2	26	6	26
K12252: aruH; arginine:pyruvate transaminase	2	2	2	2	2
K00815: TAT; tyrosine aminotransferase	12	12	12	12	12
K14259: kdaD, xacE, kdxD; 2-dehydro-3-deoxy-D-arabinonate dehydratase	2	2	2	2	0
K12405: HSD17B4; (3R)-3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase / enoyl-CoA hydratase 2	7	7	7	7	7
K00618: ARG2; amino-acid N-acetyltransferase	1	1	1	1	1
K03444: ERD6, ESL1; MFS transporter, SP family, ERD6-like sugar transporter	1	1	1	1	1
K05825: LYSN; 2-aminoadipate transaminase	3	3	3	3	3
K00838: ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase	9	9	9	9	9
K00120: fgd2; F420-dependent hydroxymycolic acid dehydrogenase	2	3	3	3	3
K11163: DHRS1; dehydrogenase/reductase SDR family member 1	1	1	1	1	1
K01046: lip, TGL2; triacylglycerol lipase	1	1	1	1	1
K00640: cysE; serine O-acetyltransferase	13	26	26	26	26
K01945: purD; phosphoribosylamine---glycine ligase	2	5	5	5	5
K00979: kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)	2	2	2	2	2
K01755: argH, ASL; argininosuccinate lyase	2	2	2	2	4
K10710: frlD; fructoselysine 6-kinase	2	2	2	2	2
K05841: E2.4.1.173; sterol 3beta-glucosyltransferase	1	1	1	1	1
K02343: dnaX; DNA polymerase III subunit gamma/tau	8	8	8	8	8
K06034: comD; sulfopyruvate decarboxylase subunit alpha	2	0	2	0	2
K15038: K15038; succinyl-CoA reductase	1	1	1	1	1
K00759: APRT, apt; adenine phosphoribosyltransferase	1	1	1	1	1
K11188: PRDX6; peroxiredoxin 6	5	15	15	15	15
K00430: E1.11.1.7; peroxidase	3	9	9	9	9
K12813: DHX16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	1	3	6	3	6
K12551: sgtA; monofunctional glycosyltransferase	6	6	6	6	6
K00036: G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	3	3	6	3	6
K07538: had; 6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase	5	5	5	5	5
K01493: comEB; dCMP deaminase	1	1	1	1	1
K00026: MDH2; malate dehydrogenase	2	2	2	2	0
K00025: MDH1; malate dehydrogenase	2	2	2	2	0
K01921: ddl; D-alanine-D-alanine ligase	1	1	1	1	1
K01139: spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	1	3	3	3	3
K10440: rbsC; ribose transport system permease protein	1	1	1	1	1
K11995: DNASE1L; deoxyribonuclease-1-like protein	1	0	1	0	0
K01689: ENO, eno; enolase	9	9	9	9	9
K13713: purCD; fusion protein PurCD	2	3	3	3	3
K00164: OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	2	6	6	6	6
K02340: holA; DNA polymerase III subunit delta	6	6	6	6	6
K03777: dld; D-lactate dehydrogenase (quinone)	3	3	3	3	3
K11165: DHRS7; dehydrogenase/reductase SDR family member 7	1	1	1	1	1
K08322: rspB; L-gulonate 5-dehydrogenase	6	6	6	6	6
K13356: FAR; alcohol-forming fatty acyl-CoA reductase	4	4	4	4	4
K13761: PDE9; high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9	1	1	1	1	1
K00764: purF, PPAT; amidophosphoribosyltransferase	2	2	2	2	2
K12420: actIII, oxyJ, snoaD, aknA; ketoreductase	5	5	5	5	5
K00174: korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	2	2	2	2	4
K11151: RDH10; retinol dehydrogenase 10	5	5	5	5	5
K00800: aroA; 3-phosphoshikimate 1-carboxyvinyltransferase	2	14	18	14	18
K11539: CBR4; carbonyl reductase 4 / 3-oxoacyl-[acyl-carrier protein] reductase beta subunit	5	5	5	5	5
K11149: DHRS9; dehydrogenase/reductase SDR family member 9	1	1	1	1	1
K10536: aguA; agmatine deiminase	1	0	1	0	1
K11164: DHRS2; dehydrogenase/reductase SDR family member 2	1	1	1	1	1
K11185: TRYP; cytosolic tryparedoxin peroxidase, trypanosomatid typical 2-Cys peroxiredoxin	2	2	2	2	2
K13279: PRDX1; peroxiredoxin 1	2	2	2	2	2
K11186: MTRYP; mitochondrial tryparedoxin peroxidase, trypanosomatid typical 2-Cys peroxiredoxin	2	2	2	2	2
K08318: yihU; 4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase	1	1	1	1	1
K12556: pbp2X; penicillin-binding protein 2X	1	1	1	1	1
K08082: algZ; two-component system, LytTR family, sensor histidine kinase AlgZ	3	3	3	3	3
K10004: gltL, aatP; glutamate/aspartate transport system ATP-binding protein	1	1	1	1	1
K00014: aroE; shikimate dehydrogenase	2	16	16	16	16
K00286: proC; pyrroline-5-carboxylate reductase	1	1	1	1	1
K01464: DPYS, dht, hydA; dihydropyrimidinase	1	1	1	1	1
K01637: E4.1.3.1, aceA; isocitrate lyase	1	1	1	1	1
K11146: DHRS3; short-chain dehydrogenase/reductase 3	1	1	1	1	1
K13236: DECR1; 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial	1	1	1	1	1
K01834: PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	0	60	60	60	60
K00134: GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	0	16	16	16	16
K00162: PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	0	4	4	4	4
K02791: malX; maltose/glucose PTS system EIICB component	0	21	0	21	0
K11192: murP; N-acetylmuramic acid PTS system EIICB component	0	12	0	12	0
K00314: SARDH; sarcosine dehydrogenase	0	2	2	2	2
K00265: gltB; glutamate synthase (NADPH) large chain	0	8	8	8	8
K01223: E3.2.1.86B, bglA; 6-phospho-beta-glucosidase	0	1	1	1	0
K03574: mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase	0	4	4	4	4
K00261: GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	0	7	0	7	7
K12047: MGAM; maltase-glucoamylase	0	5	0	5	0
K01270: pepD; dipeptidase D	0	2	1	2	1
K01200: pulA; pullulanase	0	3	3	3	3
K01439: dapE; succinyl-diaminopimelate desuccinylase	0	2	4	2	2
K00669: AANAT; arylalkylamine N-acetyltransferase	0	1	1	1	1
K01658: trpG; anthranilate synthase component II	0	224	224	224	224
K01187: malZ; alpha-glucosidase	0	8	4	8	4
K01692: paaF, echA; enoyl-CoA hydratase	0	120	120	120	120
K01179: E3.2.1.4; endoglucanase	0	4	6	4	6
