KO	prodigal_RW1	prodigal_GIC31	prodigal_Rleg	prodigal_RW2	prodigal_DJ
K14265: Tam1; tryptophan aminotransferase	2	2	2	2	2
K11952: cmpC; bicarbonate transport system ATP-binding protein	2	2	2	2	2
K00891: aroK, aroL; shikimate kinase	1	9	9	9	9
K01904: 4CL; 4-coumarate--CoA ligase	2	2	2	2	2
K03429: ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase	2	2	2	2	2
K00131: gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)	8	8	8	8	8
K01120: cpdP; 3',5'-cyclic-nucleotide phosphodiesterase	1	1	3	1	3
K01501: E3.5.5.1; nitrilase	15	5	15	0	15
K02377: TSTA3, fcl; GDP-L-fucose synthase	3	3	3	3	3
K02224: cobB-cbiA; cobyrinic acid a,c-diamide synthase	2	2	2	2	2
K00963: UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase	10	10	10	10	10
K00273: DAO, aao; D-amino-acid oxidase	5	10	5	10	10
K11170: DHRSX; dehydrogenase/reductase SDR family member X	1	1	1	1	1
K00620: argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase	4	5	5	5	5
K11200: mngA, hrsA; 2-O-A-mannosyl-D-glycerate PTS system EIIABC component	14	20	14	20	20
K00729: ALG5; dolichyl-phosphate beta-glucosyltransferase	2	2	2	2	2
K00821: argD; acetylornithine/N-succinyldiaminopimelate aminotransferase	18	21	21	21	21
K10907: K10907; aminotransferase	14	15	15	15	15
K14267: dapC; N-succinyldiaminopimelate aminotransferase	18	18	18	18	18
K02193: ccmA; heme exporter protein A	4	4	4	4	4
K11617: liaS; two-component system, NarL family, sensor histidine kinase LiaS	15	27	27	27	27
K00752: hasA; hyaluronan synthase	1	1	1	1	1
K07824: CYP53A1; benzoate 4-monooxygenase	3	3	3	3	3
K10545: xylG; D-xylose transport system ATP-binding protein	38	38	38	38	38
K10562: rhaT; rhamnose transport system ATP-binding protein	30	30	30	30	30
K10820: ytfR; galactofuranose transport system ATP-binding protein	22	22	22	22	22
K01954: K01954; carbamoyl-phosphate synthase	20	24	24	24	24
K11540: CAD; carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase	27	36	36	36	36
K11541: URA2; carbamoyl-phosphate synthase / aspartate carbamoyltransferase	20	26	26	26	26
K00133: asd; aspartate-semialdehyde dehydrogenase	8	8	8	8	8
K07643: basS; two-component system, OmpR family, sensor histidine kinase BasS	40	40	40	40	40
K08282: E2.7.11.1; non-specific serine/threonine protein kinase	11	81	79	81	81
K00857: tdk, TK; thymidine kinase	2	2	2	2	0
K00975: glgC; glucose-1-phosphate adenylyltransferase	3	3	3	3	3
K10041: peb1C, glnQ; aspartate/glutamate/glutamine transport system ATP-binding protein	8	10	10	10	10
K00743: GGTA1; N-acetyllactosaminide 3-alpha-galactosyltransferase	2	2	2	2	2
K01687: ilvD; dihydroxy-acid dehydratase	2	0	2	0	2
K13034: ATCYSC1; L-3-cyanoalanine synthase/ cysteine synthase	6	6	6	6	6
K00917: lacC; tagatose 6-phosphate kinase	1	1	1	1	1
K01142: E3.1.11.2, xthA; exodeoxyribonuclease III	2	0	2	0	2
K10771: APEX1; AP endonuclease 1	4	2	4	2	4
K01997: livH; branched-chain amino acid transport system permease protein	9	9	9	9	9
K00772: mtaP, MTAP; 5'-methylthioadenosine phosphorylase	1	1	1	1	1
K10539: araG; L-arabinose transport system ATP-binding protein	42	42	42	42	42
K02045: cysA; sulfate/thiosulfate transport system ATP-binding protein	6	6	6	6	6
K01617: dmpH, xylI, nahK; 2-oxo-3-hexenedioate decarboxylase	3	0	3	0	3
K01956: carA, CPA1; carbamoyl-phosphate synthase small subunit	12	14	14	14	14
K12583: mgtA; phosphatidylinositol alpha 1,6-mannosyltransferase	1	1	1	1	1
K01758: CTH; cystathionine gamma-lyase	16	16	16	16	16
K04110: badA; benzoate-CoA ligase	4	4	4	4	4
K00065: kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	2	2	2	2	2
K05351: E1.1.1.9; D-xylulose reductase	2	2	2	2	2
K14335: pimC; alpha-1,6-mannosyltransferase	2	2	2	2	2
K04720: cobD; threonine-phosphate decarboxylase	2	2	2	2	2
K00943: tmk, DTYMK; dTMP kinase	1	1	1	1	1
K03814: mtgA; monofunctional glycosyltransferase	3	3	3	3	3
K13532: kinD; two-component system, sporulation sensor kinase D	9	9	9	9	9
K00141: xylC; benzaldehyde dehydrogenase (NAD)	6	6	6	6	6
K03185: ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase	1	1	1	1	1
K07650: cssS; two-component system, OmpR family, sensor histidine kinase CssS	12	12	12	12	12
K01586: lysA; diaminopimelate decarboxylase	1	3	3	3	3
K01909: mbtM; long-chain-fatty-acid--[acyl-carrier-protein] ligase	1	1	1	1	1
K05939: aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase	2	2	2	2	2
K13001: wbyK; mannosyltransferase	1	1	1	1	1
K00139: ALDH5A1; succinate-semialdehyde dehydrogenase	4	4	4	4	4
K08289: purT; phosphoribosylglycinamide formyltransferase 2	1	1	1	1	1
K01969: E6.4.1.4B; 3-methylcrotonyl-CoA carboxylase beta subunit	2	1	2	1	2
K00266: gltD; glutamate synthase (NADPH) small chain	4	4	4	4	4
K00264: GLT1; glutamate synthase (NADH)	2	8	8	8	8
K08264: hdrD; heterodisulfide reductase subunit D	1	1	2	1	3
K00720: UGCG; ceramide glucosyltransferase	2	2	2	2	2
K01048: pldB; lysophospholipase	1	1	1	1	2
K07648: arcB; two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB	16	16	16	16	16
K11731: atuD; citronellyl-CoA dehydrogenase	1	1	1	1	1
K00832: tyrB; aromatic-amino-acid transaminase	8	8	8	8	8
K12987: migA; alpha-1,6-rhamnosyltransferase	1	1	1	1	1
K01998: livM; branched-chain amino acid transport system permease protein	9	9	9	9	9
K00761: upp, UPRT; uracil phosphoribosyltransferase	1	1	1	1	1
K08746: SLC27A2, FACVL1, FATP2; solute carrier family 27 (fatty acid transporter), member 2	5	5	5	5	5
K10797: enr; 2-enoate reductase	2	2	2	2	2
K08479: sasA; two-component system, OmpR family, clock-associated histidine kinase SasA	21	21	21	21	21
K12988: wapR; alpha-1,3-rhamnosyltransferase	1	1	1	1	1
K03386: PRDX2_4, ahpC; peroxiredoxin 2/4	10	12	12	12	10
K06873: K06873; uncharacterized protein	2	2	2	2	2
K00948: PRPS, prsA; ribose-phosphate pyrophosphokinase	2	2	2	2	2
K01468: hutI, AMDHD1; imidazolonepropionase	1	1	1	1	1
K12994: wbdB, mtfB; O-antigen biosynthesis alpha-1,3-mannosyltransferase	1	1	1	1	1
K09972: aapP, bztD; general L-amino acid transport system ATP-binding protein	6	6	6	6	6
K03852: xsc; sulfoacetaldehyde acetyltransferase	1	1	1	1	1
K00658: DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	3	3	3	3	3
K11231: SLN1; osomolarity two-component system, sensor histidine kinase SLN1	20	20	20	20	20
K00762: pyrE; orotate phosphoribosyltransferase	3	4	5	4	3
K03857: PIGA, GPI3; phosphatidylinositol N-acetylglucosaminyltransferase subunit A	2	2	2	2	2
K14467: 4hbl; 4-hydroxybutyrate---CoA ligase (AMP-forming)	1	1	1	1	1
K10000: artP; arginine transport system ATP-binding protein	2	2	2	2	2
K00143: LYS2; L-2-aminoadipate reductase	1	1	1	1	1
K08098: PIGZ, SMP3; GPI mannosyltransferase 4	2	2	2	2	2
K05821: ARO9; aromatic amino acid aminotransferase II	5	5	5	5	5
K08295: abmG; 2-aminobenzoate-CoA ligase	1	1	1	1	1
K00320: mer; 5,10-methylenetetrahydromethanopterin reductase	1	1	1	1	1
K04105: hbaA; 4-hydroxybenzoate-CoA ligase	2	2	2	2	2
K14287: ybdL; methionine transaminase	5	5	5	5	5
K00816: CCBL; kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase	28	28	28	28	28
K14264: BNA3; kynurenine aminotransferase	12	12	12	12	12
K00818: E2.6.1.11, argD; acetylornithine aminotransferase	14	20	20	20	20
K13953: adhP; alcohol dehydrogenase, propanol-preferring	45	72	72	72	72
K03669: mdoH; membrane glycosyltransferase	1	1	1	1	1
K11528: glmU; UDP-N-acetylglucosamine pyrophosphorylase	6	6	6	6	6
K00507: SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase)	10	0	5	0	5
K01006: ppdK; pyruvate, orthophosphate dikinase	4	4	4	4	4
K11640: natK; two-component system, LytTR family, sensor histidine kinase NatK	12	12	12	12	12
K02034: ABC.PE.P1; peptide/nickel transport system permease protein	8	8	8	8	8
K08679: GAE, cap1J; UDP-glucuronate 4-epimerase	3	3	3	3	3
K03953: NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9	22	22	22	22	22
K13693: gpgS; glucosyl-3-phosphoglycerate synthase	1	1	1	1	1
K11161: RDH13; retinol dehydrogenase 13	1	1	1	1	1
K01761: E4.4.1.11; methionine-gamma-lyase	2	2	2	2	2
K11381: bkdA; 2-oxoisovalerate dehydrogenase E1 component	4	10	10	10	10
K00992: murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase	1	1	1	2	1
K02364: entF; enterobactin synthetase component F	4	4	4	4	4
K04783: irp5, ybtE; yersiniabactin salicyl-AMP ligase	2	4	4	4	4
K01940: argG, ASS1; argininosuccinate synthase	4	8	8	8	8
K03416: E2.1.3.1-5S; methylmalonyl-CoA carboxyltransferase 5S subunit	2	2	2	2	2
K00234: SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit	11	11	11	11	11
K00137: prr; aminobutyraldehyde dehydrogenase	6	6	6	6	6
K00149: ALDH9A1; aldehyde dehydrogenase family 9 member A1	33	33	33	33	33
K00053: ilvC; ketol-acid reductoisomerase	2	0	2	0	2
K03783: punA, PNP; purine-nucleoside phosphorylase	3	3	3	3	3
K06969: rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase	1	2	2	2	2
K00571: E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific)	1	1	1	1	1
K00710: GALNT; polypeptide N-acetylgalactosaminyltransferase	3	3	3	3	3
K06446: DCAA; acyl-CoA dehydrogenase	2	2	2	2	2
K03021: RPC2, POLR3B; DNA-directed RNA polymerase III subunit RPC2	3	15	15	15	15
K00626: ACAT, atoB; acetyl-CoA C-acetyltransferase	15	45	45	45	45
K08884: K08884; serine/threonine protein kinase, bacterial	4	24	24	24	25
K11203: fryC, frvB; fructose-like PTS system EIIC or EIIBC or EIIABC component	8	13	8	13	13
K11169: DHRS13; dehydrogenase/reductase SDR family member 13	1	1	1	1	1
K08319: ltnD; L-threonate 2-dehydrogenase	2	2	2	2	2
K06379: spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	11	11	11	11	11
K00122: FDH; formate dehydrogenase	2	2	10	6	10
K05364: pbpA; penicillin-binding protein A	2	2	2	2	2
K01593: DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase	13	13	13	13	13
K00100: bdhAB; butanol dehydrogenase	4	6	6	6	6
K12373: HEXA_B; hexosaminidase	8	8	16	8	8
K00641: metX; homoserine O-acetyltransferase/O-succinyltransferase	2	2	2	2	2
K00061: RDH5; 11-cis-retinol dehydrogenase	1	1	1	1	1
K01733: thrC; threonine synthase	2	2	2	2	2
K01008: selD, SEPHS; selenide, water dikinase	6	6	6	6	6
K00140: mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	4	4	4	4	4
K12998: rgpE; glucosyltransferase	1	1	1	1	1
K03564: BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin	2	2	2	2	2
K10211: crtQ; 4,4'-diaponeurosporenoate glycosyltransferase	1	1	1	1	1
K00680: ytmI; uncharacterized N-acetyltransferase	1	3	2	3	3
K16018: rifN, asm22; kanosamine 6-kinase	1	1	1	1	1
K01568: PDC, pdc; pyruvate decarboxylase	3	1	4	1	4
K01776: murI; glutamate racemase	2	2	2	2	2
K00008: SORD, gutB; L-iditol 2-dehydrogenase	2	2	2	2	2
K00175: korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	10	0	10	0	10
K12251: aguB; N-carbamoylputrescine amidase	1	0	1	0	1
K01438: argE; acetylornithine deacetylase	1	2	3	2	2
K12659: ARG56; N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase	5	5	5	5	5
K00619: argA; amino-acid N-acetyltransferase	1	3	4	3	6
K01912: paaK; phenylacetate-CoA ligase	2	2	2	2	2
K00760: hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase	2	4	4	4	4
K09814: hrtA; hemin transport system ATP-binding protein	2	2	2	2	2
K00102: LDHD, dld; D-lactate dehydrogenase (cytochrome)	1	2	2	2	2
K00004: BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	2	2	2	2	2
K03366: butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase	1	1	1	1	1
K00303: soxB; sarcosine oxidase, subunit beta	2	3	3	3	3
K02474: wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase	2	2	2	2	2
K11147: DHRS4; dehydrogenase/reductase SDR family member 4	2	2	2	2	2
K11538: ACAD8; isobutyryl-CoA dehydrogenase	1	1	1	1	1
K03273: gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase	2	2	2	2	2
K01485: codA; cytosine/creatinine deaminase	2	4	8	4	8
K06119: SQD2; sulfoquinovosyltransferase	2	2	2	2	2
K00257: mbtN, fadE14; acyl-ACP dehydrogenase	1	1	1	1	1
K00394: aprA; adenylylsulfate reductase, subunit A	1	1	1	1	1
K03379: chnB; cyclohexanone monooxygenase	1	3	3	3	3
K03215: rumA; 23S rRNA (uracil1939-C5)-methyltransferase	1	1	1	1	1
K11166: DHRS7B; dehydrogenase/reductase SDR family member 7B	1	1	1	1	1
K06001: trpB; tryptophan synthase beta chain	6	6	6	6	6
K01696: trpB; tryptophan synthase beta chain	6	8	8	8	8
K01695: trpA; tryptophan synthase alpha chain	6	6	6	6	6
K01817: trpF; phosphoribosylanthranilate isomerase	3	5	5	5	5
K01694: TRP; tryptophan synthase	6	6	6	6	6
K04517: tyrA2; prephenate dehydrogenase	4	20	34	20	30
K02840: waaB, rfaB; UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase	2	2	2	2	2
K00674: dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	2	3	2	3	2
K05822: dapH, dapD; tetrahydrodipicolinate N-acetyltransferase	1	2	1	2	1
K00811: ASP5; aspartate aminotransferase, chloroplastic	10	10	10	10	10
K05711: hcaB; 2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase	1	1	1	1	1
K01653: E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	4	4	4	4	4
K03725: K03725; archaea-specific helicase	1	1	1	1	1
K09478: ACADSB; short-chain 2-methylacyl-CoA dehydrogenase	2	2	2	2	2
K04496: CTBP; C-terminal binding protein	5	5	5	5	5
K08687: E3.5.1.59; N-carbamoylsarcosine amidase	1	2	2	2	2
K00066: algD; GDP-mannose 6-dehydrogenase	6	6	6	6	6
K00023: phbB; acetoacetyl-CoA reductase	2	2	2	2	2
K01465: URA4, pyrC; dihydroorotase	1	1	1	1	1
K10534: NR; nitrate reductase (NAD(P)H)	1	0	1	0	1
K11065: tpx; thioredoxin-dependent peroxiredoxin	2	2	2	2	2
K03842: ALG1; beta-1,4-mannosyltransferase	3	3	3	3	3
K11358: yhdR; aspartate aminotransferase	11	11	11	11	11
K02079: agaA; N-acetylgalactosamine-6-phosphate deacetylase	2	2	2	2	2
K01443: nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase	2	2	2	2	2
K00052: leuB, IMDH; 3-isopropylmalate dehydrogenase	2	2	2	2	2
K03184: ubiF; 3-demethoxyubiquinol 3-hydroxylase	1	2	2	2	2
K03867: BGLUT; UDP-glucose:tetrahydrobiopterin glucosyltransferase	1	1	1	1	1
K00226: pyrD; dihydroorotate dehydrogenase (fumarate)	1	2	7	5	7
K00022: HADH; 3-hydroxyacyl-CoA dehydrogenase	16	64	64	64	64
K08683: HSD17B10; 3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase	5	5	5	5	5
K10764: metZ; O-succinylhomoserine sulfhydrylase	2	2	2	2	2
K13657: gumH, aceA; alpha-1,3-mannosyltransferase	1	1	1	1	1
K00274: MAO, aofH; monoamine oxidase	14	14	14	14	14
K01629: rhaD; rhamnulose-1-phosphate aldolase	2	4	6	4	4
K02493: hemK, prmC, HEMK; release factor glutamine methyltransferase	1	1	1	1	1
K04787: mbtA; mycobactin salicyl-AMP ligase	2	2	2	2	2
K13421: UMPS; uridine monophosphate synthetase	4	8	10	8	6
K01591: pyrF; orotidine-5'-phosphate decarboxylase	1	4	5	4	4
K13185: DHX30; ATP-dependent RNA helicase DHX30	8	12	12	12	12
K14442: DHX36, RHAU; ATP-dependent RNA helicase DHX36	8	12	12	12	12
K13184: DHX9; ATP-dependent RNA helicase A	4	6	6	6	6
K02433: gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	4	10	10	10	10
K12525: metL; bifunctional aspartokinase / homoserine dehydrogenase 2	28	28	28	28	28
K00003: hom; homoserine dehydrogenase	27	27	27	27	27
K11809: PGM2L1; glucose-1,6-bisphosphate synthase	1	1	1	1	1
K08256: pimA; phosphatidyl-myo-inositol alpha-mannosyltransferase	2	2	2	2	2
K11076: potG; putrescine transport system ATP-binding protein	4	4	4	4	4
K12555: pbp2A; penicillin-binding protein 2A	4	4	4	4	4
K11162: RDH14; retinol dehydrogenase 14	1	1	1	1	1
K11153: RDH12; retinol dehydrogenase 12	1	1	1	1	1
K01488: add, ADA; adenosine deaminase	2	0	2	0	2
K01795: algG; mannuronan 5-epimerase	1	1	1	1	1
K00789: metK; S-adenosylmethionine synthetase	1	1	1	1	1
K05715: 2PGK; 2-phosphoglycerate kinase	1	1	1	1	1
K00856: E2.7.1.20, ADK; adenosine kinase	1	1	1	1	1
K00147: proA; glutamate-5-semialdehyde dehydrogenase	2	2	2	2	2
K01753: dsdA; D-serine dehydratase	1	1	1	1	1
K13039: comE; sulfopyruvate decarboxylase subunit beta	2	0	2	0	2
K00121: frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	20	60	60	60	60
K05533: ANP1; mannan polymerase II complex ANP1 subunit	1	1	1	1	1
K03382: atzB; hydroxydechloroatrazine ethylaminohydrolase	1	0	2	0	2
K01487: E3.5.4.3, guaD; guanine deaminase	1	1	4	1	4
K11808: ADE2; phosphoribosylaminoimidazole carboxylase	1	1	1	1	1
K08801: PASK; PAS domain containing serine/threonine kinase	2	4	4	4	4
K13566: NIT2, yafV; omega-amidase	1	0	1	0	1
K01769: E4.6.1.2; guanylate cyclase, other	1	7	19	7	19
K13500: fcbD; chondroitin synthase	2	2	2	2	2
K00033: PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	2	2	2	2	2
K06020: ettA; energy-dependent translational throttle protein EttA	1	1	1	1	1
K06447: astD; succinylglutamic semialdehyde dehydrogenase	1	1	1	1	1
K12767: RIM15; serine/threonine-protein kinase RIM15	4	12	12	12	12
K01431: UPB1, pydC; beta-ureidopropionase	4	4	4	4	4
K12267: msrAB; peptide methionine sulfoxide reductase msrA/msrB	1	8	8	8	8
K02036: pstB; phosphate transport system ATP-binding protein	2	2	2	2	2
K00824: dat; D-alanine transaminase	6	6	6	6	6
K10439: rbsB; ribose transport system substrate-binding protein	3	3	3	3	3
K15036: K15036; acetyl-CoA/propionyl-CoA carboxylase	8	8	8	8	8
K01963: accD; acetyl-CoA carboxylase carboxyl transferase subunit beta	4	4	4	4	4
K08324: sad; succinate-semialdehyde dehydrogenase	3	3	3	3	3
K07547: bbsC; 2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsC subunit	1	1	1	1	1
K00344: qor, CRYZ; NADPH:quinone reductase	2	2	2	2	2
K00609: pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit	2	8	8	8	8
K01502: E3.5.5.7; aliphatic nitrilase	1	0	1	0	1
K01779: racD; aspartate racemase	4	4	4	4	4
K01486: ade; adenine deaminase	1	1	1	1	1
K08678: UXS1, uxs; UDP-glucuronate decarboxylase	1	1	1	1	1
K09655: B4GALNT2; beta-1,4-N-acetylgalactosaminyltransferase 2	1	1	1	1	1
K11263: bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein	5	5	5	5	5
K00754: bshA; L-malate glycosyltransferase	1	1	1	1	1
K11167: DHRS7C; dehydrogenase/reductase SDR family member 7C	1	1	1	1	1
K01555: FAH, fahA; fumarylacetoacetase	3	3	3	3	3
K00951: relA; GTP pyrophosphokinase	1	4	4	4	5
K01663: HIS7; imidazole glycerol-phosphate synthase	1	15	15	15	15
K13015: wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase	2	2	2	2	2
K04487: iscS, NFS1; cysteine desulfurase	10	10	10	10	10
K01615: gcdA; glutaconyl-CoA decarboxylase subunit alpha	3	3	3	3	3
K01428: ureC; urease subunit alpha	4	4	4	4	4
K01427: URE; urease	3	3	9	3	9
K14261: alaC; alanine-synthesizing transaminase	1	1	1	1	1
K03274: gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase	2	2	2	2	2
K03367: dltA; D-alanine--poly(phosphoribitol) ligase subunit 1	5	5	5	5	5
K00060: tdh; threonine 3-dehydrogenase	1	1	1	1	1
K01644: citE; citrate lyase subunit beta / citryl-CoA lyase	1	0	1	0	1
K08691: mcl; malyl-CoA/(S)-citramalyl-CoA lyase	8	0	8	0	8
K00285: dadA; D-amino-acid dehydrogenase	1	1	1	1	1
K00043: gbd; 4-hydroxybutyrate dehydrogenase	1	1	1	1	1
K01251: E3.3.1.1, ahcY; adenosylhomocysteinase	3	3	3	3	3
K00363: nirD; nitrite reductase (NADH) small subunit	1	1	3	2	3
K00945: cmk; CMP/dCMP kinase	1	5	5	5	6
K06074: btuD; vitamin B12 transport system ATP-binding protein	2	2	2	2	2
K01440: PNC1; nicotinamidase	4	4	4	4	4
K01259: pip; proline iminopeptidase	2	4	4	4	4
K03331: DCXR; L-xylulose reductase	1	1	1	1	1
K01210: E3.2.1.58; glucan 1,3-beta-glucosidase	1	1	2	1	2
K00978: rfbF; glucose-1-phosphate cytidylyltransferase	3	3	3	3	3
K02204: thrB2; homoserine kinase type II	1	1	1	1	1
K12253: aruI; 5-guanidino-2-oxopentanoate decarboxylase	1	0	1	0	1
K01759: GLO1, gloA; lactoylglutathione lyase	1	3	3	3	2
K00540: fqr; F420H(2)-dependent quinone reductase	2	3	3	3	2
K02057: ABC.SS.P; simple sugar transport system permease protein	1	1	1	1	1
K00306: PIPOX; sarcosine oxidase / L-pipecolate oxidase	3	6	6	6	6
K13926: rbbA; ribosome-dependent ATPase	1	1	1	1	1
K11410: acdH; short-chain 2-methylacyl-CoA dehydrogenase	1	1	1	1	1
K13035: NIT4; beta-cyano-L-alanine hydratase/nitrilase	1	0	1	0	1
K00107: ALO; D-arabinono-1,4-lactone oxidase	1	1	1	1	1
K02342: dnaQ; DNA polymerase III subunit epsilon	5	25	25	25	25
K01996: livF; branched-chain amino acid transport system ATP-binding protein	6	6	6	6	6
K13677: dgs, bgsA; 1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase	2	2	2	2	2
K14509: ETR, ERS; ethylene receptor	2	2	2	2	2
K09472: puuC, aldH; 4-(gamma-glutamylamino)butanal dehydrogenase	1	1	1	1	1
K09758: asdA; aspartate 4-decarboxylase	2	2	2	2	2
K03212: rumB; 23S rRNA (uracil747-C5)-methyltransferase	1	1	1	1	1
K00145: argC; N-acetyl-gamma-glutamyl-phosphate reductase	3	3	3	3	3
K14434: GALT-1; alpha 1,6-fucoside beta 1,4-galactosyltransferase	2	0	2	0	0
K11230: SSK2; mitogen-activated protein kinase kinase kinase	3	6	6	6	6
K00677: lpxA; UDP-N-acetylglucosamine acyltransferase	3	3	9	3	9
K01448: amiABC; N-acetylmuramoyl-L-alanine amidase	3	30	27	30	27
K01446: PGRP; peptidoglycan recognition protein	1	5	3	5	4
K05365: mrcB; penicillin-binding protein 1B	3	3	3	3	3
K00794: ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase	1	1	1	1	1
K05853: ATP2A; P-type Ca2+ transporter type 2A	42	42	42	42	42
K00486: KMO; kynurenine 3-monooxygenase	1	1	1	1	1
K04478: sgtB; monofunctional glycosyltransferase	3	3	3	3	3
K01587: PAICS; phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase	2	3	3	3	3
K02825: pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase	2	2	2	2	2
K06445: fadE; acyl-CoA dehydrogenase	1	1	1	1	2
K00972: UAP1; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase	3	3	3	3	3
K12235: SRR; serine racemase	1	1	1	1	1
K02030: ABC.PA.S; polar amino acid transport system substrate-binding protein	1	3	3	3	3
K08384: spoVD; stage V sporulation protein D (sporulation-specific penicillin-binding protein)	2	2	2	2	2
K14448: mcd; (2S)-methylsuccinyl-CoA dehydrogenase	1	1	1	1	1
K05850: ATP2B; P-type Ca2+ transporter type 2B	18	18	18	18	18
K01923: purC; phosphoribosylaminoimidazole-succinocarboxamide synthase	2	5	5	5	5
K00044: HSD17B1; 17beta-estradiol 17-dehydrogenase	2	2	2	2	2
K10251: HSD17B12, KAR, IFA38; 17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase	4	4	4	4	4
K00176: korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta	2	2	26	6	26
K12252: aruH; arginine:pyruvate transaminase	4	4	4	4	4
K00815: TAT; tyrosine aminotransferase	18	18	18	18	18
K14259: kdaD, xacE, kdxD; 2-dehydro-3-deoxy-D-arabinonate dehydratase	2	2	2	2	0
K12405: HSD17B4; (3R)-3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase / enoyl-CoA hydratase 2	3	3	3	3	3
K00618: ARG2; amino-acid N-acetyltransferase	1	1	1	1	1
K15052: K15052; propionyl-CoA carboxylase	1	0	1	0	1
K03444: ERD6, ESL1; MFS transporter, SP family, ERD6-like sugar transporter	1	1	1	1	1
K05825: LYSN; 2-aminoadipate transaminase	1	1	1	1	1
K00838: ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase	11	11	11	11	11
K00120: fgd2; F420-dependent hydroxymycolic acid dehydrogenase	2	3	3	3	3
K11163: DHRS1; dehydrogenase/reductase SDR family member 1	1	1	1	1	1
K01046: lip, TGL2; triacylglycerol lipase	1	1	1	1	1
K00640: cysE; serine O-acetyltransferase	3	6	6	6	6
K00046: idnO; gluconate 5-dehydrogenase	1	1	1	1	1
K01945: purD; phosphoribosylamine---glycine ligase	2	5	5	5	5
K01913: AAE7, ACN1; acetate/butyrate---CoA ligase	10	10	10	10	10
K00979: kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)	2	2	2	2	2
K01755: argH, ASL; argininosuccinate lyase	3	3	3	3	6
