L1	L2	L3	KO	Function	EC
Inorganic ion transport and metabolism	K+/H+ antiporter KhtSTU, c-di-AMP-binding regulatory subunit KhtT, contains RCK_C (TrkA_C) domain		COG0490	KhtT:	
Signal transduction mechanisms	K+/H+ antiporter KhtSTU, c-di-AMP-binding regulatory subunit KhtT, contains RCK_C (TrkA_C) domain		COG0490	KhtT:	
General function prediction only	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II		COG0491	GloB:	
Posttranslational modification, protein turnover, chaperones	Thioredoxin reductase		COG0492	TrxB:	
Amino acid transport and metabolism	NADPH-dependent glutamate synthase beta chain or related oxidoreductase		COG0493	GltD:Glutamine biosynthesis	
General function prediction only	NADPH-dependent glutamate synthase beta chain or related oxidoreductase		COG0493	GltD:Glutamine biosynthesis	
Defense mechanisms	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family		COG0494	MutT:	
Translation, ribosomal structure and biogenesis	Leucyl-tRNA synthetase		COG0495	LeuS:Aminoacyl-tRNA synthetases	
Replication, recombination and repair	Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE		COG0496	SurE:	
Replication, recombination and repair	DNA repair ATPase RecN		COG0497	RecN:	
Amino acid transport and metabolism	Threonine synthase		COG0498	ThrC:Threonine biosynthesis	
Coenzyme transport and metabolism	S-adenosylhomocysteine hydrolase		COG0499	SAM1:	
Secondary metabolites biosynthesis, transport and catabolism	SAM-dependent methyltransferase		COG0500	SmtA:	
General function prediction only	SAM-dependent methyltransferase		COG0500	SmtA:	
Posttranslational modification, protein turnover, chaperones	Zn-dependent protease with chaperone function		COG0501	HtpX:	
Coenzyme transport and metabolism	Biotin synthase or related enzyme		COG0502	BioB:Biotin biosynthesis	
Nucleotide transport and metabolism	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein		COG0503	Apt:Purine salvage	
Nucleotide transport and metabolism	CTP synthase (UTP-ammonia lyase)		COG0504	PyrG:Pyrimidine biosynthesis	
Amino acid transport and metabolism	Carbamoylphosphate synthase small subunit		COG0505	CarA:Arginine biosynthesis	
Nucleotide transport and metabolism	Carbamoylphosphate synthase small subunit		COG0505	CarA:Arginine biosynthesis	
Amino acid transport and metabolism	Proline dehydrogenase		COG0506	PutA:Proline degradation	
Replication, recombination and repair	ATPase/5�-3� helicase helicase subunit RecD of the DNA repair enzyme RecBCD (exonuclease V)		COG0507	RecD:	
Energy production and conversion	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component		COG0508	AceF:Pyruvate oxidation	
Amino acid transport and metabolism	Glycine cleavage system protein H (lipoate-binding)		COG0509	GcvH:Glycine cleavage	
Coenzyme transport and metabolism	Thiamine kinase or a related kinase		COG0510	CotS:	
Lipid transport and metabolism	Biotin carboxyl carrier protein		COG0511	AccB:Fatty acid biosynthesis	
Amino acid transport and metabolism	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)		COG0512	PabA:Aromatic amino acid biosynthesis	
Coenzyme transport and metabolism	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)		COG0512	PabA:Aromatic amino acid biosynthesis	
Replication, recombination and repair	Superfamily II DNA and RNA helicase		COG0513	SrmB:	
Replication, recombination and repair	Superfamily II DNA helicase RecQ		COG0514	RecQ:	
Signal transduction mechanisms	Serine/threonine protein kinase		COG0515	SPS1:	
Nucleotide transport and metabolism	IMP dehydrogenase/GMP reductase		COG0516	GuaB:Purine biosynthesis	
Signal transduction mechanisms	CBS domain		COG0517	CBS:	
Nucleotide transport and metabolism	GMP synthase, glutamine amidotransferase domain		COG0518	GuaA1:Purine biosynthesis	
Nucleotide transport and metabolism	GMP synthase, PP-ATPase domain/subunit		COG0519	GuaA2:Purine biosynthesis	
Amino acid transport and metabolism	Selenocysteine lyase/Cysteine desulfurase		COG0520	CsdA:	
Coenzyme transport and metabolism	Molybdopterin biosynthesis enzyme MoaB/MogA		COG0521	MoaB:Molybdopterin biosynthesis	
Translation, ribosomal structure and biogenesis	Ribosomal protein S4 or related protein		COG0522	RpsD:Ribosome 30S subunit	
General function prediction only	Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family		COG0523	YejR:	
Carbohydrate transport and metabolism	Sugar or nucleoside kinase, ribokinase family		COG0524	RbsK:Glycolysis	
Translation, ribosomal structure and biogenesis	Valyl-tRNA synthetase		COG0525	ValS:Aminoacyl-tRNA synthetases	
Posttranslational modification, protein turnover, chaperones	Thiol-disulfide isomerase or thioredoxin		COG0526	TrxA:	
Amino acid transport and metabolism	Aspartate kinase		COG0527	MetL1:Lysine biosynthesis	
Nucleotide transport and metabolism	Uridylate kinase		COG0528	PyrH:Pyrimidine biosynthesis	
Inorganic ion transport and metabolism	Adenylylsulfate kinase or related kinase		COG0529	CysC:Cysteine biosynthesis	
Inorganic ion transport and metabolism	Ca2+/Na+ antiporter		COG0530	ECM27:	
Amino acid transport and metabolism	Serine transporter YbeC, amino acid:H+ symporter family		COG0531	PotE:	
Translation, ribosomal structure and biogenesis	Translation initiation factor IF-2, a GTPase		COG0532	InfB:Translation factors	
Translation, ribosomal structure and biogenesis	tRNA A37 threonylcarbamoyltransferase TsaD		COG0533	TsaD:tRNA modification	
Defense mechanisms	Na+-driven multidrug efflux pump, DinF/NorM/MATE family		COG0534	NorM:	
Cell cycle control, cell division, chromosome partitioning	Radical SAM superfamily maturase, SkfB/NifB/PqqE family		COG0535	SkfB:	
Coenzyme transport and metabolism	Radical SAM superfamily maturase, SkfB/NifB/PqqE family		COG0535	SkfB:	
Cell cycle control, cell division, chromosome partitioning	GTPase involved in cell partioning and DNA repair		COG0536	Obg:	
Replication, recombination and repair	GTPase involved in cell partioning and DNA repair		COG0536	Obg:	
Nucleotide transport and metabolism	Purine nucleoside phosphoramidase/Ap4A hydrolase, histidine triade (HIT) family		COG0537	HinT:	
General function prediction only	Purine nucleoside phosphoramidase/Ap4A hydrolase, histidine triade (HIT) family		COG0537	HinT:	
Energy production and conversion	Isocitrate dehydrogenase		COG0538	Icd:TCA cycle	
Translation, ribosomal structure and biogenesis	Ribosomal protein S1		COG0539	RpsA:Ribosome 30S subunit	
Nucleotide transport and metabolism	Aspartate carbamoyltransferase, catalytic subunit		COG0540	PyrB:Pyrimidine biosynthesis	
Intracellular trafficking, secretion, and vesicular transport	Signal recognition particle GTPase		COG0541	Ffh:	
Posttranslational modification, protein turnover, chaperones	ATP-dependent Clp protease, ATP-binding subunit ClpA		COG0542	ClpA:	
Coenzyme transport and metabolism	NAD(P)H-flavin reductase		COG0543	Mcr1:	
Energy production and conversion	NAD(P)H-flavin reductase		COG0543	Mcr1:	
Posttranslational modification, protein turnover, chaperones	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)		COG0544	Tig:	
Posttranslational modification, protein turnover, chaperones	FKBP-type peptidyl-prolyl cis-trans isomerase		COG0545	FkpA:	
Energy production and conversion	Phosphoglycolate phosphatase, HAD superfamily		COG0546	Gph:	
Amino acid transport and metabolism	Anthranilate phosphoribosyltransferase, glycosyltransferase domain		COG0547	TrpD:Aromatic amino acid biosynthesis	
Amino acid transport and metabolism	N-acetylglutamate kinase		COG0548	ArgB:Arginine biosynthesis	
Amino acid transport and metabolism	Carbamate kinase		COG0549	ArcC:	
Replication, recombination and repair	DNA topoisomerase IA		COG0550	TopA:	
Replication, recombination and repair	DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains		COG0551	YrdD:	
Intracellular trafficking, secretion, and vesicular transport	Signal recognition particle GTPase FtsY		COG0552	FtsY:	
Transcription	Superfamily II DNA or RNA helicase, SNF2 family		COG0553	HepA:	
Replication, recombination and repair	Superfamily II DNA or RNA helicase, SNF2 family		COG0553	HepA:	
Energy production and conversion	Glycerol kinase		COG0554	GlpK:	
Inorganic ion transport and metabolism	ABC-type sulfate transport system, permease component		COG0555	CysU:	
Replication, recombination and repair	Excinuclease UvrABC helicase subunit UvrB		COG0556	UvrB:	
Transcription	Exoribonuclease R		COG0557	VacB:	
Lipid transport and metabolism	Phosphatidylglycerophosphate synthase		COG0558	PgsA:Phospholipid biosynthesis	
Amino acid transport and metabolism	Branched-chain amino acid ABC-type transport system, permease component		COG0559	LivH:	
Amino acid transport and metabolism	Phosphoserine phosphatase		COG0560	SerB:Serine biosynthesis	
Coenzyme transport and metabolism	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases		COG0561	Cof:	
General function prediction only	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases		COG0561	Cof:	
Cell wall/membrane/envelope biogenesis	UDP-galactopyranose mutase		COG0562	Glf:	
Nucleotide transport and metabolism	Adenylate kinase or related kinase		COG0563	Adk:Pyrimidine biosynthesis	
Translation, ribosomal structure and biogenesis	Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific		COG0564	RluA:23S rRNA modification	
Translation, ribosomal structure and biogenesis	tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase		COG0565	TrmJ:tRNA modification	
Translation, ribosomal structure and biogenesis	tRNA G18 (ribose-2'-O)-methylase SpoU		COG0566	SpoU:tRNA modification	
Energy production and conversion	2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes		COG0567	SucA:TCA cycle	
Transcription	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)		COG0568	RpoD:RNA polymerase	
Inorganic ion transport and metabolism	Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain		COG0569	TrkA:	
Signal transduction mechanisms	Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain		COG0569	TrkA:	
Transcription	dsRNA-specific ribonuclease		COG0571	Rnc:	
Nucleotide transport and metabolism	Uridine kinase		COG0572	Udk:Pyrimidine salvage	
Inorganic ion transport and metabolism	ABC-type phosphate transport system, permease component		COG0573	PstC:	
Carbohydrate transport and metabolism	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase		COG0574	PpsA:Gluconeogenesis	
Lipid transport and metabolism	CDP-diglyceride synthetase		COG0575	CdsA:Phospholipid biosynthesis	
Posttranslational modification, protein turnover, chaperones	Molecular chaperone GrpE (heat shock protein HSP-70)		COG0576	GrpE:	
Defense mechanisms	ABC-type antimicrobial peptide transport system, permease component		COG0577	SalY:	
Energy production and conversion	Glycerol-3-phosphate dehydrogenase		COG0578	GlpA:Isoprenoid biosynthesis	
Carbohydrate transport and metabolism	L-2-hydroxyglutarate oxidase LhgO		COG0579	LhgO:	
Carbohydrate transport and metabolism	Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)		COG0580	GlpF:	
Inorganic ion transport and metabolism	ABC-type phosphate transport system, permease component		COG0581	PstA:	
Replication, recombination and repair	Integrase/recombinase, includes phage integrase		COG0582	FimB:	
Mobilome: prophages, transposons	Integrase/recombinase, includes phage integrase		COG0582	FimB:	
Transcription	DNA-binding transcriptional regulator, LysR family		COG0583	LysR:	
Lipid transport and metabolism	Glycerophosphoryl diester phosphodiesterase		COG0584	UgpQ:	
Translation, ribosomal structure and biogenesis	tRNA(Glu) U13 pseudouridine synthase TruD		COG0585	TruD:tRNA modification	
Cell wall/membrane/envelope biogenesis	Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family		COG0586	DedA:	
Replication, recombination and repair	DNA polymerase III, alpha subunit		COG0587	DnaE:	
Carbohydrate transport and metabolism	Phosphoglycerate mutase (BPG-dependent)		COG0588	GpmA:Glycolysis	
Signal transduction mechanisms	Nucleotide-binding universal stress protein,  UspA family		COG0589	UspA:	
Translation, ribosomal structure and biogenesis	tRNA(Arg) A34 adenosine deaminase TadA		COG0590	TadA:Pyrimidine salvagetRNA modification	
Amino acid transport and metabolism	Na+/proline symporter		COG0591	PutP:	
Replication, recombination and repair	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog		COG0592	DnaN:	
Replication, recombination and repair	Chromosomal replication initiation ATPase DnaA		COG0593	DnaA:	
Translation, ribosomal structure and biogenesis	RNase P protein component		COG0594	RnpA:	
Translation, ribosomal structure and biogenesis	mRNA degradation ribonuclease J1/J2		COG0595	RnjA:	
Coenzyme transport and metabolism	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold		COG0596	MenH:Menaquinone biosynthesis	
General function prediction only	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold		COG0596	MenH:Menaquinone biosynthesis	
Cell wall/membrane/envelope biogenesis	Lipoprotein signal peptidase		COG0597	LspA:	
Intracellular trafficking, secretion, and vesicular transport	Lipoprotein signal peptidase		COG0597	LspA:	
Inorganic ion transport and metabolism	Mg2+ and Co2+ transporter CorA		COG0598	CorA:	
General function prediction only	Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family		COG0599	YurZ:	
Inorganic ion transport and metabolism	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component		COG0600	TauC:	
Amino acid transport and metabolism	ABC-type dipeptide/oligopeptide/nickel transport system, permease component		COG0601	DppB:	
Inorganic ion transport and metabolism	ABC-type dipeptide/oligopeptide/nickel transport system, permease component		COG0601	DppB:	
Coenzyme transport and metabolism	Organic radical activating enzyme NrdG/QueE		COG0602	QueE:tRNA modification	
Translation, ribosomal structure and biogenesis	7-cyano-7-deazaguanine synthase (queuosine biosynthesis)		COG0603	QueC:tRNA modification	
Energy production and conversion	NADPH:quinone reductase or related Zn-dependent oxidoreductase		COG0604	Qor:	
General function prediction only	NADPH:quinone reductase or related Zn-dependent oxidoreductase		COG0604	Qor:	
Inorganic ion transport and metabolism	Superoxide dismutase		COG0605	SodA:	
Posttranslational modification, protein turnover, chaperones	Predicted Mg-chelatase, contains ChlI-like and ATPase domains, YifB family		COG0606	YifB:	
Inorganic ion transport and metabolism	Rhodanese-related sulfurtransferase		COG0607	PspE:Urea cycle	
Replication, recombination and repair	ssDNA-specific exonuclease RecJ, DHH superfamily, may be involved in archaeal DNA replication intiation		COG0608	RecJ:	
Inorganic ion transport and metabolism	ABC-type Fe3+-siderophore transport system, permease component		COG0609	FepD:	
Defense mechanisms	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...		COG0610	:	
Coenzyme transport and metabolism	Thiamine monophosphate kinase		COG0611	ThiL:Thiamine biosynthesis	
General function prediction only	Predicted Zn-dependent peptidase, M16 family		COG0612	PqqL:	
Nucleotide transport and metabolism	5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain		COG0613	YciV:	
Inorganic ion transport and metabolism	ABC-type Fe3+-hydroxamate transport system, periplasmic component		COG0614	FepB:	
Cell wall/membrane/envelope biogenesis	Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family		COG0615	TagD:Riboflavin/FAD biosynthesis	
Posttranslational modification, protein turnover, chaperones	Periplasmic serine protease, ClpP class		COG0616	SppA:	
Translation, ribosomal structure and biogenesis	tRNA nucleotidyltransferase/poly(A) polymerase		COG0617	PcnB:tRNA modification	
Nucleotide transport and metabolism	nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs		COG0618	NrnA:	
Signal transduction mechanisms	nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs		COG0618	NrnA:	
Coenzyme transport and metabolism	ECF-type transporter transmembrane protein EcfT		COG0619	EcfT:	
Amino acid transport and metabolism	Methionine synthase II (cobalamin-independent)		COG0620	MetE:Methionine biosynthesis	
Translation, ribosomal structure and biogenesis	tRNA A37 methylthiotransferase MiaB		COG0621	MiaB:tRNA modification	
General function prediction only	Predicted phosphodiesterase, calcineurin family		COG0622	YfcE:	
Lipid transport and metabolism	Enoyl-[acyl-carrier-protein] reductase FabI		COG0623	FabI:Fatty acid biosynthesis	
Amino acid transport and metabolism	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase		COG0624	ArgE:Arginine biosynthesis	
Posttranslational modification, protein turnover, chaperones	Glutathione S-transferase		COG0625	GstA:	
Amino acid transport and metabolism	Cystathionine beta-lyase/cystathionine gamma-synthase		COG0626	MetC:Methionine biosynthesis	
Defense mechanisms	S-formylglutathione hydrolase FrmB		COG0627	FrmB:	
General function prediction only	Predicted PurR-regulated permease PerM		COG0628	PerM:	
Replication, recombination and repair	Single-stranded DNA-binding protein		COG0629	Ssb:	
Cell motility	Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase ArlI/FlaI		COG0630	VirB11:	
Intracellular trafficking, secretion, and vesicular transport	Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase ArlI/FlaI		COG0630	VirB11:	
Signal transduction mechanisms	Serine/threonine protein phosphatase PrpC		COG0631	PTC1:	
Replication, recombination and repair	Holliday junction resolvasome RuvABC DNA-binding subunit		COG0632	RuvA:	
Energy production and conversion	Ferredoxin		COG0633	Fdx:	
Nucleotide transport and metabolism	Hypoxanthine-guanine phosphoribosyltransferase		COG0634	HptA:Purine salvage	
Coenzyme transport and metabolism	Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase		COG0635	HemN:Heme biosynthesis	
Energy production and conversion	FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K		COG0636	AtpE:FoF1-type ATP synthase	
Carbohydrate transport and metabolism	Beta-phosphoglucomutase, HAD superfamily		COG0637	YcjU:	
Posttranslational modification, protein turnover, chaperones	20S proteasome, alpha and beta subunits		COG0638	PRE1:	
Signal transduction mechanisms	Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family		COG0639	ApaH:	
Transcription	DNA-binding transcriptional regulator, ArsR family		COG0640	ArsR:	
Posttranslational modification, protein turnover, chaperones	Sulfatase maturation enzyme AslB, radical SAM superfamily		COG0641	AslB:	
Signal transduction mechanisms	Signal transduction histidine kinase		COG0642	BaeS:	
Signal transduction mechanisms	Chemotaxis protein histidine kinase CheA		COG0643	CheA:	
Energy production and conversion	Dehydrogenase (flavoprotein)		COG0644	FixC:	
General function prediction only	Predicted kinase, contains AAA domain		COG0645	:	
Amino acid transport and metabolism	Methionine synthase I (cobalamin-dependent), methyltransferase domain		COG0646	MetH1:Methionine biosynthesis	
Nucleotide transport and metabolism	Ribonucleotide monophosphatase NagD, HAD superfamily		COG0647	NagD:	
Replication, recombination and repair	Endonuclease IV		COG0648	Nfo:	
Energy production and conversion	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)		COG0649	NuoD:NADH dehydrogenase	
Energy production and conversion	Formate hydrogenlyase subunit HyfC		COG0650	HyfC:	
Energy production and conversion	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit		COG0651	HyfB:	
Inorganic ion transport and metabolism	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit		COG0651	HyfB:	
Posttranslational modification, protein turnover, chaperones	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family		COG0652	PpiB:	
Intracellular trafficking, secretion, and vesicular transport	Preprotein translocase subunit SecA (ATPase, RNA helicase)		COG0653	SecA:	
Coenzyme transport and metabolism	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases		COG0654	UbiH:Ubiquinone biosynthesis	
Energy production and conversion	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases		COG0654	UbiH:Ubiquinone biosynthesis	
Energy production and conversion	Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase		COG0655	WrbA:	
Secondary metabolites biosynthesis, transport and catabolism	Aldo/keto reductase, related to diketogulonate reductase		COG0656	ARA1:	
Lipid transport and metabolism	Acetyl esterase/lipase		COG0657	Aes:	
Intracellular trafficking, secretion, and vesicular transport	DNA uptake channel protein ComEC, N-terminal domain		COG0658	ComEC:	
Inorganic ion transport and metabolism	Sulfate permease or related transporter, MFS superfamily		COG0659	SUL1:	
Coenzyme transport and metabolism	Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family		COG0661	AarF:Ubiquinone biosynthesis	
Signal transduction mechanisms	Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family		COG0661	AarF:Ubiquinone biosynthesis	
Carbohydrate transport and metabolism	Mannose-6-phosphate isomerase, cupin superfamily		COG0662	ManC:	
General function prediction only	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily		COG0663	PaaY:	
Signal transduction mechanisms	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases		COG0664	Crp:	
Amino acid transport and metabolism	Glycine/D-amino acid oxidase (deaminating)		COG0665	DadA:	
Signal transduction mechanisms	Ankyrin repeat		COG0666	ANKYR:	
Coenzyme transport and metabolism	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family		COG0667	PdxI:	
General function prediction only	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family		COG0667	PdxI:	
Cell wall/membrane/envelope biogenesis	Small-conductance mechanosensitive channel		COG0668	MscS:	
Coenzyme transport and metabolism	Phosphopantetheine adenylyltransferase		COG0669	CoaD:Pantothenate/CoA biosynthesis	
Inorganic ion transport and metabolism	Integral membrane protein YbhL, putative Ca2+ regulator, Bax inhibitor (BI-1)/TMBIM family		COG0670	YbhL:	
Lipid transport and metabolism	Membrane-associated phospholipid phosphatase		COG0671	PgpB:Phospholipid biosynthesis	
Inorganic ion transport and metabolism	High-affinity Fe2+/Pb2+ permease		COG0672	FTR1:	
General function prediction only	Predicted dehydrogenase		COG0673	MviM:	
Energy production and conversion	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit		COG0674	PorA:Pyruvate oxidation	
Mobilome: prophages, transposons	Transposase		COG0675	InsQ:	
Carbohydrate transport and metabolism	D-hexose-6-phosphate mutarotase		COG0676	YeaD:	
Cell wall/membrane/envelope biogenesis	UDP-N-acetyl-D-mannosaminuronate dehydrogenase		COG0677	WecC:	
Posttranslational modification, protein turnover, chaperones	Peroxiredoxin		COG0678	AHP1:	
General function prediction only	Predicted permease, AEC (auxin efflux carrier) family		COG0679	YfdV:	
Energy production and conversion	Ni,Fe-hydrogenase maturation factor		COG0680	HyaD:	
Intracellular trafficking, secretion, and vesicular transport	Signal peptidase I		COG0681	LepB:	
Cell wall/membrane/envelope biogenesis	Prolipoprotein diacylglyceryltransferase		COG0682	Lgt:	
Amino acid transport and metabolism	ABC-type branched-chain amino acid transport system, periplasmic component		COG0683	LivK:	
Translation, ribosomal structure and biogenesis	RNA degradosome component RraA (regulator of RNase E activity)		COG0684	RraA:	
Amino acid transport and metabolism	5,10-methylenetetrahydrofolate reductase		COG0685	MetF:	
Amino acid transport and metabolism	Alanine dehydrogenase (includes sporulation protein SpoVN)		COG0686	Ald:Urea cycle	
Amino acid transport and metabolism	Spermidine/putrescine-binding periplasmic protein		COG0687	PotD:	
Lipid transport and metabolism	Phosphatidylserine decarboxylase		COG0688	Psd:Phospholipid biosynthesis	
Translation, ribosomal structure and biogenesis	Ribonuclease PH		COG0689	Rph:	
Intracellular trafficking, secretion, and vesicular transport	Preprotein translocase subunit SecE		COG0690	SecE:	
Posttranslational modification, protein turnover, chaperones	tmRNA-binding protein		COG0691	SmpB:	
Replication, recombination and repair	Uracil-DNA glycosylase		COG0692	Ung:	
Defense mechanisms	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)		COG0693	YajL:	
Posttranslational modification, protein turnover, chaperones	Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain		COG0694	NifU:	
Posttranslational modification, protein turnover, chaperones	Glutaredoxin		COG0695	GrxC:	
Carbohydrate transport and metabolism	Phosphoglycerate mutase (BPG-independent), AlkP superfamily		COG0696	GpmI:Glycolysis	
Carbohydrate transport and metabolism	Permease of the drug/metabolite transporter (DMT) superfamily		COG0697	RhaT:	
Amino acid transport and metabolism	Permease of the drug/metabolite transporter (DMT) superfamily		COG0697	RhaT:	
General function prediction only	Permease of the drug/metabolite transporter (DMT) superfamily		COG0697	RhaT:	
Carbohydrate transport and metabolism	Ribose 5-phosphate isomerase RpiB		COG0698	RpiB:Pentose phosphate pathway	
Replication, recombination and repair	Replication fork clamp-binding protein CrfC (dynamin-like GTPase family)		COG0699	CrfC:	
Function unknown	Spore maturation protein SpmB (function unknown)		COG0700	SpmB:	
Function unknown	Uncharacterized membrane protein YraQ, UPF0718 family		COG0701	YraQ:	
General function prediction only	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains		COG0702	YbjT:	
Amino acid transport and metabolism	Shikimate kinase		COG0703	AroK:Aromatic amino acid biosynthesis	
Inorganic ion transport and metabolism	Phosphate uptake regulator PhoU		COG0704	PhoU:	
Posttranslational modification, protein turnover, chaperones	Membrane-associated serine protease, rhomboid family		COG0705	GlpG:	
Cell wall/membrane/envelope biogenesis	Membrane protein insertase Oxa1/YidC/SpoIIIJ		COG0706	YidC:	
Cell wall/membrane/envelope biogenesis	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase		COG0707	MurG:Mureine biosynthesis	
Replication, recombination and repair	Exonuclease III		COG0708	XthA:	
Amino acid transport and metabolism	Selenophosphate synthase		COG0709	SelD:	
Amino acid transport and metabolism	3-dehydroquinate dehydratase		COG0710	AroD:Aromatic amino acid biosynthesis	
Energy production and conversion	FoF1-type ATP synthase, membrane subunit b or b'		COG0711	AtpF:FoF1-type ATP synthase	
Energy production and conversion	FoF1-type ATP synthase, delta subunit		COG0712	AtpH:FoF1-type ATP synthase	
Energy production and conversion	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)		COG0713	NuoK:NADH dehydrogenase	
General function prediction only	MoxR-like ATPase		COG0714	MoxR:Cobalamine/B12 biosynthesis	
Inorganic ion transport and metabolism	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component		COG0715	TauA:	
Energy production and conversion	Flavodoxin		COG0716	FldA:Heme biosynthesis	
Nucleotide transport and metabolism	dCTP deaminase		COG0717	Dcd:Thymidylate biosynthesis	
Transcription	DNA-binding nucleoid-associated protein YbaB/EfbC		COG0718	YbaB:	
Posttranslational modification, protein turnover, chaperones	Fe-S cluster assembly scaffold protein SufB		COG0719	SufB:	
Coenzyme transport and metabolism	6-pyruvoyl-tetrahydropterin synthase		COG0720	QueD:tRNA modification	
Translation, ribosomal structure and biogenesis	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit		COG0721	GatC:Aminoacyl-tRNA synthetases	
Amino acid transport and metabolism	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase		COG0722	AroG1:Aromatic amino acid biosynthesis	
Energy production and conversion	Rieske Fe-S protein		COG0723	QcrA/PetC:	
Translation, ribosomal structure and biogenesis	RNA recognition motif (RRM) domain		COG0724	RRM:	
Inorganic ion transport and metabolism	ABC-type molybdate transport system, periplasmic Mo-binding protein ModA		COG0725	ModA:Molybdopterin biosynthesis	
Carbohydrate transport and metabolism	Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family		COG0726	CDA1:	
Cell wall/membrane/envelope biogenesis	Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family		COG0726	CDA1:	
General function prediction only	Uncharacterized protein YkgJ, contains CxxCxxCC motif		COG0727	YkgJ:	
Cell wall/membrane/envelope biogenesis	Lipid II flippase MurJ/MviN (peptidoglycan biosynthesis)		COG0728	MurJ:	
Cell wall/membrane/envelope biogenesis	Outer membrane translocation and assembly module TamA		COG0729	TamA:	
Inorganic ion transport and metabolism	Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family		COG0730	TauE:	
