L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG05418	hypothetical protein		
Function unknown	VOG05419	tail fiber protein		
Function unknown	VOG05420	DUF3797 domain-containing protein		
Function unknown	VOG05421	hypothetical protein		
Function unknown	VOG05422	hypothetical protein		
Function unknown	VOG05423	hypothetical protein		
Function unknown	VOG05424	minor head protein		
Function unknown	VOG05425	hypothetical protein		
Function unknown	VOG05426	hypothetical protein		
Function unknown	VOG05427	hypothetical protein		
Function unknown	VOG05428	gp367		
Function unknown	VOG05429	tail length tape measure protein		
Function unknown	VOG05430	hypothetical protein		
Function unknown	VOG05431	hypothetical protein		
Function unknown	VOG05432	Putative uncharacterized protein StfE		STFE_ECOLI
Function unknown	VOG05433	hypothetical protein		
Function unknown	VOG05434	DUF3113 family protein		
Function unknown	VOG05435	hypothetical protein		
Function unknown	VOG05436	minor tail protein		
Function unknown	VOG05437	hypothetical protein		
Function unknown	VOG05438	hypothetical protein		
Function unknown	VOG05439	hypothetical protein		
Function unknown	VOG05440	hypothetical protein		
Virus protein with function beneficial for the host	VOG05441	Uncharacterized protein ycf35		YCF35_GUITH
Function unknown	VOG05442	hypothetical protein		
Function unknown	VOG05443	DUF4222 domain-containing protein		
Function unknown	VOG05444	hypothetical protein		
Function unknown	VOG05445	hypothetical protein		
Function unknown	VOG05446	hypothetical protein		
Function unknown	VOG05447	hypothetical protein		
Function unknown	VOG05448	hypothetical protein		
Function unknown	VOG05449	hypothetical protein		
Function unknown	VOG05450	hypothetical protein		
Function unknown	VOG05451	hypothetical protein		
Function unknown	VOG05452	hypothetical protein		
Function unknown	VOG05453	hypothetical protein		
Function unknown	VOG05454	terminase small subunit		
Function unknown	VOG05455	hypothetical protein		
Function unknown	VOG05456	hypothetical protein		
Function unknown	VOG05457	hypothetical protein		
Function unknown	VOG05458	hypothetical protein		
Function unknown	VOG05459	hypothetical protein		
Function unknown	VOG05460	hypothetical protein		
Function unknown	VOG05461	hypothetical protein		
Function unknown	VOG05462	hypothetical protein		
Function unknown	VOG05463	hypothetical protein		
Function unknown	VOG05464	hypothetical protein		
Function unknown	VOG05465	hypothetical protein		
Function unknown	VOG05466	hypothetical protein		
Function unknown	VOG05467	hypothetical protein		
Function unknown	VOG05468	hypothetical protein		
Function unknown	VOG05469	Arc-like repressor		
Function unknown	VOG05470	hypothetical protein		
Function unknown	VOG05471	hypothetical protein		
Function unknown	VOG05472	tail spike protein		
Function unknown	VOG05473	hypothetical protein		
Function unknown	VOG05474	hypothetical protein		
Function unknown	VOG05475	Uncharacterized protein ORF529		Y529_ATV
Function unknown	VOG05476	hypothetical protein		
Function unknown	VOG05477	hypothetical protein		
Function unknown	VOG05478	hypothetical protein		
Function unknown	VOG05479	hypothetical protein		
Function unknown	VOG05480	hypothetical protein		
Function unknown	VOG05481	hypothetical protein		
Function unknown	VOG05482	hypothetical protein		
Function unknown	VOG05483	hypothetical protein		
Function unknown	VOG05484	hypothetical protein		
Function unknown	VOG05485	Rz-like spanin		
Function unknown	VOG05486	hypothetical protein		
Function unknown	VOG05487	hypothetical protein		
Function unknown	VOG05488	hypothetical protein		
Function unknown	VOG05489	hypothetical protein		
Function unknown	VOG05490	hypothetical protein		
Function unknown	VOG05491	putative virion structural protein		
Function unknown	VOG05492	hypothetical protein		
Function unknown	VOG05493	hypothetical protein		
Function unknown	VOG05494	hypothetical protein		
Function unknown	VOG05495	hypothetical protein		
Function unknown	VOG05496	hypothetical protein		
Function unknown	VOG05497	hypothetical protein		
Function unknown	VOG05498	hypothetical protein		
Virus protein with function beneficial for the host	VOG05499	Autonomous glycyl radical cofactor		GRCA_BPT4
Function unknown	VOG05500	holin		
Function unknown	VOG05501	hypothetical protein		
Function unknown	VOG05502	hypothetical protein		
Function unknown	VOG05503	hypothetical protein		
Function unknown	VOG05504	hypothetical protein		
Function unknown	VOG05505	hypothetical protein		
Function unknown	VOG05506	hypothetical protein		
Function unknown	VOG05507	hypothetical protein		
Function unknown	VOG05508	head scaffolding protein		
Function unknown	VOG05509	hypothetical protein		
Virus replication	VOG05510	Small ribosomal subunit protein bS21		RS21_YERPP
Function unknown	VOG05511	Uncharacterized 6.6 kDa protein in segB-ipI intergenic region		Y07D_BPT4
Function unknown	VOG05512	hypothetical protein		
Function unknown	VOG05513	hypothetical protein		
Function unknown	VOG05514	DNA polymerase/primase		
Function unknown	VOG05515	hypothetical protein		
Function unknown	VOG05516	hypothetical protein		
Function unknown	VOG05517	hypothetical protein		
Function unknown	VOG05518	hypothetical protein		
Function unknown	VOG05519	hypothetical protein		
Function unknown	VOG05520	hypothetical protein		
Function unknown	VOG05521	hypothetical protein		
Function unknown	VOG05522	hypothetical protein		
Function unknown	VOG05523	head protein		
Function unknown	VOG05524	hypothetical protein		
Function unknown	VOG05525	hypothetical protein		
Function unknown	VOG05526	Uncharacterized 10.1 kDa protein in nrdA-td intergenic region		Y14B_BPT4
Function unknown	VOG05527	hypothetical protein		
Function unknown	VOG05528	hypothetical protein		
Function unknown	VOG05529	hypothetical protein		
Function unknown	VOG05530	hypothetical protein		
Function unknown	VOG05531	hypothetical protein		
Function unknown	VOG05532	hypothetical protein		
Function unknown	VOG05533	hypothetical protein		
Function unknown	VOG05534	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG05535	Internal virion protein gp20		GP20_BPP22
Virus protein with function beneficial for the host	VOG05536	Acetylornithine aminotransferase		ARGD_METTH
Function unknown	VOG05537	hypothetical protein		
Function unknown	VOG05538	hypothetical protein		
Function unknown	VOG05539	DarB-like antirestriction		
Function unknown	VOG05540	Holliday junction resolvase		
Function unknown	VOG05541	hypothetical protein		
Function unknown	VOG05542	hypothetical protein		
Function unknown	VOG05543	hypothetical protein		
Function unknown	VOG05544	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG05545	GemA protein		GEMA_BPD10
Function unknown	VOG05546	hypothetical protein		
Function unknown	VOG05547	hypothetical protein		
Function unknown	VOG05548	hypothetical protein		
Function unknown	VOG05549	hypothetical protein		
Function unknown	VOG05550	hypothetical protein		
Function unknown	VOG05551	hypothetical protein		
Function unknown	VOG05552	hypothetical protein		
Function unknown	VOG05553	hypothetical protein		
Function unknown	VOG05554	hypothetical protein		
Function unknown	VOG05555	hypothetical protein		
Function unknown	VOG05556	hypothetical protein		
Function unknown	VOG05557	hypothetical protein		
Function unknown	VOG05558	hypothetical protein		
Function unknown	VOG05559	hypothetical protein		
Function unknown	VOG05560	hypothetical protein		
Function unknown	VOG05561	hypothetical protein		
Function unknown	VOG05562	hypothetical protein		
Function unknown	VOG05563	hypothetical protein		
Function unknown	VOG05564	hypothetical protein		
Function unknown	VOG05565	hypothetical protein		
Function unknown	VOG05566	hypothetical protein		
Function unknown	VOG05567	hypothetical protein		
Function unknown	VOG05568	hypothetical protein		
Function unknown	VOG05569	hypothetical protein		
Function unknown	VOG05570	hypothetical protein		
Function unknown	VOG05571	hypothetical protein		
Function unknown	VOG05572	hypothetical protein		
Function unknown	VOG05573	hypothetical protein		
Function unknown	VOG05574	hypothetical protein		
Function unknown	VOG05575	hypothetical protein		
Function unknown	VOG05576	transcriptional regulator		
Function unknown	VOG05577	hypothetical protein		
Function unknown	VOG05578	hypothetical protein		
Function unknown	VOG05579	hypothetical protein		
Function unknown	VOG05580	hypothetical protein		
Function unknown	VOG05581	hypothetical protein		
Function unknown	VOG05582	hypothetical protein		
Function unknown	VOG05583	hypothetical protein		
Function unknown	VOG05584	hypothetical protein		
Function unknown	VOG05585	hypothetical protein		
Function unknown	VOG05586	hypothetical protein		
Function unknown	VOG05587	hypothetical protein		
Function unknown	VOG05588	hypothetical protein		
Function unknown	VOG05589	hypothetical protein		
Function unknown	VOG05590	hypothetical protein		
Function unknown	VOG05591	hypothetical protein		
Function unknown	VOG05592	hypothetical protein		
Function unknown	VOG05593	hypothetical protein		
Function unknown	VOG05594	hypothetical protein		
Function unknown	VOG05595	superinfection exclusion		
Function unknown	VOG05596	hypothetical protein		
Function unknown	VOG05597	hypothetical protein		
Function unknown	VOG05598	hypothetical protein		
Function unknown	VOG05599	hypothetical protein		
Function unknown	VOG05600	guanylate kinase		
Function unknown	VOG05601	hypothetical protein		
Function unknown	VOG05602	hypothetical protein		
Function unknown	VOG05603	hypothetical protein		
Function unknown	VOG05604	hypothetical protein		
Function unknown	VOG05605	hypothetical protein		
Function unknown	VOG05606	hypothetical protein		
Function unknown	VOG05607	Putative protein ninY		NINY_BPP22
Function unknown	VOG05608	hypothetical protein		
Function unknown	VOG05609	long tail fiber protein distal subunit		
Function unknown	VOG05610	terminase small subunit		
Function unknown	VOG05611	hypothetical protein		
Function unknown	VOG05612	hypothetical protein		
Function unknown	VOG05613	hypothetical protein		
Function unknown	VOG05614	hypothetical protein		
Function unknown	VOG05615	hypothetical protein		
Function unknown	VOG05616	hypothetical protein		
Function unknown	VOG05617	hypothetical protein		
Function unknown	VOG05618	Hef-like homing endonuclease		
Function unknown	VOG05619	DNA primase		
Function unknown	VOG05620	hypothetical protein		
Function unknown	VOG05621	hypothetical protein		
Function unknown	VOG05622	hypothetical protein		
Function unknown	VOG05623	hypothetical protein		
Function unknown	VOG05624	hypothetical protein		
Function unknown	VOG05625	tail spike protein		
Function unknown	VOG05626	hypothetical protein		
Function unknown	VOG05627	hypothetical protein		
Function unknown	VOG05628	hypothetical protein		
Function unknown	VOG05629	hypothetical protein		
Function unknown	VOG05630	hypothetical protein		
Function unknown	VOG05631	DNA primase/helicase		
Function unknown	VOG05632	exonuclease		
Function unknown	VOG05633	immunity repressor		
Function unknown	VOG05634	hypothetical protein		
Function unknown	VOG05635	hypothetical protein		
Function unknown	VOG05636	peptidase		
Function unknown	VOG05637	hypothetical protein		
Function unknown	VOG05638	hypothetical protein		
Function unknown	VOG05639	hypothetical protein		
Function unknown	VOG05640	hypothetical protein		
Function unknown	VOG05641	membrane protein		
Function unknown	VOG05642	pectate lyase		
Function unknown	VOG05643	Uncharacterized 7.9 kDa protein in mobB-Gp55 intergenic region		Y03G_BPT4
Function unknown	VOG05644	hypothetical protein		
Function unknown	VOG05645	hypothetical protein		
Function unknown	VOG05646	polymerase		
Function unknown	VOG05647	hypothetical protein		
Function unknown	VOG05648	minor head protein		
Function unknown	VOG05649	hypothetical protein		
Function unknown	VOG05650	hypothetical protein		
Function unknown	VOG05651	hypothetical protein		
Function unknown	VOG05652	hypothetical protein		
Function unknown	VOG05653	Rz-like spanin		
Virus structure	VOG05654	Tail fiber assembly helper protein		GP57_BPT4
Function unknown	VOG05655	hypothetical protein		
Function unknown	VOG05656	hypothetical protein		
Function unknown	VOG05657	hypothetical protein		
Function unknown	VOG05658	internal head protein		
Function unknown	VOG05659	hypothetical protein		
Function unknown	VOG05660	hypothetical protein		
Function unknown	VOG05661	hypothetical protein		
Function unknown	VOG05662	minor head protein		
Function unknown	VOG05663	hypothetical protein		
Function unknown	VOG05664	hypothetical protein		
Virus protein with function beneficial for the host	VOG05665	Uncharacterized AAA domain-containing protein ycf46		YCF46_TRICV
Function unknown	VOG05666	terminase large subunit		
Function unknown	VOG05667	hypothetical protein		
Function unknown	VOG05668	hypothetical protein		
Function unknown	VOG05669	hypothetical protein		
Function unknown	VOG05670	hypothetical protein		
Function unknown	VOG05671	hypothetical protein		
Function unknown	VOG05672	hypothetical protein		
Function unknown	VOG05673	hypothetical protein		
Function unknown	VOG05674	hypothetical protein		
Function unknown	VOG05675	hypothetical protein		
Function unknown	VOG05676	minor tail protein		
Function unknown	VOG05677	hypothetical protein		
Function unknown	VOG05678	hypothetical protein		
Function unknown	VOG05679	hypothetical protein		
Function unknown	VOG05680	hypothetical protein		
Function unknown	VOG05681	hypothetical protein		
Function unknown	VOG05682	hypothetical protein		
Function unknown	VOG05683	phosphodiesterase		
Function unknown	VOG05684	hypothetical protein		
Function unknown	VOG05685	hypothetical protein		
Function unknown	VOG05686	hypothetical protein		
Function unknown	VOG05687	hypothetical protein		
Function unknown	VOG05688	hypothetical protein		
Function unknown	VOG05689	hypothetical protein		
Function unknown	VOG05690	hypothetical protein		
Function unknown	VOG05691	Uncharacterized 16.0 kDa protein in segB-ipI intergenic region		Y07C_BPT4
Function unknown	VOG05692	hypothetical protein		
Function unknown	VOG05693	hypothetical protein		
Function unknown	VOG05694	hypothetical protein		
Function unknown	VOG05695	hypothetical protein		
Function unknown	VOG05696	hypothetical protein		
Function unknown	VOG05697	helicase DnaB		
Function unknown	VOG05698	tail fiber protein		
Function unknown	VOG05699	DnaD-like helicase loader		
Function unknown	VOG05700	Protein 0.5		Y05_BPT7
Function unknown	VOG05701	hypothetical protein		
Function unknown	VOG05702	hypothetical protein		
Function unknown	VOG05703	hypothetical protein		
Function unknown	VOG05704	hypothetical protein		
Virus protein with function beneficial for the host	VOG05705	Endonuclease V		END5_BPT4
Function unknown	VOG05706	hypothetical protein		
Virus protein with function beneficial for the host	VOG05707	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating		6PGD_HALVD
Function unknown	VOG05708	hypothetical protein		
Function unknown	VOG05709	hypothetical protein		
Function unknown	VOG05710	hypothetical protein		
Function unknown	VOG05711	glycosyltransferase		
Function unknown	VOG05712	hypothetical protein		
Function unknown	VOG05713	hypothetical protein		
Function unknown	VOG05714	hypothetical protein		
Function unknown	VOG05715	hypothetical protein		
Function unknown	VOG05716	hypothetical protein		
Function unknown	VOG05717	hypothetical protein		
Function unknown	VOG05718	virion structural protein		
Function unknown	VOG05719	hypothetical protein		
Function unknown	VOG05720	hypothetical protein		
Function unknown	VOG05721	hypothetical protein		
Function unknown	VOG05722	hypothetical protein		
Function unknown	VOG05723	hypothetical protein		
Function unknown	VOG05724	hypothetical protein		
Function unknown	VOG05725	hypothetical protein		
Function unknown	VOG05726	hypothetical protein		
Function unknown	VOG05727	hypothetical protein		
Function unknown	VOG05728	hypothetical protein		
Function unknown	VOG05729	hypothetical protein		
Function unknown	VOG05730	hypothetical protein		
Function unknown	VOG05731	hypothetical protein		
Function unknown	VOG05732	hypothetical protein		
Function unknown	VOG05733	hypothetical protein		
Function unknown	VOG05734	hypothetical protein		
Function unknown	VOG05735	hypothetical protein		
Function unknown	VOG05736	hypothetical protein		
Function unknown	VOG05737	hypothetical protein		
Function unknown	VOG05738	hypothetical protein		
Function unknown	VOG05739	endolysin		
Function unknown	VOG05740	hypothetical protein		
Function unknown	VOG05741	hypothetical protein		
Function unknown	VOG05742	hypothetical protein		
Function unknown	VOG05743	hypothetical protein		
Function unknown	VOG05744	hypothetical protein		
Function unknown	VOG05745	hypothetical protein		
Function unknown	VOG05746	hypothetical protein		
Function unknown	VOG05747	hypothetical protein		
Function unknown	VOG05748	tail protein		
Function unknown	VOG05749	hypothetical protein		
Function unknown	VOG05750	hypothetical protein		
Function unknown	VOG05751	hypothetical protein		
Function unknown	VOG05752	hypothetical protein		
Function unknown	VOG05753	hypothetical protein		
Function unknown	VOG05754	virion structural protein		
Function unknown	VOG05755	virion structural protein		
Function unknown	VOG05756	hypothetical protein		
Function unknown	VOG05757	hypothetical protein		
Function unknown	VOG05758	hypothetical protein		
Function unknown	VOG05759	hypothetical protein		
Function unknown	VOG05760	hypothetical protein		
Function unknown	VOG05761	hypothetical protein		
Function unknown	VOG05762	nucleoside triphosphate pyrophosphohydrolase		
Function unknown	VOG05763	hypothetical protein		
Function unknown	VOG05764	virion structural protein		
Function unknown	VOG05765	hypothetical protein		
Function unknown	VOG05766	hypothetical protein		
Function unknown	VOG05767	hypothetical protein		
Function unknown	VOG05768	CII-like transcriptional activator		
Function unknown	VOG05769	hypothetical protein		
Function unknown	VOG05770	hypothetical protein		
Function unknown	VOG05771	hypothetical protein		
Function unknown	VOG05772	hypothetical protein		
Function unknown	VOG05773	hypothetical protein		
Function unknown	VOG05774	hypothetical protein		
Function unknown	VOG05775	hypothetical protein		
Function unknown	VOG05776	hypothetical protein		
Function unknown	VOG05777	hypothetical protein		
Function unknown	VOG05778	hypothetical protein		
Function unknown	VOG05779	hypothetical protein		
Function unknown	VOG05780	hypothetical protein		
Function unknown	VOG05781	hypothetical protein		
Function unknown	VOG05782	hypothetical protein		
Function unknown	VOG05783	DNA topoisomerase		
Function unknown	VOG05784	hypothetical protein		
Function unknown	VOG05785	hypothetical protein		
Function unknown	VOG05786	hypothetical protein		
Function unknown	VOG05787	hypothetical protein		
Function unknown	VOG05788	hypothetical protein		
Function unknown	VOG05789	terminase small subunit		
Function unknown	VOG05790	hypothetical protein		
Function unknown	VOG05791	hypothetical protein		
Function unknown	VOG05792	hypothetical protein		
Function unknown	VOG05793	hypothetical protein		
Function unknown	VOG05794	hypothetical protein		
Function unknown	VOG05795	hypothetical protein		
Function unknown	VOG05796	hypothetical protein		
Function unknown	VOG05797	hypothetical protein		
Function unknown	VOG05798	hypothetical protein		
Function unknown	VOG05799	Arc-like repressor		
Function unknown	VOG05800	hypothetical protein		
Function unknown	VOG05801	hypothetical protein		
Function unknown	VOG05802	hypothetical protein		
Function unknown	VOG05803	hypothetical protein		
Function unknown	VOG05804	hypothetical protein		
Function unknown	VOG05805	hypothetical protein		
Function unknown	VOG05806	hypothetical protein		
Function unknown	VOG05807	hypothetical protein		
Function unknown	VOG05808	hypothetical protein		
Function unknown	VOG05809	hypothetical protein		
Function unknown	VOG05810	hypothetical protein		
Function unknown	VOG05811	hypothetical protein		
Function unknown	VOG05812	hypothetical protein		
Function unknown	VOG05813	hypothetical protein		
Function unknown	VOG05814	hypothetical protein		
Function unknown	VOG05815	hypothetical protein		
Function unknown	VOG05816	hypothetical protein		
Function unknown	VOG05817	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG05818	Peptidoglycan hydrolase gp4		EXLYS_BPP22
Function unknown	VOG05819	YjcQ family protein		
Function unknown	VOG05820	hypothetical protein		
Function unknown	VOG05821	hypothetical protein		
Function unknown	VOG05822	hypothetical protein		
Function unknown	VOG05823	hypothetical protein		
Function unknown	VOG05824	hypothetical protein		
Function unknown	VOG05825	SPbeta prophage-derived uncharacterized protein YotM		YOTM_BACSU
Function unknown	VOG05826	hypothetical protein		
Virus protein with function beneficial for the virus	VOG05827	T4 Suppressor of prr		STP_BPT4
Function unknown	VOG05828	Uncharacterized 58.7 kDa protein in lys 3'region		YO35_BPHC1
Function unknown	VOG05829	tail spike protein		
Function unknown	VOG05830	hypothetical protein		
Function unknown	VOG05831	hypothetical protein		
Function unknown	VOG05832	hypothetical protein		
Function unknown	VOG05833	gp83		
Function unknown	VOG05834	hypothetical protein		
Function unknown	VOG05835	hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG05836	Tape measure protein		TMP_BPT4
Function unknown	VOG05837	hypothetical protein		
Function unknown	VOG05838	hypothetical protein		
Function unknown	VOG05839	DUF658 family protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG05840	Peptidoglycan hydrolase gp181		EXLYS_BPDPK
Function unknown	VOG05841	hypothetical protein		
Function unknown	VOG05842	hypothetical protein		
Function unknown	VOG05843	hypothetical protein		
Function unknown	VOG05844	hypothetical protein		
Virus protein with function beneficial for the host	VOG05845	Protein fil		VFIL_BP186
Function unknown	VOG05846	hypothetical protein		
Function unknown	VOG05847	hypothetical protein		
Function unknown	VOG05848	hypothetical protein		
Virus replication	VOG05849	Deoxyuridine 5'-triphosphate nucleotidohydrolase		DUT_CHLTE
Function unknown	VOG05850	hypothetical protein		
Function unknown	VOG05851	hypothetical protein		
Function unknown	VOG05852	hypothetical protein		
Function unknown	VOG05853	hypothetical protein		
Function unknown	VOG05854	tail length tape measure protein		
Function unknown	VOG05855	hypothetical protein		
Function unknown	VOG05856	hypothetical protein		
Function unknown	VOG05857	Uncharacterized 10.9 kDa protein in regB-denV intergenic region		Y06F_BPT4
Function unknown	VOG05858	hypothetical protein		
Function unknown	VOG05859	hypothetical protein		
Function unknown	VOG05860	virion structural protein		
Function unknown	VOG05861	hypothetical protein		
Function unknown	VOG05862	DUF2158 domain-containing protein		
Function unknown	VOG05863	hypothetical protein		
Function unknown	VOG05864	hypothetical protein		
Function unknown	VOG05865	hypothetical protein		
Function unknown	VOG05866	hypothetical protein		
Function unknown	VOG05867	DUF3310 domain-containing protein		
Function unknown	VOG05868	hypothetical protein		
Function unknown	VOG05869	minor tail protein		
Function unknown	VOG05870	hypothetical protein		
Function unknown	VOG05871	hypothetical protein		
Function unknown	VOG05872	hypothetical protein		
Function unknown	VOG05873	hypothetical protein		
Function unknown	VOG05874	hypothetical protein		
Function unknown	VOG05875	hypothetical protein		
Function unknown	VOG05876	gp265		
Function unknown	VOG05877	minor tail protein		
Function unknown	VOG05878	hypothetical protein		
Function unknown	VOG05879	hypothetical protein		
Function unknown	VOG05880	hypothetical protein		
Function unknown	VOG05881	hypothetical protein		
Function unknown	VOG05882	hypothetical protein		
Function unknown	VOG05883	putative HD domain protein		
Function unknown	VOG05884	hypothetical protein		
Virus protein with function beneficial for the host	VOG05885	Late control gene B protein		VPB_BP186
Function unknown	VOG05886	hypothetical protein		
Function unknown	VOG05887	hypothetical protein		
Function unknown	VOG05888	hypothetical protein		
Function unknown	VOG05889	hypothetical protein		
Function unknown	VOG05890	hypothetical protein		
Function unknown	VOG05891	hypothetical protein		
Function unknown	VOG05892	DUF2513 domain-containing protein		
Function unknown	VOG05893	hypothetical protein		
Function unknown	VOG05894	hypothetical protein		
Function unknown	VOG05895	hypothetical protein		
Function unknown	VOG05896	hypothetical protein		
Function unknown	VOG05897	tail tube protein		
Function unknown	VOG05898	hypothetical protein		
Function unknown	VOG05899	hypothetical protein		
Function unknown	VOG05900	hypothetical protein		
Function unknown	VOG05901	hypothetical protein		
Function unknown	VOG05902	hypothetical protein		
Function unknown	VOG05903	hypothetical protein		
Function unknown	VOG05904	hypothetical protein		
Function unknown	VOG05905	hypothetical protein		
Function unknown	VOG05906	hypothetical protein		
Function unknown	VOG05907	hypothetical protein		
Function unknown	VOG05908	hypothetical protein		
Virus protein with function beneficial for the host	VOG05909	Probable iron transport system membrane protein HI_0359		Y359_HAEIN
Function unknown	VOG05910	sigma factor		
Function unknown	VOG05911	hypothetical protein		
Function unknown	VOG05912	hypothetical protein		
Function unknown	VOG05913	hypothetical protein		
Function unknown	VOG05914	hypothetical protein		
Function unknown	VOG05915	hypothetical protein		
Function unknown	VOG05916	PIG-L family deacetylase		
Function unknown	VOG05917	hypothetical protein		
Function unknown	VOG05918	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG05919	Replication gene B protein		VPB_BPP2
Function unknown	VOG05920	hypothetical protein		
Function unknown	VOG05921	hypothetical protein		
Function unknown	VOG05922	hypothetical protein		
Function unknown	VOG05923	hypothetical protein		
Function unknown	VOG05924	hypothetical protein		
Function unknown	VOG05925	hypothetical protein		
Function unknown	VOG05926	Lysis inhibition accessory protein		LINR3_BPT4
Function unknown	VOG05927	hypothetical protein		
Function unknown	VOG05928	hypothetical protein		
Function unknown	VOG05929	hypothetical protein		
Function unknown	VOG05930	hypothetical protein		
Function unknown	VOG05931	hypothetical protein		
Function unknown	VOG05932	hypothetical protein		
Function unknown	VOG05933	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG05934	5-hmdU DNA kinase		HMUDK_BPS10
Function unknown	VOG05935	hypothetical protein		
Function unknown	VOG05936	hypothetical protein		
Function unknown	VOG05937	hypothetical protein		
Function unknown	VOG05938	hypothetical protein		
Function unknown	VOG05939	head-tail connector protein		
Function unknown	VOG05940	hypothetical protein		
Function unknown	VOG05941	hypothetical protein		
Function unknown	VOG05942	hypothetical protein		
Function unknown	VOG05943	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG05944	Early protein GP17		VG17_BPB03
Function unknown	VOG05945	hypothetical protein		
Function unknown	VOG05946	hypothetical protein		
Function unknown	VOG05947	hypothetical protein		
Function unknown	VOG05948	Protein 4.7		Y47_BPT7
Function unknown	VOG05949	hypothetical protein		
Function unknown	VOG05950	hypothetical protein		
Function unknown	VOG05951	hypothetical protein		
Function unknown	VOG05952	head-tail connector protein		
Function unknown	VOG05953	hypothetical protein		
Function unknown	VOG05954	hypothetical protein		
Function unknown	VOG05955	hypothetical protein		
Function unknown	VOG05956	hypothetical protein		
Function unknown	VOG05957	hypothetical protein		
Function unknown	VOG05958	hypothetical protein		
Function unknown	VOG05959	hypothetical protein		
Virus structure	VOG05960	Ring protein 1		RING1_BPCA1
Function unknown	VOG05961	hypothetical protein		
Function unknown	VOG05962	hypothetical protein		
Function unknown	VOG05963	tail length tape measure protein		
Function unknown	VOG05964	hypothetical protein		
Function unknown	VOG05965	hypothetical protein		
Function unknown	VOG05966	hypothetical protein		
Function unknown	VOG05967	ORF13		
Function unknown	VOG05968	hypothetical protein		
Function unknown	VOG05969	hypothetical protein		
Function unknown	VOG05970	EIAV coat protein-like protein		
Function unknown	VOG05971	Uncharacterized 9.2 kDa protein		Y9KD_BPBF2
Function unknown	VOG05972	hypothetical protein		
Function unknown	VOG05973	hypothetical protein		
Function unknown	VOG05974	hypothetical protein		
Function unknown	VOG05975	hypothetical protein		
Function unknown	VOG05976	hypothetical protein		
Function unknown	VOG05977	hypothetical protein		
Function unknown	VOG05978	Protein OPG049		PG049_MONPV
Function unknown	VOG05979	hypothetical protein		
Function unknown	VOG05980	hypothetical protein		
Function unknown	VOG05981	hypothetical protein		
Function unknown	VOG05982	hypothetical protein		
Function unknown	VOG05983	hypothetical protein		
Function unknown	VOG05984	hypothetical protein		
Function unknown	VOG05985	hypothetical protein		
Function unknown	VOG05986	hypothetical protein		
Function unknown	VOG05987	hypothetical protein		
Function unknown	VOG05988	hypothetical protein		
Function unknown	VOG05989	putative preprotein translocase (YajC subunit)		
Function unknown	VOG05990	hypothetical protein		
Function unknown	VOG05991	hypothetical protein		
Function unknown	VOG05992	hypothetical protein		
Function unknown	VOG05993	hypothetical protein		
Function unknown	VOG05994	hypothetical protein		
Function unknown	VOG05995	hypothetical protein		
Function unknown	VOG05996	putative glycoprotein		
Function unknown	VOG05997	hypothetical protein		
Function unknown	VOG05998	hypothetical protein		
Function unknown	VOG05999	hypothetical protein		
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG06000	Cargo protein 2		CARG2_BPCA1
Function unknown	VOG06001	hypothetical protein		
Function unknown	VOG06002	hypothetical protein		
Function unknown	VOG06003	hypothetical protein		
Function unknown	VOG06004	hypothetical protein		
Function unknown	VOG06005	hypothetical protein		
Function unknown	VOG06006	nuclear pore complex-like protein		
Function unknown	VOG06007	hypothetical protein		
Function unknown	VOG06008	hypothetical protein		
Function unknown	VOG06009	hypothetical protein		
Function unknown	VOG06010	hypothetical protein		
Function unknown	VOG06011	hypothetical protein		
Function unknown	VOG06012	tail protein		
Function unknown	VOG06013	hypothetical protein		
Function unknown	VOG06014	hypothetical protein		
Function unknown	VOG06015	hypothetical protein		
Function unknown	VOG06016	membrane protein		
Function unknown	VOG06017	hypothetical protein		
Function unknown	VOG06018	hypothetical protein		
Function unknown	VOG06019	hypothetical protein		
Function unknown	VOG06020	segregation and condensation protein B		
Function unknown	VOG06021	hypothetical protein		
Function unknown	VOG06022	hypothetical protein		
Function unknown	VOG06023	Uncharacterized protein C-102a		C102A_SSV1
Function unknown	VOG06024	hypothetical protein		
Function unknown	VOG06025	hypothetical protein		
Function unknown	VOG06026	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG06027	P3N-PIPO polyprotein		MVP_PEMVC
Function unknown	VOG06028	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG06029	Non-structural glycoprotein 4		NSP4_ROTB2
Function unknown	VOG06030	hypothetical protein		
