L1	L2	L3	L4	ID	Function	EC
Coenzyme transport and metabolism	Menaquinone biosynthesis	MenD	5Z2P	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	
Amino acid transport and metabolism		SpeA	3N2O	COG1166	Arginine decarboxylase (spermidine biosynthesis)	
TranscriptionAmino acid transport and metabolism	Lysine biosynthesis	ARO8	2R2N	COG1167	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain	
Amino acid transport and metabolismGeneral function prediction only		MalY	4DGT	COG1168	Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities	
Coenzyme transport and metabolismSecondary metabolites biosynthesis, transport and catabolism	Menaquinone biosynthesis	MenF	5JXZ	COG1169	Isochorismate synthase EntC	
Amino acid transport and metabolism	Isoleucine, leucine, valine biosynthesis	IlvA	3IAU	COG1171	Threonine deaminase	
Carbohydrate transport and metabolism		AraH		COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component	
Amino acid transport and metabolismInorganic ion transport and metabolism		DppC		COG1173	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	
Amino acid transport and metabolism		OpuBB		COG1174	ABC-type proline/glycine betaine transport system, permease component	
Carbohydrate transport and metabolism		UgpA	3FH6	COG1175	ABC-type sugar transport system, permease component	
Amino acid transport and metabolism		PotB		COG1176	ABC-type spermidine/putrescine transport system, permease component I	
Amino acid transport and metabolism		PotC		COG1177	ABC-type spermidine/putrescine transport system, permease component II	
Inorganic ion transport and metabolism		FbpB		COG1178	ABC-type Fe3+ transport system, permease component	
Translation, ribosomal structure and biogenesis	tRNA modification	TcdA	4D7A	COG1179	tRNA A37 threonylcarbamoyladenosine dehydratase	
Posttranslational modification, protein turnover, chaperones		PflA	3CAN	COG1180	Pyruvate-formate lyase-activating enzyme	
Cell wall/membrane/envelope biogenesisGeneral function prediction only	Mureine biosynthesis	DdlA	1E4E	COG1181	D-alanine-D-alanine ligase or related ATP-grasp enzyme	
Energy production and conversion		AzoR	1TIK	COG1182	FMN-dependent NADH-azoreductase	
Lipid transport and metabolism		PssA		COG1183	Phosphatidylserine synthase	
Translation, ribosomal structure and biogenesis	Translation factors	GCD2	5B04	COG1184	Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family	
Translation, ribosomal structure and biogenesis		Pnp	1E3P	COG1185	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	
Translation, ribosomal structure and biogenesis	Translation factors	PrfB	1GQE	COG1186	Protein chain release factor PrfB	
Translation, ribosomal structure and biogenesis	16S rRNA modification	RsuA	1KSK	COG1187	Pseudouridylate synthase RsuA, specific for 16S rRNA U516  and 23S rRNA U2605	
Translation, ribosomal structure and biogenesis		HslR	3BBU	COG1188	Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain	
Translation, ribosomal structure and biogenesis		YqxC	3OPN	COG1189	Predicted rRNA methylase YqxC, contains S4 and FtsJ domains	
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	LysU	1BBU	COG1190	Lysyl-tRNA synthetase (class II)	
Transcription	RNA polymerase	FliA	1RP3	COG1191	DNA-directed RNA polymerase specialized sigma subunit	
Cell cycle control, cell division, chromosome partitioningCell motility		ParA	6NOO	COG1192	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ	
Replication, recombination and repair		MutS2		COG1193	dsDNA-specific endonuclease/ATPase MutS2	
Replication, recombination and repair		MutY	1KG2	COG1194	Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs	
Replication, recombination and repair		RecF	5Z67	COG1195	Recombinational DNA repair ATPase RecF	
Cell cycle control, cell division, chromosome partitioning		Smc	5XG3	COG1196	Chromosome segregation ATPase Smc	
Replication, recombination and repairTranscription		Mfd	2EYQ	COG1197	Transcription-repair coupling factor (superfamily II helicase)	
Replication, recombination and repair		PriA	6DCR	COG1198	Primosomal protein N' (replication factor Y) - superfamily II helicase	
Replication, recombination and repair		DinG	5H8W	COG1199	Rad3-related DNA helicase DinG	
Replication, recombination and repair		RecG	1GM5	COG1200	RecG-like helicase	
Replication, recombination and repair		Lhr	5V9X	COG1201	Lhr-like helicase	
Replication, recombination and repair				COG1202	Superfamily II helicase, archaea-specific	
Defense mechanisms	CRISPR-Cas system	Cas3		COG1203	CRISPR-Cas type I system-associated endonuclease/helicase Cas3	
Replication, recombination and repair		BRR2	2VA8	COG1204	Replicative superfamily II helicase	
Replication, recombination and repair		YprA		COG1205	ATP-dependent helicase YprA,  contains C-terminal metal-binding DUF1998 domain	
Translation, ribosomal structure and biogenesis	tRNA modification	TrmFO		COG1206	Folate-dependent tRNA-U54 methylase TrmFO/GidA	
Cell wall/membrane/envelope biogenesis		GlmU	3FWW	COG1207	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase	
Translation, ribosomal structure and biogenesisCell wall/membrane/envelope biogenesis		GCD1	6JQ8	COG1208	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	
Cell wall/membrane/envelope biogenesis		RmlA1	1FXO	COG1209	dTDP-glucose pyrophosphorylase	
Cell wall/membrane/envelope biogenesis		GalU	2E3D	COG1210	UTP-glucose-1-phosphate uridylyltransferase	
Lipid transport and metabolism	Isoprenoid biosynthesis	IspD	1H3M	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	
Cell wall/membrane/envelope biogenesis	Lipid A biosynthesis	KdsB	1VH1	COG1212	CMP-2-keto-3-deoxyoctulosonic acid synthetase	
Lipid transport and metabolism			4MND	COG1213	Choline kinase	
Translation, ribosomal structure and biogenesis	tRNA modification	TsaB	1OKJ	COG1214	tRNA A37 threonylcarbamoyladenosine modification protein TsaB	
Cell motility		BcsA	4HG6	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	
Carbohydrate transport and metabolism		WcaE	2Z86	COG1216	Glycosyltransferase, GT2 family	
Signal transduction mechanisms		TypA	5A9V	COG1217	Predicted membrane GTPase TypA/BipA involved in stress response	
Inorganic ion transport and metabolism		CysQ		COG1218	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase	
Posttranslational modification, protein turnover, chaperones		ClpX	3HTE	COG1219	ATP-dependent protease Clp, ATPase subunit ClpX	
Posttranslational modification, protein turnover, chaperones		HslU	1DO0	COG1220	ATP-dependent protease HslVU (ClpYQ), ATPase subunit HslU	
TranscriptionSignal transduction mechanisms		PspF		COG1221	Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain	
Posttranslational modification, protein turnover, chaperones		RPT1	5EQT	COG1222	ATP-dependent 26S proteasome regulatory subunit	
General function prediction only				COG1223	Predicted ATPase, AAA+ superfamily	
Transcription		TIP49	2C9O	COG1224	DNA helicase TIP49, TBP-interacting protein	
Posttranslational modification, protein turnover, chaperones		Bcp	5IPH	COG1225	Peroxiredoxin	
Inorganic ion transport and metabolism		Kch	3FWZ	COG1226	Voltage-gated potassium channel Kch	
Energy production and conversion		PPX1	1I74	COG1227	Inorganic pyrophosphatase/exopolyphosphatase	
Secondary metabolites biosynthesis, transport and catabolism		HutI	3OOQ	COG1228	Imidazolonepropionase or related amidohydrolase	
Energy production and conversion		FwdA	5T5I	COG1229	Formylmethanofuran dehydrogenase subunit A	
Inorganic ion transport and metabolism		CzcD		COG1230	Co/Zn/Cd efflux system component	
Amino acid transport and metabolism		YobN	1B37	COG1231	Monoamine oxidase	
Coenzyme transport and metabolism	Heme biosynthesis	HemY	3LOV	COG1232	Protoporphyrinogen oxidase HemY/PPOX	
Secondary metabolites biosynthesis, transport and catabolism			4REP	COG1233	Phytoene dehydrogenase-related protein	
Translation, ribosomal structure and biogenesis		ElaC	1WW1	COG1234	Ribonuclease BN, tRNA processing enzyme	
Inorganic ion transport and metabolism		PhnP	6B9V	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase	
Translation, ribosomal structure and biogenesis		YSH1	2DKF	COG1236	RNA processing exonuclease, beta-lactamase fold, Cft2 family	
General function prediction only			2P4Z	COG1237	Metal-dependent hydrolase, beta-lactamase superfamily II	
Function unknown		YgaA		COG1238	Uncharacterized membrane protein YqaA, VTT domain	
Coenzyme transport and metabolism		ChlI	1G8P	COG1239	Mg-chelatase subunit ChlI	
Coenzyme transport and metabolism		ChlD		COG1240	vWFA (von Willebrand factor type A) domain of Mg and Co chelatases	
Replication, recombination and repair		Mcm2	3F8T	COG1241	DNA replicative helicase MCM subunit Mcm2, Cdc46/Mcm family	
General function prediction only		YhcC		COG1242	Radical SAM superfamily enzyme	
Translation, ribosomal structure and biogenesis		ELP3	6IA8	COG1243	tRNA U34 5-carboxymethylaminomethylation enzyme Elp3 (RNA elongator complex protein 3), contains radical SAM and acetyltransferase domains	
Translation, ribosomal structure and biogenesis		RaSEA	6P78	COG1244	Archaeosine formation enzyme, radical SAM superfamily	
Translation, ribosomal structure and biogenesis		Rli1	3J16	COG1245	Translation initiation factor RLI1, contains Fe-S and AAA+ ATPase domains	
Amino acid transport and metabolism	Arginine biosynthesis	ArgA	2R98	COG1246	N-acetylglutamate synthase or related acetyltransferase, GNAT family	
Amino acid transport and metabolism		MnaT	3DR6	COG1247	L-amino acid N-acyltransferase MnaT	
Energy production and conversion	Glycine cleavagePyruvate oxidation	Lpd	6QKG	COG1249	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase	
Lipid transport and metabolism	Fatty acid biosynthesis	FadB	5ZQZ	COG1250	3-hydroxyacyl-CoA dehydrogenase	
Energy production and conversion		NirB		COG1251	NAD(P)H-nitrite reductase, large subunit	
Energy production and conversion		Ndh	5NA4	COG1252	NADH dehydrogenase, FAD-containing subunit	
General function prediction only		TlyC	2NQW	COG1253	Hemolysin-related protein, contains CBS domains, UPF0053 family	
Energy production and conversion		AcyP	1APS	COG1254	Acylphosphatase	
General function prediction only		MTH1000	2K4M	COG1255	Predicted small methyltransferase MTH1000, UPF0146 family	
Cell motility		FlgK	2D4Y	COG1256	Flagellar hook-associated protein FlgK	
Lipid transport and metabolism	Isoprenoid biosynthesis	HMG1	1DQ8	COG1257	Hydroxymethylglutaryl-CoA reductase	
Translation, ribosomal structure and biogenesis	tRNA modification	Pus10		COG1258	tRNA U54 and U55 pseudouridine synthase Pus10	
General function prediction only			1SJ5	COG1259	Bifunctional DNase/RNase	
Lipid transport and metabolism		INO1	1GR0	COG1260	Myo-inositol-1-phosphate synthase	
Cell motility		FlgA	3VJP	COG1261	Flagellar basal body P-ring formation protein FlgA	
Posttranslational modification, protein turnover, chaperones		YfmG	2AFT	COG1262	Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain	
Carbohydrate transport and metabolism		PtsG1		COG1263	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific	
Carbohydrate transport and metabolism		PtsG2	1IBA	COG1264	Phosphotransferase system IIB components	
Posttranslational modification, protein turnover, chaperones		YdiL		COG1266	Membrane protease YdiL, CAAX protease family	
Lipid transport and metabolism	Phospholipid biosynthesis	PgpA	1RFZ	COG1267	Phosphatidylglycerophosphatase A	
Coenzyme transport and metabolism		BioY	4DVE	COG1268	Biotin transporter BioY	
Energy production and conversion	A/V-type ATP synthase	NtpI	2JTW	COG1269	Archaeal/vacuolar-type H+-ATPase subunit I/STV1	
Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis	CbiB		COG1270	Cobalamin biosynthesis protein CobD/CbiB	
Energy production and conversion		AppC	5DOQ	COG1271	Cytochrome bd-type quinol oxidase, subunit 1	
Intracellular trafficking, secretion, and vesicular transport		YqfA	3WXV	COG1272	Predicted membrane channel-forming protein YqfA, hemolysin III family	
Replication, recombination and repair		YkoV		COG1273	Non-homologous end joining protein Ku, dsDNA break repair	
Energy production and conversion	Gluconeogenesis	PepCK	4R43	COG1274	Phosphoenolpyruvate carboxykinase, GTP-dependent	
Defense mechanisms		TehA	3M71	COG1275	Tellurite resistance protein TehA and related permeases	
Inorganic ion transport and metabolism		PcoD		COG1276	Putative copper export protein	
Posttranslational modification, protein turnover, chaperones		NosY		COG1277	ABC-type transport system involved in multi-copper enzyme maturation, permease component	
Transcription		CspC	1C9O	COG1278	Cold shock protein, CspA family	
Amino acid transport and metabolism		ArgO		COG1279	Arginine exporter protein ArgO	
Amino acid transport and metabolism		RhtB		COG1280	Threonine/homoserine/homoserine lactone efflux protein	
Posttranslational modification, protein turnover, chaperones		HslO	1HW7	COG1281	Redox-regulated molecular chaperone, HSP33 family	
Energy production and conversion		PntB	1D4O	COG1282	NAD/NADP transhydrogenase beta subunit	
Inorganic ion transport and metabolism		NptA		COG1283	Na+/phosphate symporter	
Function unknown		YitT	3HLU	COG1284	Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains	
Inorganic ion transport and metabolism		SapB		COG1285	Magnesium uptake protein YhiD/SapB, involved in acid resistance	
Nucleotide transport and metabolismCell wall/membrane/envelope biogenesis		CvpA		COG1286	Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation	
Posttranslational modification, protein turnover, chaperones		Stt3	2LGZ	COG1287	Asparagine N-glycosylation enzyme, membrane subunit Stt3	
General function prediction only		YfcC		COG1288	Predicted membrane transporter YfcC, affects glyoxylate shunt	
Function unknown		YccC		COG1289	Uncharacterized membrane protein YccC	
Energy production and conversion		QcrB/PetB	1VF5	COG1290	Cytochrome b subunit of the bc complex	
Cell motility		MotA		COG1291	Flagellar motor component MotA	
Cell wall/membrane/envelope biogenesis		BetT	2WIT	COG1292	Choline-glycine betaine transporter	
Translation, ribosomal structure and biogenesisPosttranslational modification, protein turnover, chaperones		RqcH	5H3W	COG1293	Ribosome quality control (RQC) protein RqcH, Rqc2/NEMF/Tae2 family, contains fibronectin-(FbpA) and RNA- (NFACT) binding domains	
Energy production and conversion		AppB	6RKO	COG1294	Cytochrome bd-type quinol oxidase, subunit 2	
Function unknown		BrkB		COG1295	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)	
Amino acid transport and metabolism		AzlC		COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)	
General function prediction only		OPT		COG1297	Predicted oligopeptide transporter, OPT family	
Cell motility		FlhA	6AI0	COG1298	Flagellar biosynthesis protein FlhA	
Carbohydrate transport and metabolism		FrwC		COG1299	Phosphotransferase system, fructose-specific IIC component	
Cell cycle control, cell division, chromosome partitioning		SpoIIM		COG1300	Stage II sporulation protein SpoIIM, component of the engulfment complex	
Energy production and conversion		GltP	1XFH	COG1301	Na+/H+-dicarboxylate symporter	
Function unknown		YloU		COG1302	Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family	
Translation, ribosomal structure and biogenesis		TRM56	2O3A	COG1303	tRNA C56-2-O'-methylase, SpoU family	
Energy production and conversionLipid transport and metabolismGeneral function prediction only	Isoprenoid biosynthesis	LldD	6AI7	COG1304	FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase	
Posttranslational modification, protein turnover, chaperones		YebA	3ISR	COG1305	Transglutaminase-like enzyme, putative cysteine protease	
General function prediction only			4S1A	COG1306	Predicted glycosyl hydrolase, alpha amylase family	
Lipid transport and metabolism		DegV	1MGP	COG1307	Fatty acid-binding protein DegV (function unknown)	
Transcription		EGD2	1TR8	COG1308	Transcription factor homologous to NACalpha-BTF3	
Transcription		AcrR	2QOP	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	
Posttranslational modification, protein turnover, chaperones		Rri1	2O95	COG1310	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	
Replication, recombination and repair		HYS2	3E0J	COG1311	Archaeal DNA polymerase II, small subunit/DNA polymerase delta, subunit B	
Carbohydrate transport and metabolism		UxuA	1TZ9	COG1312	D-mannonate dehydratase	
General function prediction only		PflX		COG1313	Radical SAM superfamily enzyme PflX	
Intracellular trafficking, secretion, and vesicular transport		SecG	2AKH	COG1314	Protein translocase subunit SecG	
Cell motility		FapA		COG1315	Flagellar assembly protein FapA, interacts with EIIAGlc	
Cell wall/membrane/envelope biogenesis		Cps2a	2XXP	COG1316	Anionic cell wall polymer biosynthesis enzyme TagV/TagU,  LytR-Cps2A-Psr (LCP) family (peptidoglycan teichoic acid transferase)	
Cell motilityIntracellular trafficking, secretion, and vesicular transport		FliH	5B0O	COG1317	Flagellar biosynthesis/type III secretory pathway protein FliH	
Transcription				COG1318	Predicted transcriptional regulator	
Energy production and conversion	Non-phosphorylated Entner-Doudoroff pathway	CutB	5Y6Q	COG1319	Aldehyde, CO, or xanthine dehydrogenase, FAD-binding subunit	
Inorganic ion transport and metabolism		MnhG	6CFW	COG1320	Multisubunit Na+/H+ antiporter, MnhG subunit	
Transcription		MntR	1B1B	COG1321	Mn-dependent transcriptional regulator MntR, DtxR family	
Replication, recombination and repair		RmuC		COG1322	DNA anti-recombination protein (rearrangement mutator) RmuC	
Translation, ribosomal structure and biogenesis	tRNA modification	TmcAL	5Y0T	COG1323	tRNA-Met C34-N4-acetylcytidine synthase TmcAL	
Inorganic ion transport and metabolism		CutA1	1NAQ	COG1324	Divalent cation tolerance protein CutA	
Intracellular trafficking, secretion, and vesicular transport			2NRQ	COG1325	Exosome subunit, RNA binding protein with dsRBD fold	
General function prediction only				COG1326	Uncharacterized archaeal Zn-finger protein	
Transcription		NrdR		COG1327	Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains	
Nucleotide transport and metabolism	Thymidylate biosynthesis	NrdD	4COI	COG1328	Anaerobic ribonucleoside-triphosphate reductase	
Transcription		CdnL	4ILU	COG1329	RNA polymerase-interacting regulator, CarD/CdnL/TRCF family	
Replication, recombination and repair		RecC	1W36	COG1330	Scaffold subunit RecC of the DNA repair enzyme RecBCD (exonuclease V)	
General function prediction only		YyaL	3IRA	COG1331	Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains	
Defense mechanisms	CRISPR-Cas system	Csm5		COG1332	CRISPR-Cas system type III CSM-effector complex subunit Csm5, RAMP superfamily Cas7 group	
Energy production and conversionPosttranslational modification, protein turnover, chaperones		ResB		COG1333	Cytochrome c biogenesis protein ResB	
General function prediction only		FlaG	2HC5	COG1334	Uncharacterized conserved protein, FlaG/YvyC family	
Coenzyme transport and metabolismGeneral function prediction only	Pyrimidine degradation	PncA	1ILW	COG1335	Nicotinamidase-related amidase	
Defense mechanisms	CRISPR-Cas system	Cmr4	4WNZ	COG1336	CRISPR-Cas system type III CMR-effector complex subunit Cmr4, RAMP superfamily Cas7 group	
Defense mechanisms	CRISPR-Cas system	Csm3	6IFN	COG1337	CRISPR-Cas system type III CSM-effector complex subunit Csm3, RAMP superfamily Cas7 group	
Cell motility		FliP	5H72	COG1338	Flagellar biosynthesis protein FliP	
Coenzyme transport and metabolism	Riboflavin/FAD biosynthesis	Rfk	2OYN	COG1339	Archaeal CTP-dependent riboflavin kinase	
Function unknown				COG1340	Uncharacterized coiled-coil protein, contains DUF342 domain	
Translation, ribosomal structure and biogenesis		Grc3		COG1341	Polynucleotide 5'-kinase, involved in rRNA processing	
General function prediction only				COG1342	Predicted DNA-binding protein, UPF0251 family	
Defense mechanisms	CRISPR-Cas system	Cas2	2I0X	COG1343	CRISPR/Cas system-associated endoribonuclease Cas2	
Cell motility		FlgL	1IO1	COG1344	Flagellin and related hook-associated protein FlgL	
Cell motility		FliD	5FHY	COG1345	Flagellar capping protein FliD	
Cell wall/membrane/envelope biogenesis		LrgB		COG1346	Putative effector of murein hydrolase	
Energy production and conversion	Na+-translocating NADH dehydrogenase	NqrD	4P6V	COG1347	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD	
Coenzyme transport and metabolismInorganic ion transport and metabolism		NifH/CfbC	1CP2	COG1348	Nitrogenase ATPase subunit NifH/coenzyme F430 biosynthesis subunit CfbC	
TranscriptionCarbohydrate transport and metabolism		GlpR		COG1349	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family	
Amino acid transport and metabolism	Aromatic amino acid biosynthesis		6HUL	COG1350	Predicted alternative tryptophan synthase beta-subunit (paralog of TrpB)	
Nucleotide transport and metabolism	Thymidylate biosynthesis	ThyX	1KQ4	COG1351	Thymidylate synthase ThyX, FAD-dependent family	
Signal transduction mechanisms		CheR	1AF7	COG1352	Methylase of chemotaxis methyl-accepting proteins	
Defense mechanisms	CRISPR-Cas system	Cas10	6IFN	COG1353	CRISPR/Cas system-associated protein Cas10, large subunit of type III CRISPR-Cas systems, contains HD superfamily nuclease domain	
Replication, recombination and repair		ScpA	3W6J	COG1354	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family	
General function prediction only		Mho1	3BCZ	COG1355	Predicted class III extradiol dioxygenase, MEMO1 family	
Transcription			1NR3	COG1356	Transcriptional regulator	
Function unknown		YjbI	2BM4	COG1357	Uncharacterized conserved protein YjbI, contains pentapeptide repeats	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	Rpl7Ae	4LCK	COG1358	Ribosomal protein L7Ae or related RNA K-turn-binding protein	
Energy production and conversion		YgiN	1R6Y	COG1359	Quinol monooxygenase YgiN	
Cell motility		MotB		COG1360	Flagellar motor protein MotB	
General function prediction only		MJ0795		COG1361	S-layer protein MJ0795, predicted component of type IV pili-like system	
Amino acid transport and metabolism		LAP4	1Y7E	COG1362	Aspartyl aminopeptidase	
Amino acid transport and metabolismCarbohydrate transport and metabolism		FrvX	1VHE	COG1363	Putative aminopeptidase FrvX	
Amino acid transport and metabolism	Arginine biosynthesis	ArgJ	1VRA	COG1364	Glutamate N-acetyltransferase (ornithine transacetylase)	
General function prediction only				COG1365	Predicted ATPase, PP-loop superfamily	
Signal transduction mechanisms		SpoIIAA	1AUZ	COG1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	
Defense mechanisms	CRISPR-Cas system	Cmr1	4L6U	COG1367	CRISPR-Cas system type III CMR-effector complex subunit Cmr1, RAMP superfamily Cas7 group	
Cell wall/membrane/envelope biogenesis		MdoB	3LXQ	COG1368	Phosphoglycerol transferase MdoB/OpgB, AlkP superfamily	
Translation, ribosomal structure and biogenesis		POP5	2AV5	COG1369	RNase P/RNase MRP subunit POP5	
Translation, ribosomal structure and biogenesis		ArcTGT	1IQ8	COG1370	tRNA-guanine transglycosylase, archaeosine-15-forming, contains TGT and PUA domains	
Translation, ribosomal structure and biogenesis		ARCH	1J5U	COG1371	Archease, activates RNA ligation by RtcB (tRNA splicing)	
Replication, recombination and repairMobilome: prophages, transposons		Hop	1EF0	COG1372	Intein/homing endonuclease	
General function prediction only				COG1373	Predicted ATPase, AAA+ superfamily	
Translation, ribosomal structure and biogenesis		NIP7	1SQW	COG1374	Rbosome biogenesis protein Nip4, contains PUA domain	
Cell wall/membrane/envelope biogenesis		ErfK	4LZH	COG1376	Lipoprotein-anchoring transpeptidase ErfK/SrfK	
Cell motility		FlhB	6S3L	COG1377	Flagellar biosynthesis protein FlhB	
Transcription		YrhO	5BPD	COG1378	Sugar-specific transcriptional regulator TrmB	
General function prediction only		YqxK	5ZB8	COG1379	PHP family phosphoesterase with a Zn ribbon	
General function prediction only		YohJ		COG1380	Putative effector of murein hydrolase LrgA, UPF0299 family	
Replication, recombination and repair		RecO	1U5K	COG1381	Recombinational DNA repair protein RecO (RecF pathway)	
Posttranslational modification, protein turnover, chaperones		GimC	1FXK	COG1382	Prefoldin, chaperonin cofactor	
Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins	RPS17A	1RQ6	COG1383	Ribosomal protein S17E	
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	LysS	1IRX	COG1384	Lysyl-tRNA synthetase, class I	
Translation, ribosomal structure and biogenesis	16S rRNA modification	RsmE	1NXZ	COG1385	16S rRNA U1498 N3-methylase RsmE	
Transcription		ScpB	1T6S	COG1386	Chromosome segregation and condensation protein ScpB	
Amino acid transport and metabolismGeneral function prediction only	Histidine biosynthesis	HIS2	1M65	COG1387	Histidinol phosphatase or related hydrolase of the PHP family	
Cell wall/membrane/envelope biogenesis		LysM	1E0G	COG1388	LysM repeat	
Replication, recombination and repair			1MU5	COG1389	DNA topoisomerase VI, subunit B	
Energy production and conversion	A/V-type ATP synthase	NtpE	2DM9	COG1390	Archaeal/vacuolar-type H+-ATPase subunit E/Vma4	
Posttranslational modification, protein turnover, chaperones		GlnE1	1V4A	COG1391	Glutamine synthetase adenylyltransferase	
Inorganic ion transport and metabolism		YkaA	2IIU	COG1392	Phosphate transport regulator YkaA, distantly related to PhoU, UPF0111/DUF47 family	
Inorganic ion transport and metabolism		ArsC	1I9D	COG1393	Arsenate reductase or related protein, glutaredoxin family	
Energy production and conversion	A/V-type ATP synthase	NtpD	3AON	COG1394	Archaeal/vacuolar-type H+-ATPase subunit D/Vma8	
Transcription				COG1395	Predicted transcriptional regulator	
Transcription		HipB	1ADR	COG1396	Transcriptional regulator, contains XRE-family HTH domain	
Posttranslational modification, protein turnover, chaperones		DraG	1T5J	COG1397	ADP-ribosylglycohydrolase	
Lipid transport and metabolism		OLE1	4YMK	COG1398	Fatty-acid desaturase	
Translation, ribosomal structure and biogenesis		YceD		COG1399	23S rRNA accumulation protein YceD (essential in plants, uncharacterized in bacteria)	
Intracellular trafficking, secretion, and vesicular transport		SEC65	1JID	COG1400	Signal recognition particle subunit SEC65	
Defense mechanisms		McrB	6HZ4	COG1401	5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB	
Coenzyme transport and metabolism	Riboflavin/FAD biosynthesis	ArfB	1J2T	COG1402	Creatinine amidohydrolase/Fe(II)-dependent FAPy formamide hydrolase (riboflavin and F420 biosynthesis)	
Defense mechanisms		McrA		COG1403	5-methylcytosine-specific restriction endonuclease McrA	
Posttranslational modification, protein turnover, chaperones		AprE	1SCJ	COG1404	Serine protease, subtilisin family	
Transcription		SUA7	1DL6	COG1405	Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB	
Cell motility		CheX	3H2D	COG1406	Chemotaxis protein CheX, a CheY~P-specific phosphatase	
General function prediction only				COG1407	Metallophosphoesterase superfamily enzyme	
General function prediction only		YaeI		COG1408	Predicted phosphohydrolase, MPP superfamily	
Signal transduction mechanisms		CpdA	2ZO9	COG1409	3',5'-cyclic AMP phosphodiesterase CpdA	
Amino acid transport and metabolism	Methionine biosynthesis	MetH2	4DJD	COG1410	Methionine synthase I, cobalamin-binding domain	
General function prediction only				COG1411	Uncharacterized conserved protein related to proFAR isomerase (HisA)	
Translation, ribosomal structure and biogenesis		Fcf1	4MJ7	COG1412	rRNA-processing protein FCF1	
General function prediction only		HEAT	1OYZ	COG1413	HEAT repeat	
Transcription		IclR	1MKM	COG1414	DNA-binding transcriptional regulator, IclR family	
Function unknown				COG1415	Uncharacterized conserved protein, DUF763 domain	
Inorganic ion transport and metabolism			1L1S	COG1416	Intracellular sulfur oxidation protein, DsrE/DsrF family	
Function unknown				COG1417	Uncharacterized conserved protein, DUF22 domain	
Translation, ribosomal structure and biogenesisGeneral function prediction only		RnaY	3DTO	COG1418	HD superfamily phosphodieaserase, includes HD domain of RNase Y	
Cell motility		FlhF	3SYN	COG1419	Flagellar biosynthesis GTPase FlhF	
Transcription		HrcA	1STZ	COG1420	Transcriptional regulator of heat shock response	
Defense mechanisms	CRISPR-Cas system	Csm2	5AN6	COG1421	CRISPR-Cas system type III CSM-effector complex small subunit Csm2	
Cell wall/membrane/envelope biogenesis		YidC	5C8J	COG1422	Archaeal YidC/Oxa1-related membrane protein, DUF106 family	
