	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
KC292027.1_93	KC292027	KC292027.1	93	56611	57654	-1	E			YP_008059141.1	YP_008059141.1 hypothetical protein M200_gp125 [Halovirus HCTV-5]	True	0.978	718.0	6.857e-234						VOG14436	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_94	KC292027	KC292027.1	94	57888	58799	1	D			YP_008059142.1	YP_008059142.1 DNA repair protein [Halovirus HCTV-5]	True	0.933	595.0	4.402e-192	Rad51 [PF08423.14]; DnaB-like helicase C terminal domain [PF03796.18]; KaiC [PF06745.16]; AAA domain [PF13481.9]; recA bacterial DNA recombination protein [PF00154.24]					VOG04360	sp|P04530|HELIC_BPT4 DnaB-like replicative helicase; XhXr	Xr;Xh	0	False	V
KC292027.1_95	KC292027	KC292027.1	95	58796	58948	-1	E			YP_007379011.1	YP_007379011.1 hypothetical protein HVTV1_106 [Haloarcula vallismortis tailed virus 1]	False	0.681	71.0	2.428e-15									0	False	
KC292027.1_96	KC292027	KC292027.1	96	58950	59051	-1	E																	0	False	
KC292027.1_97	KC292027	KC292027.1	97	59388	60050	1	E			YP_008059144.1	YP_008059144.1 hypothetical protein M200_gp123 [Halovirus HCTV-5]	True	0.926	428.0	3.9069999999999996e-136						VOG14437	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_98	KC292027	KC292027.1	98	60047	60604	1	D			YP_008059145.1	YP_008059145.1 HNH endonuclease [Halovirus HCTV-5]	True	1.0	404.0	3.1590000000000004e-128	HNH endonuclease [PF01844.26]					VOG04159	REFSEQ HNH endonuclease; Xu	Xu	1	False	
KC292027.1_99	KC292027	KC292027.1	99	60594	62039	1	C	K06909	phage terminase large subunit	YP_008059146.1	YP_008059146.1 terminase large subunit [Halovirus HCTV-5]	True	1.0	1047.0	0.0	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Phage terminase large subunit [PF04466.16]; Terminase RNAseH like domain [PF17288.5]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
KC292027.1_100	KC292027	KC292027.1	100	62033	62620	1	D			YP_008059147.1	YP_008059147.1 HNH endonuclease [Halovirus HCTV-5]	True	1.0	445.0	2.096e-142	Archaeal TRASH domain [PF08394.13]; HNH endonuclease [PF01844.26]					VOG04159	REFSEQ HNH endonuclease; Xu	Xu	1	False	
KC292027.1_101	KC292027	KC292027.1	101	62624	64486	1	E			YP_008059148.1	YP_008059148.1 portal protein [Halovirus HCTV-5]	True	0.968	1264.0	0.0						VOG14438	REFSEQ portal protein; Xu	Xu	0	False	
KC292027.1_102	KC292027	KC292027.1	102	64479	65225	1	E			YP_008059149.1	YP_008059149.1 HNH endonuclease [Halovirus HCTV-5]	True	0.996	524.0	1.06e-168						VOG01272	sp|Q38490|GP13_BPMU Uncharacterized protein gp13; Xh	Xh	1	False	
KC292027.1_103	KC292027	KC292027.1	103	65222	66190	1	D			YP_008059150.1	YP_008059150.1 ADP-ribosyltransferase [Halovirus HCTV-5]	True	0.941	637.0	1.769e-206	ADP-ribosyltransferase exoenzyme [PF03496.17]								0	False	
KC292027.1_104	KC292027	KC292027.1	104	66183	67196	1	D			YP_008059151.1	YP_008059151.1 gpF-like protein [Halovirus HCTV-5]	True	0.985	703.0	6.808e-229	Phage Mu protein F like protein [PF04233.17]					VOG14440	REFSEQ gpF-like protein; Xu	Xu	1	False	
KC292027.1_105	KC292027	KC292027.1	105	67233	67976	1	E			YP_008059152.1	YP_008059152.1 HNH endonuclease [Halovirus HCTV-5]	True	1.0	537.0	3.0600000000000004e-173						VOG01272	sp|Q38490|GP13_BPMU Uncharacterized protein gp13; Xh	Xh	1	False	
KC292027.1_106	KC292027	KC292027.1	106	67992	69929	1	D			YP_008059153.1	YP_008059153.1 sialidase [Halovirus HCTV-5]	True	0.967	1315.0	0.0	BNR repeat-like domain [PF13088.9]; Sortilin, neurotensin receptor 3, [PF15902.8]	GH33	GH33 sialidase or neuraminidase (EC 3.2.1.18); trans-sialidase (EC 2.4.1.-); anhydrosialidase (EC 4.2.2.15); Kdo hydrolase (EC 3.2.1.124); 2-keto-3-deoxynononic acid hydrolase / KDNase (EC 3.2.1.-)	2.4.1.-,3.2.1.124,3.2.1.18,3.2.1.40,3.2.1.-	GH33.hmm				0	False	
KC292027.1_107	KC292027	KC292027.1	107	69989	70690	-1	D			YP_008059154.1	YP_008059154.1 integrase [Halovirus HCTV-5]	True	0.989	489.0	8.028e-157	Phage integrase family [PF00589.25]					VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	V
KC292027.1_108	KC292027	KC292027.1	108	70811	74692	1	D			YP_008059155.1	YP_008059155.1 zeta toxin and ParB nuclease domain protein [Halovirus HCTV-5]	True	0.96	2610.0	0.0	Zeta toxin [PF06414.15]; AAA domain [PF13671.9]					VOG02541	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_109	KC292027	KC292027.1	109	74693	75166	-1	D			YP_008059156.1	YP_008059156.1 HNH endonuclease [Halovirus HCTV-5]	False	0.976	325.0	1.544e-101	LAGLIDADG endonuclease [PF00961.22]					VOG05448	REFSEQ HNH endonuclease; Xu	Xu	0	False	
KC292027.1_110	KC292027	KC292027.1	110	75422	75583	1	E			YP_008059158.1	YP_008059158.1 hypothetical protein M200_gp058 [Halovirus HCTV-5]	False	0.999	114.0	1.9099999999999997e-30						VOG04940	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_111	KC292027	KC292027.1	111	75620	77494	1	E			YP_008059159.1	YP_008059159.1 head maturation protease [Halovirus HCTV-5]	True	0.891	1159.0	0.0						VOG14439	REFSEQ head maturation protease; Xu	Xu	0	False	
KC292027.1_112	KC292027	KC292027.1	112	77510	78883	1	E			YP_008059160.1	YP_008059160.1 major head protein [Halovirus HCTV-5]	True	0.969	934.0	1.216e-306						VOG14441	REFSEQ major head protein; Xu	Xu	0	False	
KC292027.1_113	KC292027	KC292027.1	113	78902	79279	1	E			YP_008059161.1	YP_008059161.1 hypothetical protein M200_gp108 [Halovirus HCTV-5]	False	0.911	240.0	1.004e-72						VOG14443	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_114	KC292027	KC292027.1	114	79298	79630	1	E			YP_008059162.1	YP_008059162.1 hypothetical protein M200_gp107 [Halovirus HCTV-5]	False	0.936	218.0	2.346e-65						VOG14442	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_115	KC292027	KC292027.1	115	79637	80050	1	E			YP_008059163.1	YP_008059163.1 hypothetical protein M200_gp106 [Halovirus HCTV-5]	False	0.965	280.0	1.834e-86						VOG14444	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_116	KC292027	KC292027.1	116	80053	80385	1	E			YP_008059164.1	YP_008059164.1 hypothetical protein M200_gp105 [Halovirus HCTV-5]	False	0.943	220.0	4.832999999999999e-66						VOG14445	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_117	KC292027	KC292027.1	117	80385	81065	1	E			YP_008059165.1	YP_008059165.1 hypothetical protein M200_gp104 [Halovirus HCTV-5]	True	1.0	484.0	3.4730000000000007e-155						VOG03157	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_118	KC292027	KC292027.1	118	81065	81676	1	E			YP_008059166.1	YP_008059166.1 hypothetical protein M200_gp103 [Halovirus HCTV-5]	True	0.976	420.0	1.801e-133						VOG14446	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_119	KC292027	KC292027.1	119	81676	82146	1	E			YP_008059167.1	YP_008059167.1 hypothetical protein M200_gp102 [Halovirus HCTV-5]	False	0.968	320.0	6.496e-100						VOG14447	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_120	KC292027	KC292027.1	120	82164	83177	1	E			YP_008059168.1	YP_008059168.1 tail tube [Halovirus HCTV-5]	True	0.956	679.0	1.109e-220						VOG00339	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_121	KC292027	KC292027.1	121	83232	83648	1	E			YP_008059170.1	YP_008059170.1 tail assembly chaperone [Halovirus HCTV-5]	False	0.968	284.0	1.539e-87						VOG02727	REFSEQ tail assembly chaperone; Xu	Xu	0	False	
KC292027.1_122	KC292027	KC292027.1	122	83690	83986	1	E			YP_008059169.1	YP_008059169.1 tail assembly chaperone [Halovirus HCTV-5]	False	0.957	199.0	3.694e-59						VOG02727	REFSEQ tail assembly chaperone; Xu	Xu	0	False	
KC292027.1_123	KC292027	KC292027.1	123	83988	85430	1	E			YP_008059171.1	YP_008059171.1 tail length tape measure protein [Halovirus HCTV-5]	True	0.925	931.0	4.403e-305						VOG05734	REFSEQ tail length tape measure protein; Xu	Xu	0	False	
KC292027.1_124	KC292027	KC292027.1	124	85427	85882	1	E			YP_008059172.1	YP_008059172.1 hypothetical protein M200_gp097 [Halovirus HCTV-5]	False	0.949	303.0	4.01e-94						VOG14449	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_125	KC292027	KC292027.1	125	85889	87319	1	E			YP_008059173.1	YP_008059173.1 hypothetical protein M200_gp096 [Halovirus HCTV-5]	True	0.959	962.0	5.703e-316						VOG14448	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_126	KC292027	KC292027.1	126	87312	88094	1	E			YP_008059174.1	YP_008059174.1 hypothetical protein M200_gp095 [Halovirus HCTV-5]	True	0.932	510.0	1.587e-163						VOG14450	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_127	KC292027	KC292027.1	127	88094	89086	1	E			YP_008059175.1	YP_008059175.1 hypothetical protein M200_gp094 [Halovirus HCTV-5]	True	0.932	646.0	2.506e-209						VOG01029	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_128	KC292027	KC292027.1	128	89100	90596	1	E			YP_008059176.1	YP_008059176.1 baseplate protein [Halovirus HCTV-5]	True	0.931	972.0	4.398e-319						VOG02941	REFSEQ baseplate protein; Xu	Xu	0	False	
KC292027.1_129	KC292027	KC292027.1	129	90599	91708	1	E			YP_008059177.1	YP_008059177.1 hypothetical protein M200_gp092 [Halovirus HCTV-5]	True	0.978	763.0	4.814999999999998e-249						VOG14452	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_130	KC292027	KC292027.1	130	91710	92423	1	E			YP_008059178.1	YP_008059178.1 hypothetical protein M200_gp091 [Halovirus HCTV-5]	True	0.98	492.0	7.786999999999999e-158									0	False	
KC292027.1_131	KC292027	KC292027.1	131	92727	92918	-1	E			YP_008059180.1	YP_008059180.1 hypothetical protein M200_gp089 [Halovirus HCTV-5]	False	1.0	138.0	2.419e-38						VOG14453	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_132	KC292027	KC292027.1	132	92911	93267	-1	E			YP_008059181.1	YP_008059181.1 hypothetical protein M200_gp088 [Halovirus HCTV-5]	False	1.0	263.0	1.083e-80						VOG14451	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_133	KC292027	KC292027.1	133	93297	93539	1	E			YP_008059182.1	YP_008059182.1 hypothetical protein M200_gp087 [Halovirus HCTV-5]	False	0.974	130.0	3.194e-35						VOG14454	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_134	KC292027	KC292027.1	134	93536	93967	1	E			YP_008059183.1	YP_008059183.1 Rnase H [Halovirus HCTV-5]	False	0.961	291.0	3.543e-90									0	False	
KC292027.1_135	KC292027	KC292027.1	135	93964	94266	-1	E			YP_008059184.1	YP_008059184.1 HNH endonuclease [Halovirus HCTV-5]	False	1.0	215.0	1.314e-64									1	False	
KC292027.1_136	KC292027	KC292027.1	136	94618	95460	1	E			YP_008059185.1	YP_008059185.1 hypothetical protein M200_gp086 [Halovirus HCTV-5]	True	0.967	572.0	9.497e-185						VOG14455	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_137	KC292027	KC292027.1	137	95457	95696	1	E			YP_008059186.1	YP_008059186.1 hypothetical protein M200_gp085 [Halovirus HCTV-5]	False	0.973	164.0	2.423e-47						VOG14458	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_138	KC292027	KC292027.1	138	95728	95919	1	E			YP_008059187.1	YP_008059187.1 hypothetical protein M200_gp084 [Halovirus HCTV-5]	False	0.966	130.0	7.247000000000001e-36						VOG26241	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_139	KC292027	KC292027.1	139	95910	96092	1	E			YP_008059188.1	YP_008059188.1 hypothetical protein M200_gp083 [Halovirus HCTV-5]	False	0.97	125.0	5.252e-34						VOG26242	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_140	KC292027	KC292027.1	140	96085	96348	1	E			YP_008059189.1	YP_008059189.1 hypothetical protein M200_gp082 [Halovirus HCTV-5]	False	0.974	181.0	6.1169999999999995e-53						VOG14456	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_141	KC292027	KC292027.1	141	96341	96535	1	E			YP_007379058.1	YP_007379058.1 hypothetical protein HVTV1_153 [Haloarcula vallismortis tailed virus 1]	False	1.0	134.0	4.405e-37									0	False	
KC292027.1_142	KC292027	KC292027.1	142	96532	96918	1	E			YP_008059191.1	YP_008059191.1 hypothetical protein M200_gp080 [Halovirus HCTV-5]	False	0.989	269.0	8.21e-83						VOG26244	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_143	KC292027	KC292027.1	143	96915	97352	1	E			YP_008059192.1	YP_008059192.1 hypothetical protein M200_gp079 [Halovirus HCTV-5]	False	0.98	302.0	1.063e-93									1	False	F
KC292027.1_144	KC292027	KC292027.1	144	97349	97558	1	E			YP_008059193.1	YP_008059193.1 hypothetical protein M200_gp078 [Halovirus HCTV-5]	False	1.0	149.0	3.369e-42						VOG14457	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_145	KC292027	KC292027.1	145	97555	98199	-1	C	K01494	dCTP deaminase [EC:3.5.4.13]	YP_008059194.1	YP_008059194.1 dCTP deaminase [Halovirus HCTV-5]	True	0.997	451.0	4.584e-144	dUTPase [PF00692.22]; 2'-deoxycytidine 5'-triphosphate deaminase (DCD) [PF06559.14]					VOG36877	sp|Q02103|DCD_ACIAM dCTP deaminase; Xr	Xr	0	False	VMF
KC292027.1_146	KC292027	KC292027.1	146	98298	98627	1	D			YP_008059195.1	YP_008059195.1 membrane protein [Halovirus HCTV-5]	False	0.998	232.0	2.562e-70	Protein of unknown function (DUF3307) [PF11750.11]					VOG08049	REFSEQ membrane protein; Xu	Xu	0	False	F
KC292027.1_147	KC292027	KC292027.1	147	98624	98857	1	E			YP_008059196.1	YP_008059196.1 hypothetical protein M200_gp075 [Halovirus HCTV-5]	False	0.929	152.0	3.999e-43						VOG05258	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_148	KC292027	KC292027.1	148	98832	99035	1	E			YP_008059197.1	YP_008059197.1 hypothetical protein M200_gp074 [Halovirus HCTV-5]	False	1.0	152.0	2.418e-43						VOG14459	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_149	KC292027	KC292027.1	149	99029	99202	1	E			YP_008059198.1	YP_008059198.1 hypothetical protein M200_gp073 [Halovirus HCTV-5]	False	1.0	126.0	2.3890000000000003e-34						VOG14463	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_150	KC292027	KC292027.1	150	99199	99390	1	E			YP_008059199.1	YP_008059199.1 hypothetical protein M200_gp072 [Halovirus HCTV-5]	False	1.0	141.0	1.92e-39						VOG14460	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_151	KC292027	KC292027.1	151	99387	99578	1	E			YP_008059200.1	YP_008059200.1 hypothetical protein M200_gp071 [Halovirus HCTV-5]	False	1.0	151.0	5.1e-43						VOG26246	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_152	KC292027	KC292027.1	152	99571	99726	1	E			YP_008059201.1	YP_008059201.1 hypothetical protein M200_gp070 [Halovirus HCTV-5]	False	1.0	112.0	1.154e-29						VOG14461	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292027.1_153	KC292027	KC292027.1	153	99713	99874	1	E			YP_008059202.1	YP_008059202.1 hypothetical protein M200_gp069 [Halovirus HCTV-5]	False	1.0	124.0	9.479e-34									0	False	F
KC292027.1_154	KC292027	KC292027.1	154	100164	100643	1	E			YP_008059204.1	YP_008059204.1 hypothetical protein M200_gp067 [Halovirus HCTV-5]	False	0.984	332.0	5.793e-104									0	False	F
KC292027.1_155	KC292027	KC292027.1	155	100646	101233	1	E			YP_008059205.1	YP_008059205.1 GIY-YIG nuclease [Halovirus HCTV-5]	True	0.952	392.0	4.788e-124									0	False	F
KC292027.1_156	KC292027	KC292027.1	156	101366	101497	1	E			YP_007379079.1	YP_007379079.1 hypothetical protein HVTV1_174 [Haloarcula vallismortis tailed virus 1]	False	0.705	64.0	5.188e-13									0	False	F
