MZ334524.1_61	77e5b06b1557473c9f9c7d642ac47976	219	Pfam	PF10263	SprT-like family	68	148	5.3E-10	T	10-07-2023	IPR006640	SprT-like
MZ334524.1_100	c96e27e3ee29ac7cc5c45e8bb16b0d7f	146	MobiDBLite	mobidb-lite	consensus disorder prediction	106	133	-	T	10-07-2023	-	-
MZ334524.1_100	c96e27e3ee29ac7cc5c45e8bb16b0d7f	146	MobiDBLite	mobidb-lite	consensus disorder prediction	33	57	-	T	10-07-2023	-	-
MZ334524.1_25	15ff845c0aef098cdbfb2d2f8dfd4196	179	MobiDBLite	mobidb-lite	consensus disorder prediction	68	179	-	T	10-07-2023	-	-
MZ334524.1_25	15ff845c0aef098cdbfb2d2f8dfd4196	179	MobiDBLite	mobidb-lite	consensus disorder prediction	1	36	-	T	10-07-2023	-	-
MZ334524.1_25	15ff845c0aef098cdbfb2d2f8dfd4196	179	MobiDBLite	mobidb-lite	consensus disorder prediction	135	171	-	T	10-07-2023	-	-
MZ334524.1_25	15ff845c0aef098cdbfb2d2f8dfd4196	179	MobiDBLite	mobidb-lite	consensus disorder prediction	112	126	-	T	10-07-2023	-	-
MZ334524.1_25	15ff845c0aef098cdbfb2d2f8dfd4196	179	MobiDBLite	mobidb-lite	consensus disorder prediction	81	111	-	T	10-07-2023	-	-
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	MobiDBLite	mobidb-lite	consensus disorder prediction	776	817	-	T	10-07-2023	-	-
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	MobiDBLite	mobidb-lite	consensus disorder prediction	933	957	-	T	10-07-2023	-	-
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	PANTHER	PTHR43371	VITAMIN B12-DEPENDENT RIBONUCLEOTIDE REDUCTASE	27	982	2.1E-224	T	10-07-2023	-	-
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	CDD	cd02888	RNR_II_dimer	135	770	0.0	T	10-07-2023	IPR013344	Ribonucleotide reductase, adenosylcobalamin-dependent
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	Pfam	PF02867	Ribonucleotide reductase, barrel domain	164	767	2.7E-146	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	Coils	Coil	Coil	123	143	-	T	10-07-2023	-	-
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	SUPERFAMILY	SSF51998	PFL-like glycyl radical enzymes	163	779	1.31E-124	T	10-07-2023	-	-
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	TIGRFAM	TIGR02504	NrdJ_Z: ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent	38	777	1.7E-210	T	10-07-2023	IPR013344	Ribonucleotide reductase, adenosylcobalamin-dependent
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	MobiDBLite	mobidb-lite	consensus disorder prediction	911	957	-	T	10-07-2023	-	-
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	Pfam	PF00317	Ribonucleotide reductase, all-alpha domain	36	161	2.2E-19	T	10-07-2023	IPR013509	Ribonucleotide reductase large subunit, N-terminal
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	Pfam	PF12637	TSCPD domain	843	912	4.9E-5	T	10-07-2023	IPR024434	TSCPD domain
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	Gene3D	G3DSA:3.20.70.20	-	16	769	3.7E-175	T	10-07-2023	-	-
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	PRINTS	PR01183	Ribonucleotide reductase large chain signature	239	258	3.5E-16	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	PRINTS	PR01183	Ribonucleotide reductase large chain signature	549	572	3.5E-16	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	PRINTS	PR01183	Ribonucleotide reductase large chain signature	521	543	3.5E-16	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	PRINTS	PR01183	Ribonucleotide reductase large chain signature	483	506	3.5E-16	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334524.1_24	6d137aca31eb62a4eb661c9d6e5260ec	982	PRINTS	PR01183	Ribonucleotide reductase large chain signature	609	636	3.5E-16	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334524.1_63	06e3e82ae8bf53babb1efbf08cf8ed30	71	Coils	Coil	Coil	4	24	-	T	10-07-2023	-	-
MZ334524.1_74	bb41f618a184fd8333f134fd9f92b6c1	134	MobiDBLite	mobidb-lite	consensus disorder prediction	1	43	-	T	10-07-2023	-	-
MZ334524.1_74	bb41f618a184fd8333f134fd9f92b6c1	134	MobiDBLite	mobidb-lite	consensus disorder prediction	25	39	-	T	10-07-2023	-	-
MZ334524.1_74	bb41f618a184fd8333f134fd9f92b6c1	134	Coils	Coil	Coil	95	118	-	T	10-07-2023	-	-
MZ334524.1_59	e1cb384d4cb8c7a5ae6d9dacb54033c4	139	Coils	Coil	Coil	114	134	-	T	10-07-2023	-	-
MZ334524.1_6	dd0fc7b1876a220a0cf607f0bdd01150	82	MobiDBLite	mobidb-lite	consensus disorder prediction	58	82	-	T	10-07-2023	-	-
MZ334524.1_26	4e41d909b8ee9761122526f4f1b8ae26	128	MobiDBLite	mobidb-lite	consensus disorder prediction	1	24	-	T	10-07-2023	-	-
MZ334524.1_27	44075c62b3c55dfc770d16570367df06	380	Pfam	PF20529	Family of unknown function (DUF6744)	25	311	2.0E-15	T	10-07-2023	IPR046632	Protein of unknown function DUF6744
MZ334524.1_27	44075c62b3c55dfc770d16570367df06	380	MobiDBLite	mobidb-lite	consensus disorder prediction	358	380	-	T	10-07-2023	-	-
MZ334524.1_101	79093aa4b2c6ffbd6d3bfb4255dbd84a	234	Coils	Coil	Coil	90	113	-	T	10-07-2023	-	-
MZ334524.1_101	79093aa4b2c6ffbd6d3bfb4255dbd84a	234	MobiDBLite	mobidb-lite	consensus disorder prediction	206	225	-	T	10-07-2023	-	-
MZ334524.1_101	79093aa4b2c6ffbd6d3bfb4255dbd84a	234	MobiDBLite	mobidb-lite	consensus disorder prediction	1	22	-	T	10-07-2023	-	-
MZ334524.1_101	79093aa4b2c6ffbd6d3bfb4255dbd84a	234	MobiDBLite	mobidb-lite	consensus disorder prediction	128	147	-	T	10-07-2023	-	-
MZ334524.1_101	79093aa4b2c6ffbd6d3bfb4255dbd84a	234	MobiDBLite	mobidb-lite	consensus disorder prediction	206	234	-	T	10-07-2023	-	-
MZ334524.1_101	79093aa4b2c6ffbd6d3bfb4255dbd84a	234	SUPERFAMILY	SSF88659	Sigma3 and sigma4 domains of RNA polymerase sigma factors	31	67	8.28E-5	T	10-07-2023	IPR013324	RNA polymerase sigma factor, region 3/4-like
MZ334524.1_115	dd2764af55a39adf06aeb243d7592e61	223	Coils	Coil	Coil	192	212	-	T	10-07-2023	-	-
MZ334524.1_51	802179063b272c0ac0b42b873d57f405	85	MobiDBLite	mobidb-lite	consensus disorder prediction	65	85	-	T	10-07-2023	-	-
MZ334524.1_95	ca4b343e89c65b67f96a30b2722aa678	170	MobiDBLite	mobidb-lite	consensus disorder prediction	146	170	-	T	10-07-2023	-	-
MZ334524.1_95	ca4b343e89c65b67f96a30b2722aa678	170	SUPERFAMILY	SSF47794	Rad51 N-terminal domain-like	3	51	1.48E-8	T	10-07-2023	IPR010995	DNA repair Rad51/transcription factor NusA, alpha-helical
MZ334524.1_95	ca4b343e89c65b67f96a30b2722aa678	170	MobiDBLite	mobidb-lite	consensus disorder prediction	146	163	-	T	10-07-2023	-	-
MZ334524.1_95	ca4b343e89c65b67f96a30b2722aa678	170	Pfam	PF14520	Helix-hairpin-helix domain	3	50	6.8E-9	T	10-07-2023	-	-
MZ334524.1_95	ca4b343e89c65b67f96a30b2722aa678	170	Gene3D	G3DSA:1.10.150.20	-	4	62	7.7E-13	T	10-07-2023	-	-
MZ334524.1_95	ca4b343e89c65b67f96a30b2722aa678	170	SMART	SM00278	HhH1_4	2	21	0.089	T	10-07-2023	IPR003583	Helix-hairpin-helix DNA-binding motif, class 1
MZ334524.1_95	ca4b343e89c65b67f96a30b2722aa678	170	SMART	SM00278	HhH1_4	35	54	290.0	T	10-07-2023	IPR003583	Helix-hairpin-helix DNA-binding motif, class 1
MZ334524.1_68	30dcf84ba9ad977ca13a976b54ec04a9	204	SMART	SM00507	HNH_5	137	196	4.9E-6	T	10-07-2023	IPR003615	HNH nuclease
MZ334524.1_68	30dcf84ba9ad977ca13a976b54ec04a9	204	Gene3D	G3DSA:1.10.30.50	-	132	204	9.7E-11	T	10-07-2023	-	-
MZ334524.1_68	30dcf84ba9ad977ca13a976b54ec04a9	204	Pfam	PF01844	HNH endonuclease	150	198	3.4E-10	T	10-07-2023	IPR002711	HNH endonuclease
MZ334524.1_68	30dcf84ba9ad977ca13a976b54ec04a9	204	PANTHER	PTHR41286	HNH NUCLEASE YAJD-RELATED	95	199	4.7E-10	T	10-07-2023	-	-
MZ334524.1_68	30dcf84ba9ad977ca13a976b54ec04a9	204	CDD	cd00085	HNHc	147	198	4.54169E-5	T	10-07-2023	IPR003615	HNH nuclease
MZ334524.1_84	ba570624d37fcd74f259243f363c16ac	98	SMART	SM00507	HNH_5	14	72	1.2E-5	T	10-07-2023	IPR003615	HNH nuclease
MZ334524.1_84	ba570624d37fcd74f259243f363c16ac	98	PANTHER	PTHR41286	HNH NUCLEASE YAJD-RELATED	4	72	7.9E-10	T	10-07-2023	-	-
MZ334524.1_84	ba570624d37fcd74f259243f363c16ac	98	Pfam	PF01844	HNH endonuclease	27	71	1.2E-8	T	10-07-2023	IPR002711	HNH endonuclease
MZ334524.1_84	ba570624d37fcd74f259243f363c16ac	98	Gene3D	G3DSA:1.10.30.50	-	3	81	2.0E-9	T	10-07-2023	-	-
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	Gene3D	G3DSA:1.10.8.60	-	164	224	1.2E-8	T	10-07-2023	-	-
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	CDD	cd18139	HLD_clamp_RarA	162	235	1.20987E-6	T	10-07-2023	-	-
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	SMART	SM00382	AAA_5	38	165	4.3E-5	T	10-07-2023	IPR003593	AAA+ ATPase domain
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	FunFam	G3DSA:3.40.50.300:FF:000952	Replication factor C subunit 2	3	161	2.3E-59	T	10-07-2023	-	-
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	5	210	6.17E-48	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	CDD	cd00009	AAA	21	154	1.23156E-19	T	10-07-2023	-	-
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	Gene3D	G3DSA:3.40.50.300	-	2	160	7.5E-50	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	Pfam	PF08542	Replication factor C C-terminal domain	227	311	4.2E-9	T	10-07-2023	IPR013748	Replication factor C, C-terminal
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	42	155	2.9E-10	T	10-07-2023	IPR003959	ATPase, AAA-type, core
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	SUPERFAMILY	SSF48019	post-AAA+ oligomerization domain-like	227	316	2.55E-11	T	10-07-2023	IPR008921	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	Gene3D	G3DSA:1.20.272.10	-	227	317	8.5E-12	T	10-07-2023	-	-
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	Coils	Coil	Coil	109	129	-	T	10-07-2023	-	-
MZ334524.1_88	bcb053f8f14030a3674fd629e362ed9e	329	PANTHER	PTHR11669	REPLICATION FACTOR C / DNA POLYMERASE III GAMMA-TAU SUBUNIT	7	308	4.2E-75	T	10-07-2023	-	-
MZ334524.1_111	4606a515bd62dbba530d222a7585d666	125	Coils	Coil	Coil	96	125	-	T	10-07-2023	-	-
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	TIGRFAM	TIGR00675	dcm: DNA (cytosine-5-)-methyltransferase	8	347	3.5E-61	T	10-07-2023	IPR001525	C-5 cytosine methyltransferase
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	Gene3D	G3DSA:3.90.120.10	DNA Methylase, subunit A, domain 2	168	339	1.4E-84	T	10-07-2023	-	-
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	Pfam	PF00145	C-5 cytosine-specific DNA methylase	8	349	1.8E-65	T	10-07-2023	IPR001525	C-5 cytosine methyltransferase
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	PRINTS	PR00105	Cytosine-specific DNA methyltransferase signature	124	138	1.4E-17	T	10-07-2023	IPR001525	C-5 cytosine methyltransferase
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	PRINTS	PR00105	Cytosine-specific DNA methyltransferase signature	7	23	1.4E-17	T	10-07-2023	IPR001525	C-5 cytosine methyltransferase
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	PRINTS	PR00105	Cytosine-specific DNA methyltransferase signature	173	186	1.4E-17	T	10-07-2023	IPR001525	C-5 cytosine methyltransferase
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	PANTHER	PTHR10629	CYTOSINE-SPECIFIC METHYLTRANSFERASE	212	349	6.2E-58	T	10-07-2023	-	-
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	7	349	7.59E-83	T	10-07-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	ProSitePatterns	PS00094	C-5 cytosine-specific DNA methylases active site.	80	92	-	T	10-07-2023	IPR018117	DNA methylase, C-5 cytosine-specific, active site
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	9	346	1.4E-84	T	10-07-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	MobiDBLite	mobidb-lite	consensus disorder prediction	192	226	-	T	10-07-2023	-	-
MZ334524.1_45	a646bd40f37febf5ad2c018cb5b7d402	376	ProSiteProfiles	PS51679	C-5 cytosine-specific DNA methylase (Dnmt) domain profile.	6	355	62.529781	T	10-07-2023	IPR001525	C-5 cytosine methyltransferase
MZ334524.1_37	f1244e97f525f6f217bd7cf829a39e94	148	MobiDBLite	mobidb-lite	consensus disorder prediction	33	55	-	T	10-07-2023	-	-
MZ334524.1_91	23477fda22f513358abeda25cd83573a	196	CDD	cd01672	TMPK	6	192	2.52004E-49	T	10-07-2023	-	-
MZ334524.1_91	23477fda22f513358abeda25cd83573a	196	PANTHER	PTHR10344	THYMIDYLATE KINASE	3	195	5.3E-26	T	10-07-2023	-	-
MZ334524.1_91	23477fda22f513358abeda25cd83573a	196	TIGRFAM	TIGR00041	DTMP_kinase: dTMP kinase	1	183	9.5E-39	T	10-07-2023	IPR018094	Thymidylate kinase
MZ334524.1_91	23477fda22f513358abeda25cd83573a	196	Gene3D	G3DSA:3.40.50.300	-	2	196	4.8E-48	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_91	23477fda22f513358abeda25cd83573a	196	ProSitePatterns	PS01331	Thymidylate kinase signature.	85	97	-	T	10-07-2023	IPR018095	Thymidylate kinase, conserved site
MZ334524.1_91	23477fda22f513358abeda25cd83573a	196	Pfam	PF02223	Thymidylate kinase	9	183	8.2E-33	T	10-07-2023	IPR039430	Thymidylate kinase-like domain
MZ334524.1_91	23477fda22f513358abeda25cd83573a	196	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	1	194	5.85E-38	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_91	23477fda22f513358abeda25cd83573a	196	Hamap	MF_00165	Thymidylate kinase [tmk].	5	194	22.406004	T	10-07-2023	IPR018094	Thymidylate kinase
MZ334524.1_142	8cffe3e1f01469c8637eabdc6d738cc7	216	Gene3D	G3DSA:2.70.40.10	-	2	202	3.0E-49	T	10-07-2023	IPR036157	dUTPase-like superfamily
MZ334524.1_142	8cffe3e1f01469c8637eabdc6d738cc7	216	CDD	cd07557	trimeric_dUTPase	90	170	8.51602E-29	T	10-07-2023	IPR033704	dUTPase, trimeric
MZ334524.1_142	8cffe3e1f01469c8637eabdc6d738cc7	216	Pfam	PF00692	dUTPase	98	196	2.6E-12	T	10-07-2023	IPR029054	dUTPase-like
MZ334524.1_142	8cffe3e1f01469c8637eabdc6d738cc7	216	MobiDBLite	mobidb-lite	consensus disorder prediction	192	206	-	T	10-07-2023	-	-
MZ334524.1_142	8cffe3e1f01469c8637eabdc6d738cc7	216	SUPERFAMILY	SSF51283	dUTPase-like	2	198	1.83E-38	T	10-07-2023	IPR036157	dUTPase-like superfamily
MZ334524.1_142	8cffe3e1f01469c8637eabdc6d738cc7	216	Hamap	MF_00146	dCTP deaminase, dUMP-forming [dcd].	2	198	29.133274	T	10-07-2023	IPR011962	dCTP deaminase
MZ334524.1_142	8cffe3e1f01469c8637eabdc6d738cc7	216	MobiDBLite	mobidb-lite	consensus disorder prediction	179	216	-	T	10-07-2023	-	-
MZ334524.1_142	8cffe3e1f01469c8637eabdc6d738cc7	216	PANTHER	PTHR42680	DCTP DEAMINASE	3	198	1.3E-35	T	10-07-2023	-	-
MZ334524.1_142	8cffe3e1f01469c8637eabdc6d738cc7	216	TIGRFAM	TIGR02274	dCTP_deam: deoxycytidine triphosphate deaminase	65	197	4.8E-39	T	10-07-2023	IPR011962	dCTP deaminase
MZ334524.1_34	ad17d23c865b536e5cda4f963c4e0ae0	198	Pfam	PF06941	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)	12	189	1.3E-9	T	10-07-2023	IPR010708	5'(3')-deoxyribonucleotidase
MZ334524.1_34	ad17d23c865b536e5cda4f963c4e0ae0	198	Gene3D	G3DSA:3.40.50.1000	-	72	192	1.3E-13	T	10-07-2023	IPR023214	HAD superfamily
MZ334524.1_34	ad17d23c865b536e5cda4f963c4e0ae0	198	PANTHER	PTHR35134	NUCLEOTIDASE YQFW-RELATED	11	189	1.9E-9	T	10-07-2023	-	-
MZ334524.1_32	cd169ddd59f79833e589cc8c7d5bfe09	409	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	119	349	2.77E-9	T	10-07-2023	IPR029052	Metallo-dependent phosphatase-like
MZ334524.1_102	0d3334dab8b355a9b016b30a4e394642	214	PANTHER	PTHR41286	HNH NUCLEASE YAJD-RELATED	120	205	6.5E-9	T	10-07-2023	-	-
MZ334524.1_102	0d3334dab8b355a9b016b30a4e394642	214	ProSitePatterns	PS00028	Zinc finger C2H2 type domain signature.	5	26	-	T	10-07-2023	IPR013087	Zinc finger C2H2-type
MZ334524.1_102	0d3334dab8b355a9b016b30a4e394642	214	Gene3D	G3DSA:1.10.30.50	-	130	210	1.3E-8	T	10-07-2023	-	-
MZ334524.1_102	0d3334dab8b355a9b016b30a4e394642	214	CDD	cd00085	HNHc	144	203	0.00128921	T	10-07-2023	IPR003615	HNH nuclease
MZ334524.1_102	0d3334dab8b355a9b016b30a4e394642	214	SMART	SM00507	HNH_5	143	202	5.0E-6	T	10-07-2023	IPR003615	HNH nuclease
MZ334524.1_102	0d3334dab8b355a9b016b30a4e394642	214	Pfam	PF01844	HNH endonuclease	156	204	4.4E-8	T	10-07-2023	IPR002711	HNH endonuclease
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	MobiDBLite	mobidb-lite	consensus disorder prediction	175	199	-	T	10-07-2023	-	-
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	MobiDBLite	mobidb-lite	consensus disorder prediction	222	249	-	T	10-07-2023	-	-
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	MobiDBLite	mobidb-lite	consensus disorder prediction	1102	1121	-	T	10-07-2023	-	-
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	Gene3D	G3DSA:3.40.50.300	-	158	413	8.4E-30	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	Pfam	PF06414	Zeta toxin	177	340	5.5E-20	T	10-07-2023	IPR010488	Zeta toxin domain
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	187	316	3.55E-5	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	MobiDBLite	mobidb-lite	consensus disorder prediction	605	622	-	T	10-07-2023	-	-
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	MobiDBLite	mobidb-lite	consensus disorder prediction	599	622	-	T	10-07-2023	-	-
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	MobiDBLite	mobidb-lite	consensus disorder prediction	493	526	-	T	10-07-2023	-	-
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	MobiDBLite	mobidb-lite	consensus disorder prediction	493	536	-	T	10-07-2023	-	-
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	MobiDBLite	mobidb-lite	consensus disorder prediction	387	431	-	T	10-07-2023	-	-
MZ334524.1_107	ce4615ca6a550beb1a97fc95425cc76b	1209	MobiDBLite	mobidb-lite	consensus disorder prediction	26	110	-	T	10-07-2023	-	-
MZ334524.1_30	a8d2cfcf72915257a830577c7e648e5b	45	MobiDBLite	mobidb-lite	consensus disorder prediction	1	18	-	T	10-07-2023	-	-
MZ334524.1_30	a8d2cfcf72915257a830577c7e648e5b	45	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	10-07-2023	-	-
MZ334524.1_66	29a298db270f5c96138a7136f06c0700	231	Pfam	PF02592	Putative vitamin uptake transporter	50	216	5.8E-43	T	10-07-2023	IPR003744	Queuosine precursor transporter
MZ334524.1_66	29a298db270f5c96138a7136f06c0700	231	Hamap	MF_02088	Probable queuosine precursor transporter.	15	227	15.459163	T	10-07-2023	IPR003744	Queuosine precursor transporter
MZ334524.1_66	29a298db270f5c96138a7136f06c0700	231	PANTHER	PTHR34300	QUEUOSINE PRECURSOR TRANSPORTER-RELATED	15	223	3.0E-38	T	10-07-2023	IPR003744	Queuosine precursor transporter
MZ334524.1_66	29a298db270f5c96138a7136f06c0700	231	TIGRFAM	TIGR00697	TIGR00697: conserved hypothetical integral membrane protein	20	218	1.4E-43	T	10-07-2023	IPR003744	Queuosine precursor transporter
MZ334524.1_106	22ac8f3e84e611dc796272f82b71ef6d	449	MobiDBLite	mobidb-lite	consensus disorder prediction	187	201	-	T	10-07-2023	-	-
MZ334524.1_106	22ac8f3e84e611dc796272f82b71ef6d	449	Pfam	PF04233	Phage Mu protein F like protein	319	390	2.3E-7	T	10-07-2023	IPR006528	Phage head morphogenesis domain
MZ334524.1_106	22ac8f3e84e611dc796272f82b71ef6d	449	MobiDBLite	mobidb-lite	consensus disorder prediction	167	201	-	T	10-07-2023	-	-
MZ334524.1_50	b5e50b2644dc6d8b17420eb330973a7b	88	MobiDBLite	mobidb-lite	consensus disorder prediction	67	88	-	T	10-07-2023	-	-
MZ334524.1_72	322b15b2115a84eec2f02ff5c498a997	131	Gene3D	G3DSA:3.30.479.10	-	1	123	3.6E-17	T	10-07-2023	IPR038418	6-pyruvoyl tetrahydropterin synthase/QueD superfamily
MZ334524.1_72	322b15b2115a84eec2f02ff5c498a997	131	Coils	Coil	Coil	95	115	-	T	10-07-2023	-	-
MZ334524.1_72	322b15b2115a84eec2f02ff5c498a997	131	Pfam	PF01242	6-pyruvoyl tetrahydropterin synthase	2	120	5.6E-16	T	10-07-2023	IPR007115	6-pyruvoyl tetrahydropterin synthase/QueD family
MZ334524.1_72	322b15b2115a84eec2f02ff5c498a997	131	SUPERFAMILY	SSF55620	Tetrahydrobiopterin biosynthesis enzymes-like	3	117	1.5E-15	T	10-07-2023	-	-
MZ334524.1_98	81112d90363ce225f26297bc36b4d11f	303	ProSiteProfiles	PS50162	RecA family profile 1.	74	236	22.541349	T	10-07-2023	IPR020588	DNA recombination and repair protein RecA-like, ATP-binding domain
MZ334524.1_98	81112d90363ce225f26297bc36b4d11f	303	Gene3D	G3DSA:1.10.150.20	-	1	59	1.2E-13	T	10-07-2023	-	-
MZ334524.1_98	81112d90363ce225f26297bc36b4d11f	303	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	76	292	1.38E-26	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_98	81112d90363ce225f26297bc36b4d11f	303	Gene3D	G3DSA:3.40.50.300	-	65	297	2.5E-41	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_98	81112d90363ce225f26297bc36b4d11f	303	Pfam	PF08423	Rad51	66	296	2.2E-28	T	10-07-2023	IPR013632	DNA recombination and repair protein Rad51-like, C-terminal
MZ334524.1_98	81112d90363ce225f26297bc36b4d11f	303	PANTHER	PTHR22942	RECA/RAD51/RADA DNA STRAND-PAIRING FAMILY MEMBER	8	292	7.3E-39	T	10-07-2023	-	-
MZ334524.1_98	81112d90363ce225f26297bc36b4d11f	303	SUPERFAMILY	SSF47794	Rad51 N-terminal domain-like	3	56	1.24E-9	T	10-07-2023	IPR010995	DNA repair Rad51/transcription factor NusA, alpha-helical
MZ334524.1_57	55a1aebdd2d843bb9281349df585085f	445	PANTHER	PTHR48103	MIDASIN-RELATED	146	253	7.4E-12	T	10-07-2023	-	-
MZ334524.1_57	55a1aebdd2d843bb9281349df585085f	445	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	142	415	7.68E-18	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_57	55a1aebdd2d843bb9281349df585085f	445	Gene3D	G3DSA:3.40.50.300	-	138	345	1.1E-20	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_57	55a1aebdd2d843bb9281349df585085f	445	MobiDBLite	mobidb-lite	consensus disorder prediction	59	78	-	T	10-07-2023	-	-
MZ334524.1_57	55a1aebdd2d843bb9281349df585085f	445	Pfam	PF07728	AAA domain (dynein-related subfamily)	146	328	9.6E-12	T	10-07-2023	IPR011704	ATPase, dynein-related, AAA domain
MZ334524.1_97	a52bd0ffdb0f43dc66628a8a3c7be840	347	Coils	Coil	Coil	12	39	-	T	10-07-2023	-	-
